"%s x %s","%s x %s"
"Additional Information","Zusätzliche Information"
"Availability","Verfügbarkeit"
"Customize %s","Anpassen %s"
"Customize and Add to Cart","Anpassen und zum Einkaufswagen zufügen"
"Details","Details"
"Email to a Friend","E-Mail an einen Freund"
"Go back to product detail","Zurück zur Produktbeschreibung"
"In stock","Auf Lager"
"Out of stock","Nicht lieferbar"
"Quick Overview","Schnellübersicht"
"SKU#%s","SKU#%s"
"Summary","Zusammenfassung"
"This product is also part of bundle(s)","Dieses Produkt ist Teil eines Bundles."
"Your Customization","Ihre Anpassungen"
