"%s Item(s)","%s Artikel"
"* Required Fields","* Notwendige Felder"
"Add to Cart","Zum Warenkorb hinzufügen"
"Add to Compare","Zum Vergleich hinzufügen"
"Add to Wishlist","Zur Wunschliste hinzufügen"
"Additional Information","Zusätzliche Information"
"Alert Urls","Warn-Urls"
"An error occured while reindexing the products.","An error occured while reindexing the products."
"Bottom Block Options Wrapper","Unterseite Sperroptionendeckblatt"
"Cache refresh needed. (NOTE: A dot ""."" before suffix is added automatically)","Cache-Aktualisierung notwendig. (HINWEIS: Ein Punkt ""."" vor der Endung wird automatisch hinzugefügt)"
"Catalog Category (Anchor)","Katalogkategorie (Fixpunkt)"
"Catalog Category (Non-Anchor)","Katalogkategorie (kein Fixpunkt)"
"Catalog Category/Product Index","Katalogkategorie/Produktindex"
"Catalog Product Compare List","Katalogprodukte-Vergleichsliste"
"Catalog Product Email to a Friend","Produkt aus dem Katalog per E-Mail an einen Freund senden"
"Catalog Product Image Gallery Popup","Katalog-Popup der Produktbildergallerie"
"Catalog Product View (Any)","Produktansicht des Katalogs (beliebig)"
"Catalog Seo Sitemap (Category List)","Suchmaschinenoptimierungsindex des Katalogs (Kategorienliste)"
"Catalog Seo Sitemap (Category Tree)","Suchmaschinenoptimierungsindex des Katalogs (Kategoriebaum)"
"Catalog Seo Sitemap (Common)","Suchmaschinenoptimierungsindex des Katalogs (allgemein)"
"Catalog Seo Sitemap (Product List)","Suchmaschinenoptimierungsindex des Katalogs (Produktliste)"
"Catalog product price","Katalog-Produktpreis"
"Category","Kategorie"
"Category Flat Data","Flache Kategoriedaten"
"Category Flat Index","Kategorie-Ebene Index"
"Category URL Rewrite","Kategorie URL-Rewrite"
"Category URL Rewrites","Kategorie URL-Rewrites"
"Category URL Suffix","Kategorie, URL-Suffix"
"Check items to add to the cart or","Artikel überprüfen, um sie dem Einkaufswagen zuzufügen oder"
"Clear All","Alle löschen"
"Click on image to zoom","Zum Zoomen auf das Bild klicken"
"Close Window","Fenster Schließen"
"Compare Products","Produkte vergleichen"
"Create Custom Redirect for old URL","Standard-Umleitung für alte URL erstellen"
"Details","Details"
"Double click on above image to view full picture","Doppel-Klick auf das obige Image um Vollbild anzuzeigen"
"Email to a Friend","E-Mail an einen Freund"
"ID","ID"
"In stock","Auf Lager"
"Index categories URL rewrites","Index Kategorien-URL-Umschreibungen"
"Index product prices","Index Produktpreise"
"Index products URL rewrites","Index Produkt-URL-Umschreibungen"
"Indexed category/products association","Indizierte Kategorie/Produkassoziierung"
"Info Column Options Wrapper","Deckblatt Optionen für Infospalte"
"Invalid attribute %s","Ungültiges Attribut %s"
"Items %s-%s of %s","Artikel %s-%s von %s"
"Learn More","Erfahren Sie mehr"
"More Views","Mehr Ansichten"
"Name","Name"
"New Products","Neue Produkte"
"Out of stock","Nicht lieferbar"
"Please wait...","Bitte warten..."
"Price and Stock Index","Preis- und Lagerindex"
"Print This Page","Diese Seite drucken"
"Product","Produkt"
"Product Flat Data","Produkt Flat Daten"
"Product Flat Index","Index Produktebene"
"Product Tags List","Liste der Produkt-Tags"
"Product URL Rewrite","Produkt-URL Umschreibung"
"Product URL Rewrites","Produkt-URL Umschreibungen"
"Product URL Suffix","URL-Suffix des Produkts"
"Product View Extra Hint","Produktansicht extra Hint"
"Quick Overview","Schnellübersicht"
"Related Products","Zubehör"
"Remove Product","Produkt löschen"
"Reorganize EAV category structure to flat structure","EAV Kategorie-Struktur in Flat-Struktur umwandeln"
"Reorganize EAV product structure to flat structure","EAV Produkt-Struktur in Flat-Struktur umwandeln"
"SKU","SKU"
"SKU# %s","SKU-Nr. %s"
"Select Category","Kategorie auswählen"
"Set Ascending Direction","Aufsteigende Sortierung einstellen"
"Set Descending Direction","In absteigender Reihenfolge"
"Shop By","Shop nach"
"Shopping Options","Einkaufsoptionen"
"Show","Anzeigen"
"Skip Category Selection","Skip Category Selection"
"Skip choosing category","Kategorieauswahl überspringen"
"Sort By","Sortieren nach"
"Status","Status"
"Subscribe to RSS Feed","Für RSS Feed anmelden"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","Der Wohnungskatalog lässt sich nur nach %2\$d Eigenschaften durchsuchen oder sortieren. Im Moment sind aber %1\$d angegeben. Für die Verwendung dieses Moduls verringern sie bitte die Anzahl der Filter-/Sortiereigenschaften."
"There are no products matching the selection.","Es gibt keine Produkte, die dieser Auswahl entsprechen."
"URL Redirect","URL-Umleitung"
"Unsupported product type ""%s"".","Nicht unterstützter Produkttyp ""%s""."
"View as","Darstellung als"
"You may also be interested in the following product(s)","Sie könnten auch an folgenden Produkten interessiert sein"
"Zoom In","Vergrößern"
"Zoom Out","Verkleinern"
"per page","pro Seite"
"select all","Alles auswählen"
"unselect all","Alles abwählen"
