"(Allow)","(Erlauben)"
"(Config)","(Konfig)"
"(Deny)","(Blockieren)"
"-- Please Select --","-- Please Select --"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Achtung!</strong> Gemäß Standardeinstellung schränkt dieses Feature alle Kategorien ein."
"A permission with the same scope already exists.","Eine Erlaubnis für denselben Anwendungsbereich existiert bereits."
"Add to Cart","Zu Einkaufsliste hinzufügen"
"All Customer Groups","All Customer Groups"
"All Websites","All Websites"
"Allow","Allow"
"Allow Adding to Cart","Zu Einkaufsliste hinzufügen erlauben"
"Allow Browsing Category","Nach Kategorie suchen erlauben"
"Browsing Category","Nach Kategorie suchen"
"Catalog Permissions","Katalogberechtigungen"
"Category Permissions","Kategorien-Befugnisse"
"Category Permissions Section","Abschnitt Kategorien-Befugnisse"
"Customer Group","Customer Group"
"Customer Groups","Kundengruppen"
"Deny","Deny"
"Disallow Catalog Search By","Untersage Katalogsuche nach"
"Display Product Prices","Produktpreise anzeigen"
"Enable","Aktivieren"
"Landing Page","Hauptseite"
"New Permission","Neue Befugnis"
"No","Nein"
"No, Redirect to Landing Page","Nein, auf Hauptseite weiterleiten"
"Permission with the same scope","Befugnis mit demselben Geltungsbereich"
"Permissions do not depend on store views.","Permissions do not depend on store views."
"Remove Permission","Befugnis entziehen"
"The product ""%s"" cannot be added to cart.","Das Produkt ""%s"" kann dem Warenkorb nicht hinzugefügt werden."
"Use parent","Use parent"
"Website","Website"
"Yes, for Everyone","Ja, für alle"
"Yes, for Specified Customer Groups","Ja, für bestimmte Kundengruppen"
"You have no permissions to access this category","Sie haben keine Berechtigung für den Zugriff auf diese Kategorie"
"You have no permissions to access this product","Sie haben keine Berechtigung für den Zugriff auf dieses Produkt"
