"Additional Info","Zusätzliche Info"
"Advanced Search","Erweiterte Suche"
"Advanced Search Form","Formular Erweiterte Suche"
"Advanced Search Result","Erweiterte Suche Ergebnisse"
"Catalog Advanced Search","Katalog Erweiterte Suche"
"Catalog Search Index","Katalog Suchindex"
"Enter search keyword","Suchbegriff eingeben"
"Go","Los"
"Popular Search Terms","Beliebte Suchbegriffe"
"Quick Search Form","Formular Schnellsuche"
"Search","Suche"
"Search Settings","Sucheinstellungen"
"Search results for '%s'","Suchergebnisse für '%s'"
"Search site:","Suchseite:"
"Subscribe to Feed","Feed abonnieren"
"Your search returns no results.","Ihre Suche ergab keine Ergebnisse."
