"%s product requires your attention.","%s Produkt benötigt Ihre Aufmerksamkeit."
"%s product was added to your shopping cart.","%s Produkt wurde zu Ihrem Einkaufswagen hinzugefügt."
"%s products require your attention.","%s Produkte benötigen Ihre Aufmerksamkeit."
"%s products were added to your shopping cart.","%s Produkte wurden zu Ihrem Einkaufswagen hinzugefügt."
"%s was added to your shopping cart.","%s wurde zu Ihrem Einkaufswagen hinzugefügt."
"* Required Fields","* Notwendige Felder"
"<span id=""sku-attention-num"">%s</span> product(s) require attention","<span id=""sku-attention-num"">%s</span> Produkt(e) benötigen Ihre Aufmerksamkeit"
"Access denied.","Zugang verweigert."
"Action","Aktion"
"Add New Address","Neue Adresse hinzufügen"
"Add Products","Produkte hinzufügen"
"Add Products By SKU","Produkte über SKU hinzufügen"
"Add Products to Order","Produkte zur Bestellung hinzufügen"
"Add Row","Zeile hinzufügen"
"Add Selected Product(s) to Shopping Cart","Ausgewählte(s) Produkt(e) in den Warenkorb legen."
"Add To Cart","Zum Einkaufswagen hinzufügen"
"Add to Cart","Zum Warenkobrn hinzufügen"
"Add to Compare","Hinzufügen um zu vergleichen"
"Add to Order","Zu Bestellungen hinzufügen"
"Add to Order by SKU","Zur Bestellung über SKU hinzufügen"
"Add to Shopping Cart","Zum Einkaufswagen hinzufügen"
"Add to Shopping Cart by SKU","Zum Einkaufswagen über SKU hinzufügen"
"Add to Wishlist","Zum Wunschzettel hinzufügen"
"Additional Product Info","Zusätzliche Angaben zum Produkt"
"Address","Adresse"
"Address %s of %s","Adresse %s von %s"
"Allowed file type: csv.<br/>File must contain two columns, with ""sku"" and ""qty"" in the header row.","Erlaubter Dateityp: csv<br/>Die Datei muss zwei Spalten enthalten mit ""sku"" und ""qty"" in der Kopfzeile."
"Already registered?","Schon registriert?"
"An error has occurred. See error log for details.","Ein Fehler ist aufgetreten. Genauere Informationen finden Sie im Fehlerprotokoll."
"Apply","Anwenden"
"Apply Coupon","Coupon verrechnen"
"Apply Coupon Code","Gutschein-Code anwenden"
"Are you sure you want to delete all items from shopping cart?","Sind Sie sicher, dass Sie alle Artikel aus dem Einkaufswagen löschen möchten?"
"Are you sure you would like to remove this item from the shopping cart?","Sind Sie sicher, dass sie diesen Artikel aus Ihrem Warenkorb entfernen wollen?"
"Availability: Out of stock.","Verfügbarkeit: Nicht auf Lager."
"Back","Zurück"
"Back to Billing Information","Zurück zur Rechnungsinformation"
"Back to Select Addresses","Zurück zur Adressenauswahl"
"Back to Shipping Information","Zurück zur Versandinformation"
"Back to Shopping Cart","Zurück zum Warenkorb"
"Based on your selection, you may be interested in the following items:","Ihrer Auswahl zufolge könnten Sie möglicherweise an folgenden Artikeln interessiert sein:"
"Billing Address","Rechnungsadresse"
"Billing Information","Rechnungsinformation"
"Cancel","Abbrechen"
"Cancel Coupon","Coupon abbrechen"
"Cannot add product","Produkt kann nicht hinzugefügt werden"
"Cannot configure product","Produkt kann nicht konfiguriert werden"
