"ASCII","ASCII"
"Action","Aktion"
"Add Scheduled Export","Geplanten Export hinzufügen"
"Add Scheduled Import","Geplanten Import hinzufügen"
"Are you sure you want to delete the selected scheduled imports/exports?","Sind Sie sicher, dass Sie die ausgewählten geplanten Imports/Export löschen möchten?"
"Are you sure you want to delete this scheduled export?","Sind Sie sicher, dass Sie diesen geplanten Export löschen möchten?"
"Are you sure you want to delete this scheduled import?","Sind Sie sicher, dass Sie diesen geplanten Import löschen möchten?"
"Binary","Binär"
"Can not change status for all items","Status aller Elemente kann nicht geändert werden"
"Can not delete all items","Es können nicht alle Elemente gelöscht werden"
"Change status","Status ändern"
"Clean Now","Jetzt säubern"
"Connecting to server","Zum Server verbinden"
"Continue Processing","Vorgang fortsetzen"
"Daily","Täglich"
"Delete","Löschen"
"Description","Beschreibung"
"Directory ""%s"" is not writable.","Verzeichnis ""%s"" ist nicht beschreibbar."
"Disabled","Deaktiviert"
"Edit","Bearbeiten"
"Edit Scheduled Export","Geplanten Export bearbeiten"
"Edit Scheduled Import","Geplanten Import bearbeiten"
"Enable Scheduled File History Cleaning","Geplante Bereinigung Dateiverlauf zulassen"
"Enabled","Aktiviert"
"Entity Attributes","Entitätenattribute"
"Entity Type","Entitätstyp"
"Entity type","Entity-Typ"
"Error Email Recipient","Fehler E-Mail-Empfänger"
"Error Email Sender","Fehler E-Mail-Versender"
"Error Email Template","Fehler E-Mail Muster"
"Export","Export"
"Export Failed","Export fehlerhaft"
"Export Failed Emails","Export fehlerhafte Emails"
"Export File Information","Dateiinformation exportieren"
"Export Settings","Exporteinstellungen"
"FTP Host[:Port]","FTP Host[:Port]"
"Failed","Fehlgeschlagen"
"Failed Email Receiver","Emailempfänger fehlerhaft"
"Failed Email Sender","Email-Sender fehlerhaft"
"Failed Email Template","Fehlerhaftes Email-Template"
"File Directory","Dateiverzeichnis"
"File Format","Dateiformat"
"File History Clean Failed","Säuberung Dateiverlauf fehlerhaft"
"File Mode","Dateimodus"
"File Name","Dateiname"
"File has been not created","Datei wurde nicht erstellt"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","Verwenden Sie für Typ lokaler Server den entsprechenden Pfad zur Magento Installation, z. B. var/export, var/import, var/export/some/dir"
"Frequency","Frequenz"
"History files have been deleted","Verlaufsdateien wurden gelöscht"
"Import","Import"
"Import Behavior","Importverhalten"
"Import Failed","Import fehlerhaft"
"Import Failed Emails","Import fehlerhafte Emails"
"Import File Information","Import Dateiinformation"
"Import Settings","Importeinstellungen"
"Invalid cron job task","Ungültige Cron-Job-Aufgabe"
"Invalid scheduled operation","Ungültige geplante Aktion"
"Invalid scheduled operation type","Ungültiger geplanter Aktionstyp"
"Invalid server communication class ""%s""","Invalid server communication class ""%s"""
"Invalid server comunication class ""%s""","Ungültige Serverkomunikationsklasse ""%s"""
"Invalid server type","Ungültiger Servertyp"
"Last Outcome","Letztes Ergebnis"
"Last Run Date","Letztes Laufdatum"
"Local Server","Lokaler Server"
"Monthly","Monatlich"
"Name","Name"
"New Scheduled Export","Neuer geplanter Export"
"New Scheduled Import","Neuer geplanter Import"
"No valid data sent","Keine gültige Daten gesendet"
"On Error","Fehlerhaft"
"Operation","Aktion"
"Operation finished with fail status","Aktion beendet mit Fehlerstatus"
"Operation has been successfully run","Aktion wurde erfolgreich durchgeführt"
"Passive Mode","Passiv-Modus"
"Password","Passwort"
"Pending","ausstehend / anhängig"
"Reading import file","Importierte Datei lesen"
"Remote FTP","Remote FTP"
"Run","Ausführen"
"Save Files, Days","Dateien speichern, Tage"
"Save file content","Dateiinhalt speichern"
"Save history file content ""%s""","Verlauf Dateiinhalt ""%s"" speichern"
"Scheduled Import/Export","Geplanter Import/Export"
"Scheduled Import/Export File History Cleaning","Geplanter Import/Export Bereinigung Dateiverlauf"
"Scheduled Imports/Exports","Geplante Importe/Exporte"
"Send Failed Email Copy Method","Sende-Methode fehlerhafter E-Mail-Kopie"
"Send Failed Email Copy To","Sende fehlerhafte E-Mail-Kopie an"
"Server Type","Servertyp"
"Start Time","Startzeit"
"Status","Status"
"Stop Import","Import anhalten"
"Successful","Erfolgreich"
