"%s & applied","%s & angewendet"
"Access denied","Zugang verweigert"
"Action","Aktion"
"Action Group","Aktion Gruppe"
"Admin Actions Log","Verwaltung Aktionen Protokoll"
"Admin Actions Log Archive","Verwaltung Aktionen Protokoll Archiv"
"Admin Actions Log Archiving","Verwaltung Aktionen Protokoll Archivierung"
"Admin Actions Logging","Verwaltung Aktionen Protokollierung"
"Admin Actions Logs","Verwaltung Aktionen Protokolle"
"Admin Logging","Verwaltung Protokollierung"
"Admin My Account","Mein Konto verwalten"
"Admin Permission Roles","Rollengenehmigungen verwalten"
"Admin Permission Users","Benutzergenehmigungen verwalten"
"Admin Sign In","Anmeldung verwalten"
"Admin User Data","Benutzerdaten verwalten"
"Admin User ID","Benutzer-ID verwalten"
"Admin User Name","Benutzername verwalten"
"Aggregated Information","Gesammelte Informationen"
"All Users","Alle Benutzer"
"Apply","Anwenden"
"Archive","Archiv"
"Archive File","Archivdatei"
"Attributes Updated","Attribute aktualisiert"
"Back","Zurück"
"CMS Blocks","CMS Blocks"
"CMS Pages","CMS Seiten"
"CMS Polls","CMS Umfragen"
"Cache Management","Cache-Verwaltung"
"Cache types: %s ","Cache Typen: %s"
"Catalog Attribute Sets","Katalog Attribut Einstellungen"
"Catalog Attributes","Katalog Attribute"
"Catalog Categories","Katalog Kategorien"
"Catalog Price Rules","Katalog Preisregeln"
"Catalog Product Tax Classes","Katalog Produkt Steuerklassen"
"Catalog Products","Katalog Produkte"
"Catalog Ratings","Katalog Bewertungen"
"Catalog Reviews","Katalog Prüfungen"
"Catalog Search","Katalog Suche"
"Catalog Tags","Katalog Tags"
"Checkout Terms and Conditions","Checkout Geschäftsbedingungen"
"Clean","Reinigen (clean)"
"Create","Anlegen"
"Currency Rates Saved","Gespeicherte Devisenkurse"
"Custom Variables","Individuelle Variable"
"Customer Groups","Kundengruppen"
"Customer Tax Classes","Kunde Steuerklassen"
"Customers","Kunden"
"Daily","Täglich"
"Date","Datum"
"Delete","Löschen"
"Edit","Bearbeiten"
"Email","E-Mail"
"Enabled Actions","Aktivierte Aktionen"
"Error Message","Fehlermeldung"
"Export","Export"
"Failure","Störung"
"Fetch","Holen (fetch)"
"Flush","Spülen (flush)"
"Forgot Password","Passwort vergessen"
"Full Action Name","Vollständiger Name der Aktion"
"Full Details","Vollständige Details"
"Global Search","Globale Suche"
"Google Base","Google Base"
"Google Sitemap","Google Sitemap"
"IP Address","IP-Adresse"
"IP-Address","IP-Adresse"
"Import","Import"
"Import/Export Profiles","Profile importieren/ exportieren"
"0","1"
"Index Management","Index Management"
"Item was deleted","Artikel wurde gelöscht"
"Log Archiving Frequency","Protokoll Archivierung Frequenz"
"Log Entry #%d","Protokoll Eintrag #%d"
"Log Entry Details","Protokoll Eintrag Details"
"Log Entry Lifetime, Days","Protokoll Eintrag Speicherdauer, Tage"
"Logging","Protokollierung"
"Login","Login"
"Manage Currency Rates","Devisenkurse verwalten"
"Manage Design","Design verwalten"
"Manage Store Views","Storeansichten verwalten"
"Manage Stores","Stores verwalten"
"Manage Websites","Websiten verwalten"
"Mass Delete","Massen Löschung (Massen Delete)"
"Mass Update","Massen Akutalisierung (Massen Update)"
"Monthly","Monatlich"
"Move","Verschieben"
"N/A","k/A"
"New","Neu"
"Newsletter Queue","Newsletter Schlange"
"Newsletter Subscribers","Newsletter Abonnenten"
"Newsletter Templates","Newsletter Vorlagen"
"No changes","Keine Änderungen"
"PayPal Settlement Reports","PayPal Abwicklungsberichte"
"Print","Drucken"
"Recurring Profiles","Wiederkehrende Profile"
"Reindex Process","Reindex Prozess"
"Related Changes","Dazugehörige Änderungen"
"Reorder","Neu ordnen"
"Report","Bericht"
"Reports","Berichte"
"Result","Ergebnis"
"Rollback","Rollback"
"Run","Ausführen"
"Sales Credit Memos","Verkaufsgutschriften"
"Sales Invoices","Verkäufe Rechnungen"
"Sales Order Status","Verkäufe Bestellstatus"
"Sales Orders","Verkäufe Bestellungen"
"Sales Shipments","Verkäufe Sendungen"
"Save","Speichern"
"Send","Senden"
"Shopping Cart Price Rules","Warenkorb Preisregeln"
"Short Details","Kurzdetails"
"Source Data","Ursprungsdaten"
"Success","Erfolg"
"System","System"
"System Backups","System Sicherungskopie"
"System Configuration","System Konfiguration"
"Tax Rates","Steuersätze"
"Tax Rates Export","Steuersätze exportieren"
"Tax Rates Import","Steuersätze importieren"
"Tax Rules","Steuervorschriften"
"Time","Zeit"
"Transactional Emails","Transaktions-E-Mails"
"URL Rewrites","URL Neuschreibung"
"Update Profile","Profil aktualisieren"
"Update State","Status aktualisieren"
"User is locked","Benutzer gesperrt"
"Username","Benutzername"
"Value After Change","Wert nach Änderung"
"Value Before Change","Wert vor Änderung"
"View","Anzeigen"
"View Entry","Eintrag anzeigen"
"Web Services API Roles","Web Services API-Funktionen"
"Web Services API Users","Web Services API Benutzer"
"Weekly","Wöchentlich"
"Widget Instances","Widget Instanzen"
"X-Forwarded For","X-Weitergeleitet für"
"1","1"
