"""Order"" authorizations are not implemented. Please use ""simple"" authorization.","Berechtigungen für ""Bestellung"" sind nicht realisiert. Bitte verwenden Sie ""einfache"" Berechtigung."
"3D Secure Card Validation","3D Secure-Kartenbestätigung"
"3D Secure Check will be unavailable if CIM enabled.","3D Secure Check ist nicht verfügbar, wenn CIM aktiviert ist."
"3D secure authentication passed.","3D secure authentication passed."
"Accepted Currency","Akzeptierte Währung"
"Account holder","Account holder"
"Account number","Account number"
"Austria","Austria"
"Authorization","Berechtigung"
"Authorization transaction is required to void.","Autorisierungstransaktion erforderlich zur Aufhebung."
"Authorize Only","Nur Genehmigung"
"Authorize and Capture","Genehmigen und erfassen"
"Bank code","Bank code"
"Braintree","Braintree"
"Business","Business"
"Continue","Continue"
"Corporate","Corporate"
"Credit Cards","Kreditkarten"
"Cybersource (SOAP Toolkit)","Cybersource (SOAP Toolkit)"
"DIBS Payment Services","DIBS-Zahlungsservices"
"Data Transfer Key","Datenübertragungsschlüssel"
"Debug","Fehler beheben"
"Direct Sale","Direktverkauf"
"Empty response received from Payment Bridge.","Leere Antwort von der Zahlungs-Brücke erhalten."
"Enable 3D Secure Card Validation in Admin","Enable 3D Secure Card Validation in Admin"
"Enable 3D Secure Card Validation on Frontend","Enable 3D Secure Card Validation on Frontend"
"Enable CIM","Aktivieren Sie CIM"
"Enable Vault","Aktivieren Sie Überspringen"
"Enabled","Aktiviert"
"First Data Global Gateway Web Service API","First Data Global Gateway Web Service API"
"Gateway Basic URL","Gateway Basis-URL"
"Germany","Germany"
"Gives effect only when payment bridge is active.","Nur wirksam, wenn das Bezahlungsmodul Payment Bridge aktiv ist."
"IPN postback HTTP error: %s","IPN Postback HTTP Fehler: %s"
"IPN postback Validation error: %s","IPN Postback Validierungsfehler: %s"
"IPN verification ""%s"".","IPN verification ""%s""."
"If enabled, the Payone payment method will not be available for placing the orders from the backend.","If enabled, the Payone payment method will not be available for placing the orders from the backend."
"If enabled, the WorldPay payment method will not be available for placing the orders  from the backend.","If enabled, the WorldPay payment method will not be available for placing the orders  from the backend."
"Impossible to issue a refund transaction, because capture transaction does not exist.","Es kann keine Erstattungstransaktion erstellt werden, weil die zu verrechnende Transaktion nicht existiert."
"Magento Unique Identifier","Magento Eindeutige Kennung"
"Maximum data transfer key length is 32. Please correct your settings.","Die maximale Schlüssellänge für Datenübertragung beträgt 32. Bitte passen Sie Ihre Einstellungen an."
"Merchant Code","Händlercode"
"Merchant Key","Händlerschlüssel"
"Merchant review is required for further processing.","Händler-Kritik ist für die weitere Verarbeitung erforderlich."
"My Credit Card profiles","Meine Kreditkartenprofile"
"My Credit Cards","Meine Kreditkarten"
"Netherlands","Netherlands"
"Note: %s","Note: %s"
"Notified customer about invoice #%s.","Notified customer about invoice #%s."
"Ogone Credit Card","Ogone Credit Card"
"Ogone Direct Debit","Ogone Direct Debit"
"Ogone Direct Link","Direktlink Ogone"
"Optional. Used in case of multiple Magento instances use the same Payment Bridge merchant account (Merchant Code).","Optional. Wird verwendet, falls in mehreren Magento-Vorgängen das gleiche Payment Bridge-Händlerkonto (Händler-Code) genutzt wird."
"Order has been canceled.","Order has been canceled."
"Original gateway transaction id: #%s.","Ursprüngliche Gateway-Transaktions-ID: #%s."
"PSi Gate","PSi-Gate"
"Pay Now","Jetzt bezahlen"
"Paybox Direct","Paybox Direkt"
"Payflow PNREF: #%s.","Payflow PNREF: #%s."
"Payment Action","Zahlungsaktion"
"Payment Bridge","Payment Bridge"
"Payment Bridge Selected","Payment Bridge ausgewählt"
"Payment Bridge authentication data is not present","Payment Bridge Authentifizierungsdaten nicht vorhanden"
"Payment Method Code is not passed.","Zahlungsmethode Code nicht durchgeführt."
"Payment from Applicable Countries","Zahlung aus geeigneten Ländern"
"Payment from Specific Countries","Zahlung  aus spezifischen Ländern"
"Payment gateway internal error.","Interner Fehler des Zahlungsgateways."
"Payone Direct Debit","Payone Direct Debit"
"Payone.de","Payone.de"
"Please agree to all the terms and conditions before placing the order.","Bitte stimmen Sie den Allgemeinen Geschäftsbedingungen zu, bevor Sie die Bestellung aufgeben."
"Please do not refresh the page until you complete payment.","Bitte die Seite nicht aktualisieren, bis Sie die Zahlung abgeschlossen haben."
"Preauthorization","Preauthorization"
"Reload Form","Reload Form"
"Sage Pay Direct","Sage Pay Direct"
"Sale","Abverkauf"
"Sort Order","Sortierfolge"
"Test Mode","Testmodus"
"This payment method will work only if the Payment Bridge is enabled and configured correctly.","Diese Zahlungsmethode funktioniert nur, wenn die Payment Bridge aktiviert und korrekt konfiguriert ist."
"Title","Titel"
"Unable to cancel order.","Unable to cancel order."
"Unable to communicate with Payment Bridge service.","Die Kommunikation mit dem Payment Bridge Dienst ist unterbrochen."
"Use via Payment Bridge","Nutzung über Payment Bridge"
"Worldpay","Worldpay"
"Wrong Order ID (%s) specified.","Wrong Order ID (%s) specified."
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #1E75B4"" href=""#"" onclick=""parent.reloadIframe(paymentObj.currentMethod); return false;"">here</a> .","Ihre Zahlungsinformationen wurden an den Server übermittelt. Sollten Änderungen erforderlich sein, klicken Sie bitte <a style=""color: #1E75B4"" href=""#"">hier</a> ."
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #F15A24"" href=""#"" onclick=""parent.reloadIframe(parent.order.paymentMethod); return false;"">here</a> .","Ihre Zahlungsinformationen wurden an den Server übermittelt. Sollten Änderungen erforderlich sein, klicken Sie bitte <a style=""color: #F15A24"" href=""#"">hier</a> ."
"eWAY Direct","eWAY Direct"
