"-- Not Selected --","-- Not Selected --"
"<b>Important</b>: If this shopping cart price rule has been used in an automated email reminder rule it will be automatically unassigned after shopping cart price rule is saved.","<b> Wichtig </b>: Wenn diese Warenkorb Preisregel in einer automatisierten E-Mail Erinnerung benutzt wurde, wird sie automatisch unbestimmt nachdem die Warenkorb Regel gespeichert wird."
"Active","Aktiv"
"Add New Rule","Neue Regel hinzufügen"
"Are you sure you want to match this rule now?","Sind Sie sicher, diese Regel jetzt anwenden zu wollen?"
"Assigned to Website","Webseite zugewiesen"
"Automated Email Marketing Reminder Rules","Automatisierte Regel für Marketing-E-Mail-Erinnerung"
"Automated Email Reminder Rules","Automatisierte Regel für E-Mail Erinnerung"
"Cart Line Items","Einkaufswagenartikel"
"Conditions","Bedingungen"
"Coupon","Gutschein"
"Coupon Code","Gutscheincode"
"Coupon Usage Limit","Gutschein-Nutzungsbegrenzung"
"Coupon Usage per Customer","Gutschein-Benutzung pro Kunde"
"Coupons can be auto-generated by reminder promotion rules.","Gutscheine können durch Regeln für Promotions-Erinnerungen automatisch erstellt werden."
"Date Expire","Ablaufdatum"
"Date Start","Startdatum"
"Default Titles and Description","Standardtitel und Beschreibung"
"Description","Beschreibung"
"Edit Rule","Regel ändern"
"Edit Rule '%s'","Regel ‘%s’ ändern"
"Email","E-Mail"
"Email Reminder Rule","Regel für E-Mail-Erinnerung"
"Email Send Failure Threshold","Schwellenwert für E-Mail-Versandfehler"
"Email Templates","E-Mail-Vorlagen"
"Emails Failed","E-Mails nicht übermittelt"
"Emails Sent","E-Mails übermittelt"
"Emails and Labels","E-Mails und Kennsätze"
"Emails will be sent only for specified store views. Email store view matches the store view customer was registered on.","E-Mails werden nur für bestimmte Store-Views versendet. E-Mail-Store-View stimmt mit gespeichertem Kunden-Store-View überein."
"Empty value disables this limitation. If not limited, the reminder emails may stuck sending over and over.","Leerer Wert deaktiviert diese Beschränkung. Wenn nicht beschränkt, Aufhängung durch wiederholte Erinnerungs-E-Mails möglich."
"Enable Reminder Emails","Erinnerungs-E-Mails aktivieren"
"Failed to delete reminder rule.","Löschen der Erinnerungsregel fehlgeschlagen."
"Failed to save reminder rule.","Speichern der Erinnerungsregel fehlgeschlagen."
"Frequency","Häufigkeit"
"From Date","Datum von"
"General Information","Allgemeine Information"
"ID","Benutzererkennung"
"If an item is %s in the shopping cart with %s of these conditions match:","Wenn ein Artikel %s im Warenkorb ist und %s dieser Bedingungen zutreffen:"
"If an item is %s in the wishlist with %s of these conditions match:","Wenn ein Artikel %s auf dem Wunschzettel ist und %s dieser Bedingungen zutreffen:"
"In what number of days to repeat reminder email, if the rule condition still matches. Enter days, comma-separated.","In wievielen Tagen Erinnerungs-E-Mail wiederholen wenn Regelsbedingung noch zutrifft. Tragen Sie Tage ein, durch Komma getrennt."
"Inactive","Nicht aktiv"
"Interval","Intervall"
"Item %s %s %s:","Artikel %s %s %s:"
"Item SKU %s %s ","Artikel SKU %s %s"
"Item was added to shopping cart %s store view %s","Artikel wurde Warenkorb zugefügt %s Shop Ansicht %s"
"Item was added to wishlist %s store view %s","Artikel wurde dem Wunschzettel zugefügt %s Shop Ansicht %s"
"Items Quantity","Artikelmenge"
"Items Subselection","Artikel-Subselektion"
"Last Sent At","Zuletzt versendet Um"
"Matched At","Gefunden Um"
"Matched Customers","Gefundene Kunden"
"Maximum Emails per One Run","Maximale E-Mails pro Einzelablauf"
"Minute of the Hour","Minute der Stunde"
"N/A","Nicht zutreffend"
"New Rule","Neue Regel"
"No","Nein"
"Number of Items","Artikelanzahl"
"Number of shopping cart line items %s %s:","Anzahl der Warenkorb Linien Artikel %s %s:"
"Number of wishlist items %s %s ","Anzahl der Wunschzettel Artikel %s %s"
"Numeric Attribute","Numerische Eigenschaft"
"Overrides default titles and descriptions. Note that if email an template is not specified for this store view, the respective variable values will be deleted.","Überschreibt Standardtitel und Beschreibungen. Beachten Sie, dass entsprechende variable Werte gelöscht werden, wenn E-Mail und Vorlage für diesen Store-View nicht angegeben sind."
"Please, specify correct minutes of hour.","Bitte geben Sie korrekte Minuten der Stunde an."
"Product %s","Produkt %s"
"Product Attributes","Produkteigenschaften"
"Promo Section","Promo-Bereich"
"Promotion rule this reminder will advertise.","Regel für Promotion, für die mit dieser Erinnerung geworben wird. "
"Promotions","Promotionen"
"Reminder Email Sender","Erinnerungs-E-Mail Sender"
"Reminder Rules","Regeln für Erinnerungen"
"Reminder emails may promote a shopping cart price rule with or without coupon. If a shopping cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer.","Erinnerungs-E-Mails können auf Einkaufswagen-Preis-Regel mit oder ohne Gutschein zutreffen. Wenn eine Einkaufswagen-Preis-Regel einen automatisch erstellten Gutschein definiert, wird diese Erinnerungs-Regel einen zufälligen Gutscheincode für jeden Kunden erstellen."
"Reminder rule matching error.","Keine passende Regel für Erinnerung gefunden."
"Repeat Schedule","Wiederholungszeitplan"
"Root shopping cart condition should have days value at least 0.","Der ursprüngliche Zustand des Einkaufswagens sollte einen Wert von mindestens 0 Tagen haben."
"Root wishlist condition should have days value at least 1.","Haupt-Wunschzettel-Bedingung soll Tageswert von mindestens 1 haben."
"Rule Description for All Store Views","Regelbeschreibung für Alle Store-Views"
"Rule Information","Regelinformation"
"Rule Name","Regelname"
"Rule Reminder","Regelerinnerung"
"Rule Title for All Store Views","Regeltitel für Alle Store-Views"
