"Action","Aktion"
"Add New Search Term","Neuen Suchbegriff hinzufügen"
"Display in Suggested Terms","In vorgeschlagenen Begriffen anzeigen"
"Edit","Bearbeiten"
"Enable Search Recommendations","Suchempfehlungen aktivieren"
"Enable Search Suggestions","Suchvorschläge aktivieren"
"Enable Solr Engine for Catalog Navigation","Solr Engine für Katalognavigation aktivieren"
"Engine autocommit","Engine-Autocommit"
"Final commit","Finaler Commit"
"ID","ID"
"Indexation Mode","Indexierungsmodus"
"MySql Fulltext","MySql Volltext"
"No","Nr."
"Note: Enabling this option affects the performance.","Hinweis: Aktivierung dieser Option beeinträchtigt die Leistung."
"Note: Partial commit mode affects time of indexation, but allows indexed products to be visible on the frontend before indexation is completed.","Hinweis: Eingrschänkter Commit-Modus beeinträchtigt die Indexierungszeit, ermöglicht aber, dass indexierte Produkte vor Abschluss der Indexierung am Frontend sichtbar sind."
"Number of Uses","Anzahl der Einsätze"
"Partial commit","Eingeschränkter Commit"
"Redirect","Weiterleiten"
"Related Search Terms","Verwandte Suchbegriffe"
"Results","Ergebnisse"
"Search Engine","Suchmaschine"
"Search Query","Suchanfrage"
"Search Recommendations Count","Anzahl der Suchempfehlungen"
"Search Suggestions Count","Anzahl der Suchvorschläge"
"Show Results Count for Each Recommendation","Ergebniszahl für jede Empfehlung anzeigen"
"Show Results Count for Each Suggestion","Ergebniszahl für jeden Vorschlag anzeigen"
"Solr","Solr"
"Solr Server Hostname","Solr Server Hostname"
"Solr Server Password","Solr Server Passwort"
"Solr Server Path","Solr Server Pfad"
"Solr Server Port","Solr Server Port"
"Solr Server Timeout","Solr Server Timeout"
"Solr Server Username","Solr Server Benutzername"
"Store","Speichern"
"Synonym For","Synonym für"
"Test Connection","Testverbindung"
"Unable to perform search because of search engine missed configuration.","Suche konnte nicht durchgeführt werden, da die Suchmaschine nicht konfiguriert ist."
"Without starting and trailing slashes.","Ohne Start- und Trailing-Slahes."
"Yes","Ja"
