"""%s"" cannot be moved.","""%s"" kann nicht verschoben werden."
"""%s"" is already present in %s.","""%s"" ist bereits in %s vorhanden."
"""%s"" was successfully copied to %s.","""%s"" wurde erfolgreich nach %s kopiert."
"""%s"" was successfully moved to %s.","""%s"" wurde erfolgreich nach %s verschoben."
"%d items","%d Artikel"
"%d items are already present in %s: %s.","%d Artikel sind bereits vorhanden in %s: %s."
"%d items cannot be moved: %s.","%d Artikel können nicht verschoben werden: %s."
"%d items could not be copied.","%d Artikel konnten nicht kopiert werden."
"%d items could not be moved.","%d Artikel konnten nicht verschoben werden."
"%d items were copied to %s: %s.","%d Artikel wurden kopiert in %s: %s."
"%d items were not found.","%d Artikel wurden nicht gefunden."
"%d items were successfully moved to %s: %s.","%d Artikel wurden erfolgreich verschoben in %s: %s."
"%s for ""%s"".","%s für ""%s""."
"%s\'s Wishlist","%s\s Wunschzettel"
"%s\'s Wishlist (%s)","%s\s Wunschzettel (%s)"
"* Required Fields","* Pflichtfelder"
"1 item","1 Artikel"
"Actions","Tätigkeiten"
"Add to Cart","Zum Warenkorb hinzufügen"
"Add to Wishlist","Zur Wunschliste hinzufügen"
"Add to:","Hinzufügen zu:"
"Added at","Hinzugefügt um"
"All Forms","Alle Formulare"
"All Wishlists","Alle Wunschzettel"
"An error occurred during wishlist deletion.","Beim Löschen des Wunschzettels ist ein Fehler aufgetreten."
"Back","Zurück"
"Cancel","Abbrechen"
"Change","Ändern"
"Comment","Kommentar"
"Copy To Wishlist","Auf den Wunschzettel kopieren"
"Copy To:","Kopieren in:"
"Copy to Wishlist","Auf den Wunschzettel kopieren"
"Copy to:","Kopieren in:"
"Could not add item to shopping cart.","Artikel konnte nicht zum Einkaufswagen hinzugefügt werden."
"Could not copy ""%s"".","""%s"" konnte nicht kopiert werden."
"Could not copy wishlist item.","Artikel vom Wunschzettel konnte nicht kopiert werden."
"Could not move wishlist item.","Artikel vom Wunschzettel konnte nicht verschoben werden."
"Could not perform search","Suche konnte nicht durchgeführt werden"
"Create New Wishlist","Neuen Wunschzettel anlegen"
"Customer Name","Kundenname"
"Customer's Wishlist Report","Bericht über Wunschzettel des Kunden"
"Customer's Wishlists","Kundenwunschzettel"
"Customer's wishlists","Kundenwunschzettel"
"Customers","Kunden"
"Default wishlist cannot be deleted","Standardwunschzettel kann nicht gelöscht werden"
"Delete Wishlist","Wunschzettel löschen"
"Difference between qtys","Unterschiede bei Stk"
"Display Wishlists Summary","Wunschzettel-Zusammenfassung anzeigen"
"Edit","Bearbeiten"
"Edit Wishlist","Wunschzettel verändern"
"Enable Multiple Wishlists","Mehrere Wunschzettel aktivieren"
"Enter at least two letters","Geben Sie mindestens zwei Buchstaben ein"
"Error happened during wishlist creation","Beim Anlegen des Wunschzettels ist ein Fehler aufgetreten"
"Error happened during wishlist creation. Try again later","Beim Anlegen des Wunschzettels ist ein Fehler aufgetreten. Versuchen Sie es später erneut"
"First Name","Vorname"
"Go","Los"
"Item was not found.","Artikel wurde nicht gefunden."
"Item with specified ID doesn't exist.","Artikel mit angegebener ID existiert nicht."
"Last Name","Letzter Name"
"Log in to edit wishlists.","Melden Sie sich an, um die Wunschzettel zu verändern."
"Make This Wishlist Public","Machen Sie diese Wunschliste öffentlich"
"Move To Wishlist","Auf den Wunschzettel verschieben"
"Move To:","Verschieben nach:"
"Move to Wishlist","Auf den Wunschzettel verschieben"
"Move to:","Gehe zu:"
"My Wishlists","Meine Wunschzettel"
"My Wishlists (%d item)","Meine Wunschzettel (%d Artikel)"
"My Wishlists (%d items)","Meine Wunschzettel (%d Artikel)"
"My Wishlists <small>(%d)</small>","Meine Wunschzettel <small>(%d)</small>"
