"%s x %s","%s x %s"
"Additional Information","Información adicional"
"Availability","Disponibilidad"
"Customize %s","Personalizar %s"
"Customize and Add to Cart","Personalizar y añadir al carrito"
"Details","Detalles"
"Email to a Friend","Escribir un Email a un amigo"
"Go back to product detail","Volver a los detalles del producto"
"In stock","En existencias"
"Out of stock","Agotado"
"Quick Overview","Descripción rápida"
"SKU#%s","SKU#%s"
"Summary","Resumen"
"This product is also part of bundle(s)","Este producto es también parte de un(os) paquete(s)"
"Your Customization","Su personalización"
