"%s Item(s)","%s artículo(s)"
"* Required Fields","* Campos Requeridos"
"Add to Cart","Añadir al Carrito"
"Add to Compare","Agregar para comparar"
"Add to Wishlist","Añadir a lista que quieres."
"Additional Information","Información adicional"
"Alert Urls","Direcciones URL de alerta"
"An error occured while reindexing the products.","An error occured while reindexing the products."
"Bottom Block Options Wrapper","Ajuste de opciones del bloque inferior"
"Cache refresh needed. (NOTE: A dot ""."" before suffix is added automatically)","Necesita renovar la cache (Nota: Un punto ""."" antes del sufijo se añade automáticamente)"
"Catalog Category (Anchor)","Categoría de Catálogo (Ancla)"
"Catalog Category (Non-Anchor)","Categoría de catálogo (Sin ancla)"
"Catalog Category/Product Index","Categoría del catálogo/Índice del producto"
"Catalog Product Compare List","Lista de Comparación de Productos del Catálogo"
"Catalog Product Email to a Friend","Enviar Email a un amigo con el Catálogo de Productos"
"Catalog Product Image Gallery Popup","Galería de imágenes emergente del Catálogo de Productos"
"Catalog Product View (Any)","Vista del Catálogo de Producto (cualquiera)"
"Catalog Seo Sitemap (Category List)","Mapa del Sitio Catálogo Seo (Lista de categorías)"
"Catalog Seo Sitemap (Category Tree)","Mapa del Sitio Catálogo Seo (Árbol de Categorías)"
"Catalog Seo Sitemap (Common)","Mapa del Sitio Catálogo Seo (Común)"
"Catalog Seo Sitemap (Product List)","Mapa del Sitio Catálogo Seo (Lista de Productos)"
"Catalog product price","Precio del producto del catálogo"
"Category","Categoría"
"Category Flat Data","Datos planos de Categoría"
"Category Flat Index","Índice del plano de la categoría"
"Category URL Rewrite","Reescritura de la URL de la categoría"
"Category URL Rewrites","Reescritura de la URL de la categoría"
"Category URL Suffix","Sufijo URL de Categoría"
"Check items to add to the cart or","Comprueba los productos para añadir al carro o."
"Clear All","Limpiar Todo"
"Click on image to zoom","Pinchar en la imagen para ampliarla"
"Close Window","Cerrar Ventana"
"Compare Products","Comparar Productos"
"Create Custom Redirect for old URL","Crear una redirección personalizada para una antigua URL"
"Details","Detalles"
"Double click on above image to view full picture","Pinchar dos veces en la imagen superior para verla completa"
"Email to a Friend","Escribir un Email a un amigo"
"ID","ID"
"In stock","En existencias"
"Index categories URL rewrites","Reescrituras de la URL de las categorías del índice"
"Index product prices","Indexar los precios de productos"
"Index products URL rewrites","Reescrituras de la URL de los productos del índice"
"Indexed category/products association","Asociación categoría/productos indexada"
"Info Column Options Wrapper","Envoltorio de las opciones de columna de información"
"Invalid attribute %s","Atributo %s inválido"
"Items %s-%s of %s","Elementos %s-%s de %s"
"Learn More","Saber más"
"More Views","Más vistas"
"Name","Nombre"
"New Products","Nuevos productos"
"Out of stock","Agotado"
"Please wait...","Por favor, espera..."
"Price and Stock Index","Índice de precios y existencias"
"Print This Page","Imprimir esta página"
"Product","Producto"
"Product Flat Data","Datos Fijos de Producto"
"Product Flat Index","Índice del plano del producto"
"Product Tags List","Lista de las etiquetas del producto"
"Product URL Rewrite","Reescritura de la URL del producto"
"Product URL Rewrites","Reescrituras de la URL del producto"
"Product URL Suffix","Sufijo de URL de producto"
"Product View Extra Hint","Sugerencia Adicional de Vista de Producto"
"Quick Overview","Descripción rápida"
"Related Products","Productos Relacionados"
"Remove Product","Eliminar Producto"
"Reorganize EAV category structure to flat structure","Reorganizar la esctructura de categoría EAV a una estructura plana"
"Reorganize EAV product structure to flat structure","Reorganizar la esctructura de producto EAV a una estructura plana"
"SKU","SKU"
"SKU# %s","SKU# %s"
"Select Category","Seleccionar Categoría"
"Set Ascending Direction","En sentido ascendente"
"Set Descending Direction","Establecer dirección descendente"
"Shop By","Comprar por"
"Shopping Options","Opciones de compra"
"Show","Mostrar"
"Skip Category Selection","Skip Category Selection"
"Skip choosing category","Saltar elección de categoría"
"Sort By","Ordenar por"
"Status","Estado"
"Subscribe to RSS Feed","Suscribirse a las noticias por RSS"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","El módulo de Catálogo de Planos tiene un límite de %2\$d atributos filtrables y ordenables. Actualmente hay %1\$d de ellos. Por favor, reduce el número de atributos filtrables/ordenables para poder usar este módulo"
"There are no products matching the selection.","No hay ningún producto que se ajuste a su selección."
"URL Redirect","Redirección de la URL"
"Unsupported product type ""%s"".","Tipo de producto no compatible ""%s""."
"View as","Ver como"
"You may also be interested in the following product(s)","Te podría(n) interesar también el/los siguiente(s) producto(s)"
"Zoom In","Aumentar"
"Zoom Out","Alejar"
"per page","por página"
"select all","seleccionar todo"
"unselect all","Deseleccionar todo"
