"(Allow)","(Permitir)"
"(Config)","(Configurar)"
"(Deny)","(Denegar)"
"-- Please Select --","-- Please Select --"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">¡Cuidado!</strong> Por defecto esta funcionalidad limita todas las categorías."
"A permission with the same scope already exists.","Ya existe un permiso con el mismo ámbito."
"Add to Cart","Añadir al Carrito"
"All Customer Groups","All Customer Groups"
"All Websites","All Websites"
"Allow","Allow"
"Allow Adding to Cart","Permitir Añadir al Carrito"
"Allow Browsing Category","Permitir Consultar Categoría"
"Browsing Category","Consultar Categoría"
"Catalog Permissions","Permisos del catálogo"
"Category Permissions","Permisos de la Categoría"
"Category Permissions Section","Sección de Permisos de la Categoría"
"Customer Group","Customer Group"
"Customer Groups","Grupos de Cliente"
"Deny","Deny"
"Disallow Catalog Search By","No permitir la búsqueda de catálogo por"
"Display Product Prices","Mostrar Precios de Productos"
"Enable","Habilitar"
"Landing Page","Página de Llegada"
"New Permission","Nuevo Permiso"
"No","No"
"No, Redirect to Landing Page","No, Redirigir a la Página de Llegada"
"Permission with the same scope","Permiso con el mismo ámbito"
"Permissions do not depend on store views.","Permissions do not depend on store views."
"Remove Permission","Retirar Permiso"
"The product ""%s"" cannot be added to cart.","El producto ""%s"" no puede añadirse al carro."
"Use parent","Use parent"
"Website","Website"
"Yes, for Everyone","Sí, para Todos"
"Yes, for Specified Customer Groups","Sí, para los Grupos de Clientes Especificados"
"You have no permissions to access this category","No tiene permisos para acceder a esta categoría"
"You have no permissions to access this product","No tiene permisos para acceder a este producto"
