"%s product requires your attention.","el producto %s requiere su atención."
"%s product was added to your shopping cart.","el producto %s se ha añadido a tu carro de la compra."
"%s products require your attention.","los productos %s requieren su atención."
"%s products were added to your shopping cart.","los productos %s se han añadido a su carro de la compra."
"%s was added to your shopping cart.","%s se ha añadido a su carro de la compra."
"* Required Fields","* Campos Requeridos"
"<span id=""sku-attention-num"">%s</span> product(s) require attention","El/los producto(s) <span id=""sku-attention-num"">%s</span> requiere(n) su atención."
"Access denied.","Acceso denegado"
"Action","Acción"
"Add New Address","Añadir Nueva Dirección"
"Add Products","Añadir productos"
"Add Products By SKU","Añadir productos por SKU"
"Add Products to Order","Añadir productos al pedido"
"Add Row","Añadir Línea"
"Add Selected Product(s) to Shopping Cart","Añadir producto(s) seleccionado(s) a la Cesta de la Compra"
"Add To Cart","Añadir al carro de la compra"
"Add to Cart","Añadir al Carrito"
"Add to Compare","Añadir para comparar."
"Add to Order","Añadir al pedido"
"Add to Order by SKU","Añadir al pedido por SKU"
"Add to Shopping Cart","Añadir al carro de la compra"
"Add to Shopping Cart by SKU","Añadir al carro de la compra por SKU"
"Add to Wishlist","Añadir a lista que quieres."
"Additional Product Info","Información adicional del producto"
"Address","Dirección"
"Address %s of %s","Dirección %s de %s"
"Allowed file type: csv.<br/>File must contain two columns, with ""sku"" and ""qty"" in the header row.","Tipo de fichero permitido: csv.<br/>El fichero tiene que contener dos columnas, con ""sku"" y ""cant."" en la cabecera."
"Already registered?","¿Ya está registrado?"
"An error has occurred. See error log for details.","Ha ocurrido un error. Ver el registro de errores para conocer los detalles."
"Apply","Solicitar"
"Apply Coupon","Aplicar cupón"
"Apply Coupon Code","Usar el Código del Cupón"
"Are you sure you want to delete all items from shopping cart?","¿Seguro que quiere borrar todos los artículos del carro de la compra?"
"Are you sure you would like to remove this item from the shopping cart?","¿Está seguro de que desea eliminar este artículo de la cesta de la compra?"
"Availability: Out of stock.","Disponibilidad: agotado."
"Back","Volver"
"Back to Billing Information","Volver a la información de la factura"
"Back to Select Addresses","Volver a la selección de la dirección"
"Back to Shipping Information","Volver a la información de envío"
"Back to Shopping Cart","Volver a la cesta de la compra"
"Based on your selection, you may be interested in the following items:","Basándonos en tu selección, puede que estés interesado(a) en los siguientes artículos."
"Billing Address","Dirección de facturación"
"Billing Information","Detalles de facturación"
"Cancel","Cancelar"
"Cancel Coupon","Cancelar cupón"
"Cannot add product","No se puede añadir el producto"
"Cannot configure product","No se puede configurar el producto"
"Card Verification Number Visual Reference","Verificación de la tarjeta Número de Referencia Visual"
"Cart Subtotal:","Subtotal de la cesta:"
"Change","Cambio"
"Change Billing Address","Cambiar la Dirección de Facturación"
"Checkout","Pedido"
"Checkout as Guest","Pedido como invitado"
"Checkout as a Guest","Comprar como Invitado"
"Checkout as a Guest or Register","Pedido como invitado o registro"
"Choose some products to add to shopping cart.","Escoja algunos productos para añadirlos al carro de la compra."
"City","Ciudad"
"Clear Shopping Cart","Vaciar carro de la compra"
"Close","Cerrar"
"Company","Compañía"
"Configure","Configurar"
"Configure Cart Item","Configurar artículo de la cesta"
"Confirm Password","Confirma Contraseña"
"Continue","Continuar"
"Continue Shopping","Continuar comprando"
"Continue to Billing Information","Continuar a información de facturación"
"Continue to Review Your Order","Continuar a revisión de pedido"
"Continue to Shipping Information","Continuar a información de envío"
"Country","País"
"Coupon code ""%s"" is not valid","El código de cupón ""%s"" no es válido"
"Customer Groups","Grupos de cliente"
"Customer not found","Cliente no encontrado"
"Customers","Clientes"
"Default Billing","Facturación por defecto"
"Default Shipping","Envío por defecto"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Define si un vínculo a My Account &gt; Pedido por la página SKU se mostrará en la aplicación"
"Disabled products cannot be added.","Los productos no válidos no se pueden añadir."
"Discount","Descuento"
"Discount Codes","Códigos de descuento"
"Display a Link to Loading a Spreadsheet","Mostrar un enlace a Cargando una hoja de cálculo"
"Easy access to your order history and status","Acceso rápido a su historial de pedidos y estado"
"Edit","Editar"
"Edit Address","Cambiar la dirección"
"Edit Items","Editar artículos"
"Edit item","Editar artículo"
"Email Address","Dirección de email"
"Empty Shopping Cart Content Before","Vaciar el contenido del carro de la compra antes"
"Enable Order by SKU on My Account in Frontend","Habilitar pedido por SKU en Mi cuenta en la parte frontal"
"Enter a New Address","Introducir una dirección nueva"
"Enter your coupon code if you have one.","Introducir un código de cupón, si tiene."
"Enter your destination to get a shipping estimate.","Introduzca un destino para obtener una estimación de los gastos de envío."
"Estimate Shipping and Tax","Estimación de los costes de envío y tasas"
"Excl. Tax","Impuestos no incluidos"
"Failed to add a product of order item","Fallo al añadir un producto de la partida"
"Failed to reorder item","Fallo al volver a realizar un pedido de artículo"
"Fast and easy check out","Pago sencillo"
"Fax","Fax"
"File","Archivo"
"File cannot be uploaded.","No se ha podido cargar el fichero."
"File extensions allowed: .csv","Extensiones de archivo permitidas: .csv"
"File is corrupt.","El fichero está corrupto."
"File is empty.","El fichero está vacío."
"File must contain two columns, with ""sku"" and ""qty"" in the header row.","El archivo debe contener dos columnas, con ""sku"" y ""qty"" en la línea de encabezado."
"Forgot your password?","¿Olvidó su contraseña?"
"Get a Quote","Obtener una cotización"
"Get notified when back in stock","Recibir una notificación cuando vuelva a estar disponible."
"Go to Shopping Cart","Ir al carrito de la compra"
"Grand Total:","Total final:"
"ID","Identificación"
"Incl. Tax","Impuestos incluidos"
"Invalid block: %s.","Bloque no válido: %s."
"Item was successfully removed.","Se ha eliminado correctamente el artículo."
"Items","Artículos."
"Items After","Artículos Después"
"Items Before","Artículos Antes"
"Items were successfully removed.","Los artículos se han eliminado correctamente."
"Last ordered items (%s)","Últimos artículos pedidos (%s)"
"Link Text","Texto de enlace"
"Load a list of SKUs","Cargar una lista de SKU"
"Loading next step...","Cargando próximo paso..."
"Login","Entrar"
"Login/Registration Before","Iniciar sesión/Registrarse antes"
"Manage Customers","Gestionar Clientes"
"Manage Shopping Cart","Gestionar la Cesta de la Compra"
"Move to Wishlist","Trasladar a la Lista de Deseos"
"Multishipping Checkout","Compra con envío a varias direcciones"
"Multishipping Checkout Address (Any) Form","Formulario de dirección (cualquiera) de compra con envío a varias direcciones"
"Multishipping Checkout Billing Address Creation","Creación de dirección de facturación para compra con envío a varias direcciones"
"Multishipping Checkout Billing Address Edit Form","Formulario de edición de dirección de facturación para compra con envío a varias direcciones"
"Multishipping Checkout Billing Address Selection","Selección de dirección de facturación para compra con envío a varias direcciones"
"Multishipping Checkout Billing Information Step","Paso de información de facturación para compra con envío a varias direcciones"
"Multishipping Checkout Customer Address Edit Form","Formulario de edición de dirección del cliente para compra con envío a varias direcciones"
"Multishipping Checkout Overview","Descripción general de la compra con envío a varias direcciones"
"Multishipping Checkout Shipping Address Creation","Creación de dirección de envío para compra con envío a varias direcciones"
"Multishipping Checkout Shipping Address Edit Form","Formulario de edición de dirección de envío para compra con envío a varias direcciones"
"Multishipping Checkout Shipping Address Selection","Selección de dirección de envío para compra con envío a varias direcciones"
"Multishipping Checkout Shipping Information Step","Paso de información de envío para compra con envío a varias direcciones"
"Multishipping Checkout Success","La compra con envío a varias direcciones se realizó correctamente"
"My Cart (%s)","Mi cesta (%s)"
"No","No"
"No ordered items","No hay pedidos de artículos"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","EL TOTAL DEL PEDIDO SE MOSTRARÁ ANTES DE QUE ENVÍE EL PEDIDO"
"One Page Checkout","Cobro de una página"
"One Page Checkout Failure","Error en la compra en una página"
"One Page Checkout Overview","Resumen en un página de la caja"
"One Page Checkout Success","La compra en una página se realizó correctamente"
"Only %s%g%s left in stock","Solo hay %s%g%s disponibles"
"Only .csv file format is supported.","Solo está soportado el formato .csv  de archivo."
"Only <span id=""%s_max_allowed"">%s</span> in stock","Solo <span id=""%s_max_allowed"">%s</span> en existencias"
"Options Details","Detalles de las opciones"
"Order by SKU","Pedido por SKU"
"Order by SKU Description","Descripción del Pedido por SKU"
"Order by SKU Settings","Ajustes del Pedido por SKU"
"Order by SKU Template","Plantilla del Pedido por SKU"
"Ordered item id is not received.","El id del artículo pedido no se ha recibido."
"Ordered item is not loaded.","El artículo pedido no está cargado."
"Other items in your order","Otros artículos en su pedido"
"Overview Items After","Resumen de artículos después"
"Password","Contraseña"
"Payment Method","Método de pago"
"Payment Methods After","Métodos de pago después"
"Payment Methods After Checkout Button","Métodos de pago después de presionar el botón de compra"
"Payment Methods Before","Métodos de pago antes"
"Payment Methods Before Checkout Button","Métodos de pago antes del botón de cobro"
"Place Order","Hacer un pedido"
"Please agree to all Terms and Conditions before placing the orders.","Debe manifestar su conformidad con todos los términos y condiciones antes de hacer los pedidos."
"Please enter a valid number in the ""Qty"" field.","Por favor, introduzca un número válido en el campo ""Cant.""."
"Please log in below:","Inicie sesión a continuación:"
"Please select region, state or province","Por favor, seleccionar región, estado o provincia"
"Please select shipping address for applicable items","Seleccione la dirección de envío para los artículos correspondientes"
"Please specify the product\'s options.","Por favor, especifique las opciones de producto."
"Price","Precio"
"Product","Producto"
"Product Name","Nombre del producto"
"Product name","Nombre de producto"
"Products","Productos"
"Products Requiring Attention","Productos que exigen atención"
"Products in the Comparison List (%s)","(%s) Productos en la Lista de Comparación"
"Qty","Cantidad"
"Qty To Add","Cantidad a añadir"
"Quote item id is not received.","El artículo indicado no se ha recibido."
"Quote item is not loaded.","El artículo indicado no está cargado."
"Recently Compared Products (%s)","Productos recientemente comparados (%s)"
"Recently Viewed Products (%s)","Productos vistos recientemente (%s)"
"Recently added item(s)","Elementos agregados recientemente"
"Register","Registrarse"
"Register and save time!","Regístrese y ahorre tiempo."
"Register to Create an Account","Registrarse para crear una cuenta"
"Register with us for future convenience:","Regístrese con nosotros para que sus futuras transacciones sean más cómodas:"
"Remove","Eliminar"
"Remove All","Eliminar todo"
"Remove Coupon Code","Eliminar Código de Cupón"
"Remove Item","Eliminar elemento"
