"%s Purchased Quantity %s %s while %s of these Conditions match:","%s cantidad comprada %s %s con %s de estas condiciones coincidentes:"
"%s Sales Amount %s %s while %s of these Conditions match:","%s importe de venta %s %s con %s de estas condiciones coincidentes:"
"* Could be applied both for visitors and registered customers","*Podría aplicarse tanto a visitantes como a clientes registrados"
"Active","Activo"
"Add Segment","Agregar segmento"
"Address Attributes","Atributos de la dirección"
"Address Type","Tipo de dirección"
"All","Todo"
"Any","Cualquier"
"Applies to All of the Specified Customer Segments","Se aplica a todos los segmentos de clientes especificados"
"Apply To","Aplicar a"
"Apply to the Selected Customer Segments","Aplicar a los segmentos de clientes especificados"
"Assigned to Website","Asignado al sitio Web"
"Average","Promedio"
"Back","Volver"
"Billing","Facturación"
"CSV","CSV"
"Conditions","Condiciones"
"Conditions Combination","Combinación de condiciones"
"Country","País"
"Customer","Cliente"
"Customer %s","Cliente %s"
"Customer Address","Dirección del cliente"
"Customer Address %s","Dirección del cliente %s"
"Customer Address %s Default %s Address","Dirección del cliente %s Dirección predeterminada %s"
"Customer Segment","Segmento del cliente"
"Customer Segment Report","Informe del segmento del cliente"
"Customer Segment Report \'%s\'","Informe del segmento del cliente '%s'"
"Customer Segment data has been refreshed.","Los datos del segmento del cliente han sido actualizados."
"Customer Segments","Sectores de clientes"
"Customer Segments Report","Informe de los segmentos del cliente"
"Customer Since","Cliente desde"
"Customer Store Credit Amount %s %s:","Cantidad de Crédito de Tienda del cliente %s %s:"
"Customer is %s to newsletter.","El cliente está %s al boletín de noticias."
"Customers","Clientes"
"Date Range","Rango de fecha"
"Date Range %s within %s","Rango de fechas %s dentro de %s"
"Date Ranges","Rangos de fechas"
"Default Address","Dirección por defecto"
"Description","Descripción"
"Details","Detalles"
"Edit Segment","Editar segmento"
"Edit Segment '%s'","Editar segmento '%s'"
"Email","Correo electrónico"
"Enable Customer Segment Functionality","Permitir funcionalidad del segmento del cliente"
"Excel XML","Excel XML"
"General Properties","Propiedades generales"
"Gift Card","Cheque regalo"
"Grand Total","Suma total"
"Group","Grupo"
"Has State/Province","Tiene Estado/Provincia"
"ID","Identificación"
"If Customer Address %s State/Province specified","Si la dirección del Cliente %s Estado/Provincia es especificada"
"If Customer Addresses match %s of these Conditions:","Si las direcciones del cliente coinciden en %s de estas condiciones:"
"If Customer Segment %s %s","Si el segmento del cliente %s %s"
"If Order Addresses match %s of these Conditions:","Si las direcciones del pedido coinciden con % de estas condiciones:"
"If Product %s %s and matches %s of these Conditions:","Si el producto %s %s y coincide con %s de estas condiciones:"
"If Product is %s in the %s with %s of these Conditions match:","Si el producto es %s en el %s y coincide con %s de estas condiciones:"
"Inactive","Inactivo"
"Intersection","Intersección"
"Manage Segments","Administrar segmentos"
"Matched %d Customers of Segment %s","Han coincidido %d clientes del segmento %s"
"Matched Customers (%d)","Clientes que coinciden (%d)"
"Name","Nombre"
"New Segment","Nuevo segmento"
"Newsletter Subscription","Suscripción al boletín de noticias"
"Number of Cart Line Items","Número de artículos en el carro"
"Number of Customers","Número de clientes"
"Number of Orders","Número de pedidos"
"Number of Orders %s %s while %s of these Conditions match:","Número de pedidos %s %s con % de estas condiciones coincidentes:"
"Number of Shopping Cart Line Items %s %s:","Número de elementos en el carro de compra %s %s:"
"Order Address","Dirección del pedido"
"Order Address %s","Dirección del pedido %s"
"Order Address %s a %s Address","Dirección del pedido %s una dirección %s"
"Order Address Attributes","Atributos de la dirección del pedido"
"Order Status","Estado del pedido"
"Order Status %s %s:","Estado del pedido %s %s:"
"Period %s %s Days Up To Date","Días de período %s %s actualizados"
"Please save this information in order to specify the conditions for segmentation","Guarde esta información para especificar las condiciones para la segmentación"
"Product %s","Producto %s"
"Product Attributes","Atributos del producto"
"Product History","Historial del producto"
"Product List","Lista de productos"
"Products","Productos"
"Products Quantity","Cantidad de productos"
"Purchased Quantity","Cantidad adquirida"
"Refresh Data","Actualizar datos"
"Refresh Segment Data","Actualizar datos del segmento"
"Registered Customers","Clientes registrados"
"Reports","Informes"
"Sales","Ventas"
"Sales Amount","Cantidad de ventas"
"Save and Continue Edit","Guardar y continuar editando"
"Segment Customers matching error.","Se ha encontrado un error en el segmento Clientes."
"Segment Information","Información del segmento"
"Segment Name","Nombre del segmento"
"Segments","Segmentos"
"Set","Conjunto"
"Shipping","Transporte"
"Shopping Cart","Cesta de la Compra"
"Shopping Cart %s Amount %s %s:","Importe %s %s en el carro de compra %s:"
"Shopping Cart Products Qty %s %s:","Cantidad de productos en el carro de compra %s %s:"
"Shopping Cart Total","Total del carro de la compra"
"Specified","Especificado"
"State/Province","Estado/Provincia"
"Status","Estado"
"Store Credit","Crédito de Tienda"
"Subtotal","Subtotal"
"Tax","Impuestos"
"Telephone","Teléfono"
"The segment has been deleted.","El segmento se ha eliminado."
"The segment has been saved.","El segmento se ha guardado."
"Total","Total"
"Unable to delete the segment.","No ha sido posible eliminar el segmento."
"Unable to save the segment.","No ha sido posible guardar el segmento."
"Union","Unión. "
"Unknown operator specified.","Operador desconocido especificado."
"Unknown quote total specified.","Total del presupuesto desconocido especificado."
"Up To Date","Actualizado"
"Use in Customer Segment","Usar en el segmento Cliente"
"View Combined Report","Ver informe combinado"
"Viewing combined ""%s"" report from segments: %s","Viendo informe combinado ""%s"" de los segmentos: %s"
"Viewing combined ""%s"" report from segments: %s.","Mostrando informe ""%s"" combinado del se
Viewing combined ""%s"" report from segments: %s."
"Visitors","Visitantes"
"Visitors and Registered Customers","Visitantes y clientes registrados"
"Website","Sitio web"
"Wishlist","Lista de deseos"
"Wrong ""ApplyTo"" type","Tipo ""Aplicar a"" incorrecto"
"Wrong customer segment requested.","requerida sección de cliente errónea"
"ZIP","Código postal"
"does not exist","No existe"
"does not have","No tiene"
"does not match","no coincide"
"exists","existe"
"has","tiene"
"is not one of","no es uno de"
"is one of","es uno de"
"matches","coincidencias"
"not subscribed","no suscrito"
"ordered","pedido"
"subscribed","suscrito"
"viewed","visto"
