"Alpha Only","Solo Alfabeto"
"Alphanumeric","Alfanumérico"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","El código de atributo no es válido. Por favor, usa solo letras (a-z), números (0-9) o guión bajo(_) en este campo, el primer carácter ha de ser una letra."
"Current module XML block name is undefined","El nombre actual del bloque del módulo XML no está definido"
"Current module form model pathname is undefined","La ruta del módulo de formulario no está definida"
"Date","Fecha"
"Default EAV Form","Formulario EAV (modelo Entidad-Atributo-Valor) por defecto"
"Dropdown","Desplegable"
"Email","Email"
"Escape HTML Entities","Escape de entidades HTML"
"File (attachment)","Archivo (adjunto)"
"Image File","Archivo de Imagen"
"Multiple Line","Línea Múltiple"
"Multiple Select","Selección Múltiple"
"No","No"
"Normalize Date","Normalizar Fecha"
"Numeric Only","Solo numérico"
"Strip HTML Tags","Eliminar etiquetas HTML"
"Text Area","Area de Texto"
"Text Field","Campo de Texto"
"URL","URL"
"Use helper with defined EAV entity","Utilice el asistente con la entidad EAV (Modelo Entidad-Atributo-Valor) definida"
"Wrong values for minimum and maximum date validation rules.","Valores incorrectos en reglas de validación de la fecha mínima y máxima."
"Wrong values for minimum and maximum text length validation rules.","Valores incorrectos en reglas de validación de la longitud mínima y máxima del texto."
"Yes","Sí"
"Yes/No","Sí/No"
