"ASCII","ASCII"
"Action","Acción"
"Add Scheduled Export","Añadir Exportación Programada"
"Add Scheduled Import","Añadir Importación Programada"
"Are you sure you want to delete the selected scheduled imports/exports?","¿Estás seguro de que quieres borrar las importaciones/exportaciones programadas seleccionadas?"
"Are you sure you want to delete this scheduled export?","¿Estás seguro de que quieres borrar esta exportación programada?"
"Are you sure you want to delete this scheduled import?","¿Estás seguro de que quieres borrar esta importación programada?"
"Binary","Binario"
"Can not change status for all items","No se puede camiar el estado para todos los artículos"
"Can not delete all items","No se pueden borrar todos los artículos"
"Change status","Cambiar estado"
"Clean Now","Limpiar Ahora"
"Connecting to server","Conectando al servidor"
"Continue Processing","Continuar Procesando"
"Daily","Diariamente"
"Delete","Eliminar"
"Description","Descripción"
"Directory ""%s"" is not writable.","El directorio ""%s"" no es modificable."
"Disabled","Deshabilitado"
"Edit","Editar"
"Edit Scheduled Export","Editar Exportación Programada"
"Edit Scheduled Import","Editar Importación Programada"
"Enable Scheduled File History Cleaning","Habilitar Limpieza del Historial de Archivo Programada"
"Enabled","Habilitado"
"Entity Attributes","Atributos de la Entidad"
"Entity Type","Tipo de Entidad"
"Entity type","Tipo de Entidad"
"Error Email Recipient","Error en el Destinatario del Correo Electrónico"
"Error Email Sender","Error en el Remitente del Correo Electrónico"
"Error Email Template","Error en la Plantilla del Correo Electrónico"
"Export","Exportar"
"Export Failed","Exportación Fallida"
"Export Failed Emails","Emails de Exportación Fallida"
"Export File Information","Información de Archivo de Exportación"
"Export Settings","Exportar la Configuración"
"FTP Host[:Port]","Servidor FTP[:Puerto]"
"Failed","Fallido"
"Failed Email Receiver","Receptor de Email fallido"
"Failed Email Sender","Remitente de Email Fallido"
"Failed Email Template","Plantilla de Email Fallida"
"File Directory","Directorio de Archivo"
"File Format","Formato de Archivo"
"File History Clean Failed","Limpieza de Historial de Archivo Fallida"
"File Mode","Modo de Archivo"
"File Name","Nombre de Archivo"
"File has been not created","El archivo no se ha creado"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","Para el tipo ""Servidor Local"" usar una ruta relativa para la instalación de Magento, ej. var/export, var/import, var/export/some/dir"
"Frequency","Frecuencia"
"History files have been deleted","Los archivos de historial se han borrado"
"Import","Importar"
"Import Behavior","Importar Comportamiento"
"Import Failed","Importación Fallida"
"Import Failed Emails","Emails Fallidos de Importación"
"Import File Information","Información de Archivo de Importación"
"Import Settings","Importar configuración"
"Invalid cron job task","Tarea de cron no válida"
"Invalid scheduled operation","Operación programada no válida"
"Invalid scheduled operation type","Tipo de operación programada no válida"
"Invalid server communication class ""%s""","Invalid server communication class ""%s"""
"Invalid server comunication class ""%s""","Clase de comunicación de servidor no válida ""%s"""
"Invalid server type","Tipo de servidor no válido"
"Last Outcome","Último Resultado"
"Last Run Date","Última fecha de Ejecución"
"Local Server","Servidor Local"
"Monthly","Mensualmente"
"Name","Nombre"
"New Scheduled Export","Nueva Exportación Programada"
"New Scheduled Import","Nueva Importación Programada"
"No valid data sent","Los datos enviados no son válidos"
"On Error","En Caso de Error"
"Operation","Operación"
"Operation finished with fail status","Operación terminada con estado de fallo"
"Operation has been successfully run","La operación se ha ejecutado con éxito"
"Passive Mode","Modo Pasivo"
"Password","Contraseña"
"Pending","Pendiente"
"Reading import file","Leyendo archivo de importación"
"Remote FTP","FTP remoto"
"Run","Ejecutar"
"Save Files, Days","Guardar Archivos, Días"
"Save file content","Guardar el contenido del archivo"
"Save history file content ""%s""","Guardar el contenido del archivo de historial ""%s"""
"Scheduled Import/Export","Importación/Exportación Programada"
"Scheduled Import/Export File History Cleaning","Limpieza del historial de archivo de Importación/Exportación programada"
"Scheduled Imports/Exports","Importaciones/Exportaciones programadas"
"Send Failed Email Copy Method","Enviar Método de Copia de Email Fallido"
"Send Failed Email Copy To","Enviar Copia de Email Fallido a"
"Server Type","Tipo de Servidor"
"Start Time","Tiempo de Inicio"
"Status","Progreso"
"Stop Import","Detener Importación"
"Successful","Exitoso"
"The scheduled export has been deleted.","La exportación programada se ha borrado."
"The scheduled export has been saved.","La exportación programada se ha guardado."
"The scheduled import has been deleted.","La importación programada se ha borrado."
"The scheduled import has been saved.","La importación programada se ha guardado."
"Total of %s record(s) have been deleted","Un total de %s registro(s) se ha(n) borrado"
"Total of %s record(s) have been updated","Un total de %s registro(s) se ha(n) actualizado"
"Total size of the file must not exceed %s","El tamaño total del archivo no debe exceder de %s"
"Unable to create directory ""%s"".","No se pudo crear el directorio ""%s""."
"Unable to delete ""%s"". Directory is not writable.","No se pudo borrar ""%s"". El directorio no es modificable."
"Unable to delete history files","No se pudieron borrar los archivos de historial"
"Unable to delete scheduled operation","No se pudo borrar la operación programada"
"Unable to read file source. File name is empty","No se pudo leer la fuente del archivo. El nombre del archivo está vacío"
"Unable to read import file","No se pudo leer el archivo de importación"
"Unable to run operation","No se pudo ejecutar la operación"
"Unable to save file history file","No se pudo guardar el archivo de historial de archivo"
"Unable to save scheduled operation","No se ha podido guardar la operación programada"
"Unable to write file ""%s"" to ""%s"" with ""%s"" driver","No se ha podido escribir el archivo ""%s"" a ""%s"" con el controlador ""%s"""
"Unknown file format","Formato de archivo desconocido"
"User Name","Nombre de Usuario"
"Weekly","Semanalmente"
