"Action","Acción"
"Change Index Mode","Cambiar la modalidad de indexación"
"Description","Descripción"
"Enable Scheduled Cleanup","Habilitar limpieza planificada"
"Frequency","Frecuencia"
"Index","Indice"
"Index Clean Schedule","Planificar limpieza de índices"
"Index Management","Gestión de Índices"
"Index Options","Opciones de índices"
"Index mode","Modo de índice"
"Mode","Modalidad"
"Never","Nunca"
"Processing","Procesando"
"Ready","Listo"
"Reindex Data","Volver a indexear los datos"
"Reindex Required","Volver a indexear requerido"
"Scheduled","Planificado"
"Start Time","Tiempo de inicio."
"Status","Estado"
"Unable to save the cron expression.","No se puede guardar la expresión de cron."
"Update Required","Es necesaria la actualización."
"Update on Save","actualización guardada"
"Update when scheduled","Actualizar cuando esté planificado"
"Updated At","Hora de actualización"
