"""Order"" authorizations are not implemented. Please use ""simple"" authorization.","No están implementadas las autorizaciones de ""pedidos"". Por favor, use la autorización ""simple""."
"3D Secure Card Validation","Validación de Tarjeta 3D Secure"
"3D Secure Check will be unavailable if CIM enabled.","El control 3D Secure no estará disponible si el CIM está activado."
"3D secure authentication passed.","3D secure authentication passed."
"Accepted Currency","Moneda Aceptada"
"Account holder","Account holder"
"Account number","Account number"
"Austria","Austria"
"Authorization","Autorización"
"Authorization transaction is required to void.","Para anular se requiere la transacción de autorización."
"Authorize Only","Solo Autorizado"
"Authorize and Capture","Autorizar y Capturar"
"Bank code","Bank code"
"Braintree","Braintree"
"Business","Business"
"Continue","Continue"
"Corporate","Corporate"
"Credit Cards","Tarjetas de crédito"
"Cybersource (SOAP Toolkit)","Cybersource (Herramientas SOAP)"
"DIBS Payment Services","Servicios de Pago de DIBS"
"Data Transfer Key","Clave de Transferencia de Datos"
"Debug","Depurar"
"Direct Sale","Venta directa"
"Empty response received from Payment Bridge.","Sin respuesta por parte del Puente de pago."
"Enable 3D Secure Card Validation in Admin","Enable 3D Secure Card Validation in Admin"
"Enable 3D Secure Card Validation on Frontend","Enable 3D Secure Card Validation on Frontend"
"Enable CIM","Activar CIM"
"Enable Vault","Activar Bóveda"
"Enabled","Habilitado"
"First Data Global Gateway Web Service API","Servicio web API de la plataforma global First Data"
"Gateway Basic URL","URL Básica de Puerta de Enlace"
"Germany","Germany"
"Gives effect only when payment bridge is active.","Surte efecto solamente cuando la pasarela de pago está activa."
"IPN postback HTTP error: %s","Error HTTP de devolución de Notificación de Pago Instantánea (IPN): %s"
"IPN postback Validation error: %s","Error de Validación de devolución de Notificación de Pago Instantánea (IPN): %s"
"IPN verification ""%s"".","IPN verification ""%s""."
"If enabled, the Payone payment method will not be available for placing the orders from the backend.","If enabled, the Payone payment method will not be available for placing the orders from the backend."
"If enabled, the WorldPay payment method will not be available for placing the orders  from the backend.","If enabled, the WorldPay payment method will not be available for placing the orders  from the backend."
"Impossible to issue a refund transaction, because capture transaction does not exist.","Imposible emitir una transacción de reembolso, porque la transacción de captura no existe."
"Magento Unique Identifier","Identificador Único Magento"
"Maximum data transfer key length is 32. Please correct your settings.","La longitud clave máxima para la transferencia de datos es 32. Corrija su configuración"
"Merchant Code","Código de Comerciante"
"Merchant Key","Clave de Comerciante"
"Merchant review is required for further processing.","Se requiere la revisión del comerciante para continuar el proceso."
"My Credit Card profiles","Mis perfiles de tarjetas de crédito"
"My Credit Cards","Mis tarjetas de crédito"
"Netherlands","Netherlands"
"Note: %s","Note: %s"
"Notified customer about invoice #%s.","Notified customer about invoice #%s."
"Ogone Credit Card","Ogone Credit Card"
"Ogone Direct Debit","Ogone Direct Debit"
"Ogone Direct Link","Enlace directo Ogone"
"Optional. Used in case of multiple Magento instances use the same Payment Bridge merchant account (Merchant Code).","Opcional. Se usa si varias instancias de Magento usan la misma cuenta comercial en la Plataforma de pago (código comercial)."
"Order has been canceled.","Order has been canceled."
"Original gateway transaction id: #%s.","Puerta de entrada original de la identidad de la transacción: #%s"
"PSi Gate","PSi Gate"
"Pay Now","Pagar ahora"
"Paybox Direct","Paybox Direct"
"Payflow PNREF: #%s.","Payflow PNREF: #%s."
"Payment Action","Acción de Pago"
"Payment Bridge","Pasarela de Pago"
"Payment Bridge Selected","Pasarela de Pago Seleccionada"
"Payment Bridge authentication data is not present","No están presentes los datos de autenticación de la Pasarela de Pago"
"Payment Method Code is not passed.","No se ha pasado el Código de Método de Pago."
"Payment from Applicable Countries","Pago desde países aplicables"
"Payment from Specific Countries","Pago desde países específicos"
"Payment gateway internal error.","Error interno en la pasarela de pago."
"Payone Direct Debit","Payone Direct Debit"
"Payone.de","Payone.de"
"Please agree to all the terms and conditions before placing the order.","Por favor, acepta todos los términos y condiciones antes de realizar el pedido."
"Please do not refresh the page until you complete payment.","No actualice la página hasta que complete el pago."
"Preauthorization","Preauthorization"
"Reload Form","Reload Form"
"Sage Pay Direct","Sage Pay Directo"
"Sale","Venta"
"Sort Order","Orden de selección"
"Test Mode","Modo de prueba"
"This payment method will work only if the Payment Bridge is enabled and configured correctly.","Este método de pago solo funcionará si está activada y configurada correctamente la Plataforma de Pago."
"Title","Título"
"Unable to cancel order.","Unable to cancel order."
"Unable to communicate with Payment Bridge service.","No se puede comunicar con el servicio de Pasarela de Pago."
"Use via Payment Bridge","Uso a través de la Pasarela de Pago"
"Worldpay","Worldpay"
"Wrong Order ID (%s) specified.","Wrong Order ID (%s) specified."
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #1E75B4"" href=""#"" onclick=""parent.reloadIframe(paymentObj.currentMethod); return false;"">here</a> .","La información de su pago ha sido enviada al servidor. Si necesita hacer cambios, por favor haga clic en <a style=""color: #1E75B4"" href=""#"">here</a> ."
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #F15A24"" href=""#"" onclick=""parent.reloadIframe(parent.order.paymentMethod); return false;"">here</a> .","La información de su pago ha sido enviada al servidor. Si necesita hacer cambios, por favor haga clic en <a style=""color: #F15A24"" href=""#"">here</a> ."
"eWAY Direct","eWAT Directo"
