"-- Not Selected --","-- Sin seleccionar --"
"<b>Important</b>: If this shopping cart price rule has been used in an automated email reminder rule it will be automatically unassigned after shopping cart price rule is saved.","<b>Importante</b>: Si el reglamento de precios de este carro de la compra se ha usado en un correo electrónico automatizado recordatorio del reglamento perderá automáticamente la asignación tras guardar el reglamento de precios del carro de la compra."
"Active","Activo"
"Add New Rule","Añadir nueva regla"
"Are you sure you want to match this rule now?","¿Está seguro de que desea activar las coincidencias para esta regla ahora?"
"Assigned to Website","Asignado a la página web."
"Automated Email Marketing Reminder Rules","Reglas de recordatorio de comercialización mediante correos electrónicos automatizados"
"Automated Email Reminder Rules","Reglas de recordatorio de correos electrónicos automatizados"
"Cart Line Items","Artículos del carrito"
"Conditions","Condiciones"
"Coupon","Cupón"
"Coupon Code","Código de cupón"
"Coupon Usage Limit","Límite de uso de cupones"
"Coupon Usage per Customer","Uso de cupones por cliente"
"Coupons can be auto-generated by reminder promotion rules.","Es posible generar cupones automáticamente mediante reglas de promoción con recordatorios."
"Date Expire","Fecha de vencimiento"
"Date Start","Fecha de inicio"
"Default Titles and Description","Descripción y títulos predeterminados"
"Description","Descripción"
"Edit Rule","Editar Regla"
"Edit Rule '%s'","Editar Regla '%s'"
"Email","Correo electrónico"
"Email Reminder Rule","Regla de recordatorio por correo electrónico"
"Email Send Failure Threshold","Umbral de falla de envío de correo electrónico"
"Email Templates","Plantillas de correo electrónico"
"Emails Failed","Falló el envío de correo electrónico"
"Emails Sent","Se enviaron los correos electrónicos"
"Emails and Labels","Correos elelctónicos y etiquetas."
"Emails will be sent only for specified store views. Email store view matches the store view customer was registered on.","Correos electrónicos solo serán enviados por razones específicas para ser visibles por la tienda. Así se comprueba que el cliente estaba registrado."
"Empty value disables this limitation. If not limited, the reminder emails may stuck sending over and over.","La no especificación de ningún valor inutiliza esta limitación. Sin limitación, los correos electrónicos recordatorios podrían ser enviados automáticamente una y otra vez."
"Enable Reminder Emails","Habilitar correos electrónicos recordatorios."
"Failed to delete reminder rule.","No se pudo eliminar la regla de recordatorio."
"Failed to save reminder rule.","No se pudo guardar la regla de recordatorio."
"Frequency","Frecuencia"
"From Date","Desde la fecha"
"General Information","Información general"
"ID","Identificación"
"If an item is %s in the shopping cart with %s of these conditions match:","Si un artículo tiene un porcentaje en el caro de la compra con el porcentaje de estas condiciones le corresponde:"
"If an item is %s in the wishlist with %s of these conditions match:","Si un artículo tiene un porcentaje en el pedido con el porcentaje de estas condiciones le corresponde:"
"In what number of days to repeat reminder email, if the rule condition still matches. Enter days, comma-separated.","En qué cantidad de días debe repetirse el correo electrónico de recordatorio, si la condición de regla sigue presentando coincidencias. Ingrese los días, separados por comas."
"Inactive","Inactivo"
"Interval","Intervalo"
"Item %s %s %s:","Artículo y porcentajes:"
"Item SKU %s %s ","Artículo, número de referencia y porcentajes"
"Item was added to shopping cart %s store view %s","El artículo se ha añadido al carro de la compra porcentaje ver tienda porcentaje"
"Item was added to wishlist %s store view %s","El artículo se ha añadido al pedido porcentajes ver tienda porcentajes"
"Items Quantity","Cantidad de artículos"
"Items Subselection","Subselección de artículos"
"Last Sent At","Hora de último envío"
"Matched At","Hora de coincidencia"
"Matched Customers","Clientes con coincidencias"
"Maximum Emails per One Run","Cantidad máxima de correos electrónicos por cada lote"
"Minute of the Hour","Minuto de la hora"
"N/A","N/A"
"New Rule","Nueva Regla"
"No","No"
"Number of Items","Cantidad de artículos"
"Number of shopping cart line items %s %s:","Número de productos de la gama del carro de la compra porcentajes:"
"Number of wishlist items %s %s ","Número de artículos del pedido porcentajes"
"Numeric Attribute","Atributo numérico"
"Overrides default titles and descriptions. Note that if email an template is not specified for this store view, the respective variable values will be deleted.","Anula las descripciones y los títulos predeterminados. Tenga en cuenta que si no se especifica una plantilla para esta vista de la tienda, se eliminarán los valores de variable respectivos."
"Please, specify correct minutes of hour.","Especifique el número correcto de minutos de la hora."
"Product %s","Producto %s"
"Product Attributes","Atributos del producto"
"Promo Section","Sección de promociones"
"Promotion rule this reminder will advertise.","Regla de promoción que publicitará este recordatorio."
"Promotions","Promociones"
"Reminder Email Sender","Remitente de correo electrónico de recordatorio"
"Reminder Rules","Reglas de recordatorio"
"Reminder emails may promote a shopping cart price rule with or without coupon. If a shopping cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer.","Los correos electrónicos de recordatorio pueden publicitar una regla de precio del carrito de compras con o sin cupón. Si una regla de precio del carrito de compras define un cupón generado automáticamente, esta regla de recordatorio generará un código de cupón aleatorio para cada cliente."
"Reminder rule matching error.","Error de coincidencia de la regla de recordatorio."
"Repeat Schedule","Repetir programa"
"Root shopping cart condition should have days value at least 0.","El valor días del carro de compra raíz ha de ser al menos de 0."
"Root wishlist condition should have days value at least 1.","La condición raíz de la lista de deseos debe tener un valor de al menos 1 para los días."
"Rule Description for All Store Views","Descripción de reglas para todas las vistas de la tienda"
"Rule Information","Información sobre la Regla"
"Rule Name","Nombre de la Regla"
"Rule Reminder","Recordatorio de regla"
"Rule Title for All Store Views","Título de regla para todas las vistas de la tienda"
"Rule label and descriptions are accessible in email templates as variables, may be defined per store view.","La etiqueta y las descripciones de las reglas son accesibles en las plantillas de correo electrónico en forma de variables y pueden definirse según cada vista de la tienda."
"Rule will work only if at least one condition is specified.","La regla sólo funcionará si se especifica al menos una condición."
"Run Now","Ejecutar ahora"
"SKU","Número de referencia"
"Save and Continue Edit","Guardar y continuar editando"
"Set this value not less than your cron.php launch period.","Establece este valor de forma que no sea menor que el periodo de lanzamiento de tu cron.php."
"Sharing","Compartir."
"Shopping Cart","Cesta de la Compra"
"Shopping Cart Price Rule","Regla del precio del carro de compra."
"Shopping cart %s a coupon applied","Carro de la compra porcentajes se aplica un vale descuento"
"Shopping cart %s amount %s %s:","Carro de la compra porcentajes cantidad porcentajes:"
"Shopping cart %s only virtual items","Carro de la compra porcentajes sólo artículos virtuales"
"Shopping cart is not empty and abandoned %s %s days and %s of these conditions match:","El carro de la compra no está vacío y abandonado porcentajes y días porcentajes de estas condiciones le corresponde:"
"Start Time","Tiempo de inicio."
"Status","Estado"
"Store View","Ver Tienda"
"The reminder rule has been deleted.","La regla recordatoria ha sido eliminada."
"The reminder rule has been matched.","La regla recordatoria ha sido combinada."
"The reminder rule has been saved.","La regla recordatoria ha sido guardada."
"This rule is assigned to %s automated reminder rule(s). Deleting this rule will automatically unassign it.","Esta regla está asignada al porcentaje automático de la regla(s) recordatoria(s). La eliminación de esta regla la desasignará automáticamente."
"Thread Active","Hilo activo."
"Titles and Descriptions Per Store View","Titulos y descripciones por vista de tienda."
"To Date","Hasta la fecha"
"Total Amount","Cantidad total."
"Total shopping cart items quantity %s %s:","Cantidad total de artículos del carro de la compra porcentajes:"
"Unknown attribute specified","Atributo desconocido sin especificar."
"Unknown operator specified.","Operador desconocido especificado."
"Unknown quote total specified","Cuota desconocida total especificada."
"Up to %s customers may receive reminder email after this action.","Hasta un determinado porcentaje de clientes puede que reciban correos electrónicos recordatorios después de esta acción."
"Valid range: 0-59 (default 0).","Rango valido: 0-59 (por defecto 0)."
"Virtual Only","Solo virtual."
"Website","Sitio web"
"Wishlist","Lista de deseos"
"Wishlist %s shared","Pedido porcentajes compartido"
"Wishlist is not empty and abandoned %s %s days and %s of these conditions match:","El pedido no está vacío y abandonado porcentajes días y porcentajes de estas condiciones le corresponde:"
"Wrong reminder rule requested.","Regla recordatoria inválida requerida."
"Yes","Sí"
"base cost","Coste básico."
"base price","Precio básico."
"does not have","No tiene"
"found","Encontrado."
"grand total","Cantidad total."
"has","tiene"
"is","Es."
"is not","No es."
"not found","No encontrado."
"quantity","Cantidad."
"row weight","Precio de la serie."
"subtotal","Total."
"weight","Peso"
