"%s x %s","%s x %s"
"Additional Information","Informations supplémentaires"
"Availability","Disponibilité"
"Customize %s","Personnaliser %s"
"Customize and Add to Cart","Personnaliser et ajouter au panier"
"Details","Détails"
"Email to a Friend","Envoyer à un ami par email"
"Go back to product detail","Retourner vers les détails du produit"
"In stock","En stock"
"Out of stock","Pas en stock"
"Quick Overview","Vue générale rapide"
"SKU#%s","SKU#%s"
"Summary","Résumé"
"This product is also part of bundle(s)","Ce produit fait aussi partie d'un groupe."
"Your Customization","Votre personnalisation"
