"%s Item(s)","%s article(s)"
"* Required Fields","* Champs requis"
"Add to Cart","Ajouter au panier"
"Add to Compare","Ajouter pour comparer"
"Add to Wishlist","Ajouter à la liste de souhaits"
"Additional Information","Informations supplémentaires"
"Alert Urls","Alertes Urls"
"An error occured while reindexing the products.","An error occured while reindexing the products."
"Bottom Block Options Wrapper","Bloc Inférieur Options d'Emballage"
"Cache refresh needed. (NOTE: A dot ""."" before suffix is added automatically)","Il faut réactualiser le cache. (REMARQUE : un point « . » est ajouté automatiquement avant le suffixe)"
"Catalog Category (Anchor)","Catégorie Catalogue (Attaché)"
"Catalog Category (Non-Anchor)","Catégorie Catalogue (Non-Attaché)"
"Catalog Category/Product Index","Indice des produits/catégories du catalogue"
"Catalog Product Compare List","Liste de Comparaison des Produits du Catalogue"
"Catalog Product Email to a Friend","Envoyer le catalogue de produits par email à un ami"
"Catalog Product Image Gallery Popup","Popup Galerie d'Images du Produit du Catalogue"
"Catalog Product View (Any)","Affichage du Produit Catalogue (Tous)"
"Catalog Seo Sitemap (Category List)","Catalogue SEO Plan du Site (Liste des catégories)"
"Catalog Seo Sitemap (Category Tree)","Catalogue SEO Plan du Site (Arbre des catégories)"
"Catalog Seo Sitemap (Common)","Catalogue SEO Plan du Site (Courant)"
"Catalog Seo Sitemap (Product List)","Catalogue SEO Plan du Site (Liste des Produits)"
"Catalog product price","Prix des produits du catalogue"
"Category","Catégorie"
"Category Flat Data","Données Fixes de la Catégorie"
"Category Flat Index","Indice à taux unique des catégories"
"Category URL Rewrite","Réécriture URL des catégories"
"Category URL Rewrites","Réécritures URL des catégories"
"Category URL Suffix","Suffixe de l'URL de la Catégorie"
"Check items to add to the cart or","Cocher les articles à ajouter au panier ou"
"Clear All","Tout effacer"
"Click on image to zoom","Cliquez sur l'image pour l'agrandir"
"Close Window","Fermer la fenêtre"
"Compare Products","Comparer des produits"
"Create Custom Redirect for old URL","Créer une redirection personnalisée pour une URL ancienne"
"Details","Détails"
"Double click on above image to view full picture","Double cliquez sur une image pour taille réelle"
"Email to a Friend","Envoyer à un ami par email"
"ID","ID"
"In stock","En stock"
"Index categories URL rewrites","Réécritures URL des catégories de l'indice"
"Index product prices","Prix de l'index des produits"
"Index products URL rewrites","Réécritures URL des produits de l'indice"
"Indexed category/products association","Catégorie indexée/association de produits"
"Info Column Options Wrapper","Colonne infos options enrouler"
"Invalid attribute %s","Attribut %s invalide"
"Items %s-%s of %s","Articles %s-%s de %s"
"Learn More","En savoir plus"
"More Views","Plus de vues"
"Name","Nom"
"New Products","Nouveaux produits"
"Out of stock","Pas en stock"
"Please wait...","Veuillez patienter..."
"Price and Stock Index","Indice des stocks et des prix"
"Print This Page","Imprimer cette page"
"Product","Produit"
"Product Flat Data","Données fixes du produit"
"Product Flat Index","Indice à taux unique des produits"
"Product Tags List","Liste des étiquettes de produits"
"Product URL Rewrite","Réécriture URL des produits"
"Product URL Rewrites","Réécritures URL des produits"
"Product URL Suffix","Suffixe URL du produit"
"Product View Extra Hint","Vue par produit trace supplémentaire"
"Quick Overview","Vue générale rapide"
"Related Products","Produits apparentés"
"Remove Product","Retirer le produit"
"Reorganize EAV category structure to flat structure","Réorganiser la structure de la catégorie EAV en structure plate"
"Reorganize EAV product structure to flat structure","Réorganiser la structure du produit EAV en structure plate"
"SKU","UGS"
"SKU# %s","N° de réf. %s"
"Select Category","Sélectionner catégorie"
"Set Ascending Direction","Par ordre croissant"
"Set Descending Direction","Définir Direction Descendante"
"Shop By","Acheter par"
"Shopping Options","Options d'Achat"
"Show","Montrer"
"Skip Category Selection","Skip Category Selection"
"Skip choosing category","Passer le choix de la catégorie"
"Sort By","Trier par"
"Status","Statut"
"Subscribe to RSS Feed","S'abonner au flux RSS"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","La module du Catalogue fixe a une limite de %2\$d attributs filtrables et/ou triables. Il y en a actuellement %1\$d. Veuillez réduire le nombre d'attributs filtrables/triables afin d'utiliser ce module."
"There are no products matching the selection.","Aucun produit ne correspond à la sélection."
"URL Redirect","Redirection URL"
"Unsupported product type ""%s"".","Type de produit ""%s"" non pris en charge."
"View as","Visualiser comme"
"You may also be interested in the following product(s)","Vous pourriez aussi être intéressé(e) par le(s) produit(s) suivant(s)"
"Zoom In","Zoom avant"
"Zoom Out","Zoom Arrière"
"per page","par page"
"select all","sélectionner tous"
"unselect all","désélectionner tous"
