"(Allow)","(Autorise)"
"(Config)","(Configure)"
"(Deny)","(Refuse)"
"-- Please Select --","-- Please Select --"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Attention !</strong> Par défaut, cette fonction restreint toutes les catégories. 



"
"A permission with the same scope already exists.","Une permission avec la même ampleur existe déjà."
"Add to Cart","Ajouter au caddy"
"All Customer Groups","All Customer Groups"
"All Websites","All Websites"
"Allow","Allow"
"Allow Adding to Cart","Permettre d'ajouter au caddy"
"Allow Browsing Category","Permettre de naviguer la catégorie"
"Browsing Category","Naviguer la catégorie"
"Catalog Permissions","Permissions de catalogue"
"Category Permissions","Permissions de la catégorie"
"Category Permissions Section","Section des permissions de la catégorie"
"Customer Group","Customer Group"
"Customer Groups","Groupes Client"
"Deny","Deny"
"Disallow Catalog Search By","Ne plus permettre la recherche dans le catalogue par"
"Display Product Prices","Affiche les prix des produits"
"Enable","Active"
"Landing Page","Page d'atterrissage"
"New Permission","Nouvelle permission"
"No","Non"
"No, Redirect to Landing Page","Non, redirige vers la page d'atterrissage"
"Permission with the same scope","Permission avec la même ampleur"
"Permissions do not depend on store views.","Permissions do not depend on store views."
"Remove Permission","Enlève la permission"
"The product ""%s"" cannot be added to cart.","Il est impossible d'ajouter le produit ""%s"" au panier."
"Use parent","Use parent"
"Website","Website"
"Yes, for Everyone","Oui, pour tous"
"Yes, for Specified Customer Groups","Oui, pour les groupes client spécifiés"
"You have no permissions to access this category","Vous n'avez pas la permission d'accéder à cette catégorie."
"You have no permissions to access this product","Vous n'avez pas la permission d'accéder à ce produit."
