"Additional Info","Information supplémentaire"
"Advanced Search","Recherche avancée"
"Advanced Search Form","Formulaire de recherche avancée"
"Advanced Search Result","Résultats de recherche avancée"
"Catalog Advanced Search","Recherche avancée du catalogue"
"Catalog Search Index","Recherche de l'index du catalogue"
"Enter search keyword","Saisir les mots-clés de recherche"
"Go","Démarrer"
"Popular Search Terms","Termes souvent recherchés"
"Quick Search Form","Formulaire de recherche rapide"
"Search","Chercher"
"Search Settings","Options de recherche"
"Search results for '%s'","Résultats de recherche pour '%s'"
"Search site:","Rechercher sur le site :"
"Subscribe to Feed","Souscrire au feed"
"Your search returns no results.","Votre recherche ne renvoie aucun résultat."
