"%s product requires your attention.","%s produit requiert votre attention."
"%s product was added to your shopping cart.","%s produit a été ajouté à votre panier."
"%s products require your attention.","%s produits requièrent votre attention."
"%s products were added to your shopping cart.","%s produits ont été ajoutés à votre panier."
"%s was added to your shopping cart.","%s a été ajouté à votre panier."
"* Required Fields","* Champs obligatoires"
"<span id=""sku-attention-num"">%s</span> product(s) require attention","<span id=""sku-attention-num"">%s</span>produit(s) requiert/-èrent votre attention."
"Access denied.","Accès dénié."
"Action","Action"
"Add New Address","Ajouter une nouvelle adresse"
"Add Products","Ajouter des produits"
"Add Products By SKU","Ajoutez des produits dans l'UGS."
"Add Products to Order","Ajouter des produits à commander"
"Add Row","Ajouter ligne"
"Add Selected Product(s) to Shopping Cart","Ajouter les produits sélectionnés au caddy"
"Add To Cart","Ajouter au panier."
"Add to Cart","Ajouter au panier"
"Add to Compare","Ajouter au comparateur"
"Add to Order","Ajouter à la commande"
"Add to Order by SKU","Ajouter aux commandes dans l'UGS."
"Add to Shopping Cart","Ajouter au panier."
"Add to Shopping Cart by SKU","Ajouter au panier dans l'UGS."
"Add to Wishlist","Ajouter à la liste de cadeaux"
"Additional Product Info","Informations supplémentaires sur le produit"
"Address","Adresse"
"Address %s of %s","Adresse %s de %s"
"Allowed file type: csv.<br/>File must contain two columns, with ""sku"" and ""qty"" in the header row.","Format de fichier autorisé: csv.<br/> Le fichier doit contenir deux colonnes, avec ""UGS"" et ""Qte"" dans les lignes d'en-tête."
"Already registered?","Déjà enregistré ?"
"An error has occurred. See error log for details.","Une erreur s'est produite. Consultez le journal de bord pour les détails."
"Apply","Appliquer"
"Apply Coupon","Appliquer un Coupon"
"Apply Coupon Code","Appliquer le code du coupon"
"Are you sure you want to delete all items from shopping cart?","Etes-vous certain(e) de vouloir effacer tous les articles du panier?"
"Are you sure you would like to remove this item from the shopping cart?","Etes-vous sûr de vouloir supprimer cet objet de votre panier ?"
"Availability: Out of stock.","Disponibilité: rupture de stock."
"Back","Retour"
"Back to Billing Information","Retour vers les informations de facturation"
"Back to Select Addresses","Retour à la sélection des adresses"
"Back to Shipping Information","Retour aux informations d'expédition"
"Back to Shopping Cart","Retour au panier"
"Based on your selection, you may be interested in the following items:","D'après votre sélection, vous serez probablement intéressé par :"
"Billing Address","Adresse de facturation"
"Billing Information","Informations de facturation"
"Cancel","Annuler"
"Cancel Coupon","Annuler le coupon"
"Cannot add product","Impossible d'ajouter le produit."
"Cannot configure product","Impossible de configurer le produit."
"Card Verification Number Visual Reference","Numéro de vérification de la carte"
"Cart Subtotal:","Sous-total du panier"
"Change","Changer"
"Change Billing Address","Changer l'adresse de facturation"
"Checkout","Paiement"
"Checkout as Guest","Payer en tant qu'invité"
"Checkout as a Guest","Payer en tant qu'invité"
"Checkout as a Guest or Register","Payer en tant qu'invité ou s'enregistrer"
"Choose some products to add to shopping cart.","Choisissez des produits à ajouter à votre panier."
"City","Ville"
"Clear Shopping Cart","Vider le panier"
"Close","Fermer"
"Company","Société"
"Configure","Configurer"
"Configure Cart Item","Configurer les objets du panier"
"Confirm Password","Confirmez le mot de passe"
"Continue","Continuer"
"Continue Shopping","Continuer les achats"
"Continue to Billing Information","Continuer vers les informations de facturation"
"Continue to Review Your Order","Continuer vers la vérification de la commande"
"Continue to Shipping Information","Continuer vers les informations d'expédition"
"Country","Pays"
"Coupon code ""%s"" is not valid","Le code coupon ""%s"" n'est pas valable"
"Customer Groups","Groupes de clients"
"Customer not found","Client non trouvé"
"Customers","Clients"
"Default Billing","Facturation par défaut"
"Default Shipping","Expédition par défaut"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Définit si un lien vers les pages Mon Compte &gt; Commander par SKU apparaîtront sur le widget"
"Disabled products cannot be added.","Les produits désactivés ne peuvent pas être ajoutés."
"Discount","Remise"
"Discount Codes","Codes de réduction"
"Display a Link to Loading a Spreadsheet","Montrer un lien pour télécharger un fichier Excel"
"Easy access to your order history and status","Accès facile à votre historique de commandes et statut"
"Edit","Modifier"
"Edit Address","Éditer l'adresse"
"Edit Items","Modifier l'adresse d'expédition"
"Edit item","Modifier l'objet"
"Email Address","Adresse email"
"Empty Shopping Cart Content Before","Vider le contenu du panier avant"
"Enable Order by SKU on My Account in Frontend","Activer la commande par l'UGS sur mon compte dans l'interface graphique"
"Enter a New Address","Entrer une nouvelle adresse"
"Enter your coupon code if you have one.","Entrez votre code de réduction si vous en avez un."
"Enter your destination to get a shipping estimate.","Entrez votre destination pour obtenir une estimation des frais de port."
"Estimate Shipping and Tax","Estimation du port et des taxes."
"Excl. Tax","TVA exclue"
"Failed to add a product of order item","Échec pour ajouter un produit de la commande"
"Failed to reorder item","Échec pour commander à nouveau l'article"
"Fast and easy check out","Paiement rapide et facile."
"Fax","Fax"
"File","Fichier"
"File cannot be uploaded.","Impossible de télécharger le fichier."
"File extensions allowed: .csv","Extension de fichier autorisée : .csv"
"File is corrupt.","Le fichier est endommagé."
"File is empty.","Le fichier est vide."
"File must contain two columns, with ""sku"" and ""qty"" in the header row.","Le fichier doit contenir deux colonnes, avec « sku » et « qty » dans la ligne d'en-tête."
"Forgot your password?","Oublié votre mot de passe ?"
"Get a Quote","Obtenir une estimation"
"Get notified when back in stock","Souhaite être averti(e) quand le produit sera disponible."
"Go to Shopping Cart","Accéder au Panier"
"Grand Total:","Total :"
"ID","Identification"
"Incl. Tax","TVA incluse"
"Invalid block: %s.","Bloc invalide : %s."
"Item was successfully removed.","L'article a bien été supprimé;"
"Items","Articles"
"Items After","Articles après"
"Items Before","Articles avant"
"Items were successfully removed.","Les articles ont bien été supprimés."
"Last ordered items (%s)","Derniers articles commandés (%s)"
"Link Text","Créer un lien vers le texte"
"Load a list of SKUs","Télécharger une liste d'UGS."
"Loading next step...","Chargement étape suivante..."
"Login","Identifiant"
"Login/Registration Before","Connexion/Inscription avant"
"Manage Customers","Gérer les clients"
"Manage Shopping Cart","Gérer le caddy"
"Move to Wishlist","Passer à la liste de vœux"
"Multishipping Checkout","Sortie caisse différentes expéditions"
"Multishipping Checkout Address (Any) Form","Formulaire sortie caisse différentes expéditions (toutes)"
"Multishipping Checkout Billing Address Creation","Création adresse facturation sortie caisse multiples expéditions"
"Multishipping Checkout Billing Address Edit Form","Modification formulaire adresse facturation sortie caisse multiples expéditions"
"Multishipping Checkout Billing Address Selection","Sélection adresse facturation sortie caisse multiples expéditions"
"Multishipping Checkout Billing Information Step","Étape information facturation sortie caisse multiples expéditions"
"Multishipping Checkout Customer Address Edit Form","Modifier formulaire adresse client sortie caisse multiples expéditions"
"Multishipping Checkout Overview","Vue générale sortie caisse multiples expéditions"
"Multishipping Checkout Shipping Address Creation","Création adresse expédition sortie caisse multiples expéditions"
"Multishipping Checkout Shipping Address Edit Form","Modifier formulaire adresse expédition sortie caisse multiples expéditions"
"Multishipping Checkout Shipping Address Selection","Sélection adresse expédition sortie caisse multiples expédition"
"Multishipping Checkout Shipping Information Step","Étape information expédition sortie caisse multiples expéditions"
"Multishipping Checkout Success","Sortie caisse multiples expéditions réussie"
"My Cart (%s)","Ma carte (%s)"
"No","Non"
"No ordered items","Pas d'articles commandés"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","LA COMMANDE TOTALE S'AFFICHERA  AVANT QUE VOUS LA SOUMETTIEZ"
"One Page Checkout","Paiement en une page"
"One Page Checkout Failure","Échec de règlement une page"
"One Page Checkout Overview","Aperçu caisse de sortie en une page"
"One Page Checkout Success","Succès de règlement une page"
"Only %s%g%s left in stock","Il ne reste que  %s%g%s en stock"
"Only .csv file format is supported.","Seuls les fichiers de format .csv  sont pris en charge."
"Only <span id=""%s_max_allowed"">%s</span> in stock","Seulement <span id=""%s_max_allowed"">%s</span> en stock"
"Options Details","Informations options"
"Order by SKU","Commander dans l'UGS"
"Order by SKU Description","Commander par le descriptif de l'UGS"
"Order by SKU Settings","Commander selon les paramètres de l'UGS"
"Order by SKU Template","Commander selon le modèle de l'UGS"
"Ordered item id is not received.","L'identifiant de l'article commandé n'a pas été reçu."
"Ordered item is not loaded.","L'article commandé n'a pas été chargé."
"Other items in your order","Autres articles de votre commande"
"Overview Items After","Aperçu articles après"
"Password","Mot de passe"
"Payment Method","Méthode de paiement"
"Payment Methods After","Méthodes de paiement après"
"Payment Methods After Checkout Button","Méthodes paiement après bouton règlement"
"Payment Methods Before","Méthodes de paiement avant"
"Payment Methods Before Checkout Button","Méthodes de paiement avant le bouton de validation"
"Place Order","Passer la commande"
"Please agree to all Terms and Conditions before placing the orders.","Veuillez agréer à tous les termes et conditions avant de passer les commandes."
"Please enter a valid number in the ""Qty"" field.","Veuilez taper un nombre valide dans l'espace réservé à ""Qte""."
"Please log in below:","Veuillez vous connecter ci-dessous :"
"Please select region, state or province","Veuillez sélectionner la région, l'état et le pays"
"Please select shipping address for applicable items","Veuillez sélectionner l'adresse d'expédition"
"Please specify the product\'s options.","Veuillez préciser les options du produit\."
"Price","Prix"
"Product","Produit"
"Product Name","nom du produit"
"Product name","Nom du produit"
"Products","Produits"
"Products Requiring Attention","Produits nécessitant de l'attention"
"Products in the Comparison List (%s)","Produits dans la liste de comparaison (%s)"
"Qty","Qté"
"Qty To Add","Qté à ajouter"
"Quote item id is not received.","L'identifiant de l'article évalué n'a pas été reçu."
"Quote item is not loaded.","L'article évalué n'a pas été chargé."
"Recently Compared Products (%s)","Produits comparés récemment (%s)"
"Recently Viewed Products (%s)","Produits vus récemment (%s)"
"Recently added item(s)","Objets ajoutés récemment"
"Register","S'inscrire"
"Register and save time!","S'enregistre et gagner du temps !"
"Register to Create an Account","Inscrivez-vous pour créer un compte"
"Register with us for future convenience:","S'enregistrer pour plus de pratique"
"Remove","Enlever"
"Remove All","Tout supprimer"
"Remove Coupon Code","Enlever le code du coupon"
"Remove Item","Supprimer objet"
"Remove Row","Retirer ligne"
"Remove item","Supprimer l'objet"
"Requested quantity is not available.","La quantité demandée n'est pas disponible."
"Reset","Réinitialiser"
"Review Order","Vérification de la commande"
"Row Subtotal","Rangée sous-total"
"SKU","UGS"
"SKU not found in catalog.","L'UGS n'a pas été trouvée dans le catalogue."
"SKU: ","UGS:"
"Save in address book","Sauvegarder dans le carnet d'adresses"
"See price before order confirmation.","Voir le prix avant la confirmation de commande."
"Select Address","Sélectionner l'Adresse"
"Select Shipping Method","Sélectionner la Méthode de Livraison"
"Select State/Province...","Sélectionner état/pays"
"Select a billing address from your address book or enter a new address.","Choisir une adresse de facturation depuis votre carnet d'adresses ou entrer une nouvelle adresse."
"Select a shipping address from your address book or enter a new address.","Choisir une adresse de facturation depuis votre carnet d'adresses ou entrer une nouvelle adresse."
"Send To","Envoyer A"
"Ship to Multiple Addresses","Expédier à des Adresses Multiples"
"Ship to different address","Envoyer à une différente adresse"
"Ship to this address","Envoyer à cette adresse"
"Shipping Information","Informations d'expédition"
"Shipping Method","Méthode d'expédition"
"Shipping To","Expédition à"
"Shipping selection is not applicable","La sélection de la livraison n'est pas applicable"
"Shopping Cart","Caddy"
"Shopping Cart Items","Articles du caddy"
"Shopping Cart Items After","Articles du panier après"
"Shopping Cart Items Before","Objets du panier avant"
"Shopping Cart Management","Gestion du caddy"
"Shopping Cart for %s in %s","Caddy pour %s en %s"
"Shopping cart management disabled for this customer.","Gestion du caddy désactivée pour ce client."
"Sorry, no quotes are available for this order at this time.","Désolé, aucune estimation n'est actuellement disponible pour cette commande."
"Specify the product\'s options","Préciser les options du produit\"
State/Province"""
"State/Province","State/Province"
"Store not found.","Magasin introuvable."
"Street Address","Rue"
"Street Address %s","Adresse municipale %s"
"Submitting order information...","Envoi des informations de la commande ...."
"Subtotal","Sous-total"
"Subtotal:","Sous-total:"
"Telephone","Téléphone"
"The product cannot be added to cart in requested quantity.","Le produit ne peut pas être ajouté au panier dans la quantité du produit demandée."
"The product cannot be added to cart.","Le produit ne peut pas être ajouté au panier."
"The product is assigned to another website.","Le produit est attribué à un autre site web."
"The text of the link to the My Account &gt; Order by SKU page","Le texte du lien vers la page Mon Compte &gt; Commander par SKU"
"Total","Total"
"Total %d product(s)","Total %d produit(s)"
"Total incl. tax","Total, TVA incluse"
"Unit Price","Prix unitaire"
"Update Items and Qty\'s","Mettre à jour les articles et la Qte\'s"
"Update Qty &amp; Addresses","Mettre à jour la quantité"
"Update Shopping Cart","Mettre à jour le panier"
"Update Total","Mettre à jour le total"
"Use Billing Address","Utiliser l'adresse de facturation"
"VAT Number","Numéro TVA"
"View Details","Vue détails"
"View Shopping Cart","Voir le caddy"
"View and modify Shopping Cart","Voir et modifier le caddy"
"Wishlist (%s)","Liste de vœux (%s)"
"Wishlist item id is not received.","L'identifiant de l'article désiré n'a pas été reçu."
"Wishlist item is not loaded.","L'article désiré n'a pas été chargé."
"Yes, for Everyone","Oui, pour tout le monde"
"Yes, for Specified Customer Groups","Oui, pour des groupes de clients spécifiques."
"You have %d item(s) requiring attention.","Vous avez %d article(s) requérant votre attention."
"You have no items in your shopping cart.","Il n'y a aucun objet dans votre panier."
"You have not entered any product sku.","Vous n'avez pas enregistré de produit de l'UGS."
"You have not entered any product sku. Please <a href=""%s"">click here</a> to add product(s) by sku.","Vous n'avez pas enregistré de produit de l'UGS.Veuillez <a href=""%s"">cliquer ici </a> pour ajouter un/des produit(s) de l'UGS."
"Zip/Postal Code","Code postal"
