"%s Purchased Quantity %s %s while %s of these Conditions match:","%s Quantité achetée %s %s tandis que %s de ces conditions correspondent:"
"%s Sales Amount %s %s while %s of these Conditions match:","%s Somme des ventes  %s %s tandis que %s de ces conditions correspondent:"
"* Could be applied both for visitors and registered customers","* Peut être appliqué à la fois pour les visiteurs et les clients enregistrés"
"Active","Actif"
"Add Segment","Ajouter segment"
"Address Attributes","Attributs de l'adresse"
"Address Type","Type d'adresse"
"All","TOut :"
"Any","Tout"
"Applies to All of the Specified Customer Segments","S'applique à tous les segments de clients spécifiés"
"Apply To","Appliquer à"
"Apply to the Selected Customer Segments","Appliquer aux groupes de clients sélectionnés"
"Assigned to Website","Assigné au site internet"
"Average","Moyenne"
"Back","Retour"
"Billing","Facturation"
"CSV","CSV"
"Conditions","Conditions"
"Conditions Combination","Combinaison des conditions"
"Country","Pays"
"Customer","Client"
"Customer %s","%s Client"
"Customer Address","Adresse client"
"Customer Address %s","Adresse client %s"
"Customer Address %s Default %s Address","Adresse du client %s Adresse %s par défaut"
"Customer Segment","Segment client"
"Customer Segment Report","Rapport sur segment client"
"Customer Segment Report \'%s\'","Rapport sur segment client '%s'"
"Customer Segment data has been refreshed.","Les données du segment client ont été rafraîchies."
"Customer Segments","Segments client"
"Customer Segments Report","Rapport sur segments client"
"Customer Since","Client depuis"
"Customer Store Credit Amount %s %s:","Montant de l'avoir de la boutique client %s %s:"
"Customer is %s to newsletter.","Client est %s à la lettre d'informations."
"Customers","Clients"
"Date Range","Fourchette dates"
"Date Range %s within %s","Plage de dates %s entre %s"
"Date Ranges","Fourchettes dates"
"Default Address","Adresse par défaut"
"Description","Description"
"Details","Coordonnées"
"Edit Segment","Changer segment"
"Edit Segment '%s'","Changer segment '%s'"
"Email","Courriel"
"Enable Customer Segment Functionality","Active la fonction de segment client"
"Excel XML","Excel XML"
"General Properties","Propriétés générales"
"Gift Card","Carte cadeau"
"Grand Total","Total"
"Group","Groupe"
"Has State/Province","A Région/Département"
"ID","Identification"
"If Customer Address %s State/Province specified","Si l'adresse du client %s Région/Département est spécifié"
"If Customer Addresses match %s of these Conditions:","Si l'adresse des clients remplit %s de ces conditions"
"If Customer Segment %s %s","Si le groupe de clients %s %s"
"If Order Addresses match %s of these Conditions:","Si les adresses de commandes remplissent %s de ces conditions:"
"If Product %s %s and matches %s of these Conditions:","Si le produit %s %s et remplit %s de ces conditions:"
"If Product is %s in the %s with %s of these Conditions match:","Si le produit est %s dans les %s avec %s de correspondance avec ces conditions:"
"Inactive","Inactif"
"Intersection","Intersection"
"Manage Segments","Gérer les segments"
"Matched %d Customers of Segment %s","Clients %d correspondants du segment %s"
"Matched Customers (%d)","Clients correspondants (%d)"
"Name","Nom"
"New Segment","Nouveau segment"
"Newsletter Subscription","Souscription à la lettre d'informations"
