"Action","Action"
"Change Index Mode","Change mode index"
"Description","Description"
"Enable Scheduled Cleanup","Activer nettoyage programmé"
"Frequency","Fréquence"
"Index","Index"
"Index Clean Schedule","Index Clean Schedule"
"Index Management","Gestion index"
"Index Options","Index Options"
"Index mode","Mode index"
"Mode","Mode"
"Never","Jamais"
"Processing","Traitement"
"Ready","Prêt"
"Reindex Data","Ré-indexer données"
"Reindex Required","Ré-indexage requis"
"Scheduled","Programmé"
"Start Time","Heure de début"
"Status","Statut"
"Unable to save the cron expression.","Impossible de sauvegarder l'expression cron."
"Update Required","Mise à jour nécessaire"
"Update on Save","Mise à jour lors de la sauvegarde"
"Update when scheduled","Mettre à jour quand programmé"
"Updated At","Mis à jour à"
