"%s order(s) have been archived.","%s commande(s) ont été archivées."
"%s order(s) have been removed from archive.","%s commande(s) ont été enlevées de l'archive."
"Add","Ajouter"
"Archive","Archive"
"Archive Orders Purchased","Commandes de l'archive finalisées"
"Column not found","Colonne introuvable"
"Credit Memos","Notes de crédit"
"Credit Memos Archive","Archives des notes de crédit"
"Enable Archiving","Activer l'Archivage"
"Go to Archive (%s orders)","Aller à l'Archive (%s commandes)"
"Invoices","Factures"
"Invoices Archive","Archive Factures"
"Mass Add","Ajout en masse"
"Move to Archive","Déplacer dans l'Archive"
"Move to Order Managment","Déplacer dans Gestion de la Commande"
"Move to Orders Management","Déplacer dans Gestion des Commandes"
"Order Statuses to be Archive","Statuts Commandes à archiver"
"Orders","Commandes"
"Orders Archive","Archive des Commandes"
"Orders, Invoices, Shipments, Credit Memos Archiving","Archivage des Commandes, Factures, Expéditions, Avoirs"
"Please specify order id to be archived.","Merci d'indiquer l'identifiant de la commande à archiver."
"Please specify order id to be removed from archive.","Merci d'indiquer l'identifiant de la commande à retirer de l'archive."
"Positioning column not found","Colonne de positionnement introuvable"
"Restore from Archive","Restaurer à partir de l'Archive"
"Sales Archive","Archive des Ventes"
"Selected order(s) cannot be archived.","La(les) commande(s) sélectionnée(s) ne peut(vent) pas être archivée(s)."
"Shipments","Expéditions"
"Shipments Archive","Archive des Expéditions"
"Table not found","Liste introuvable"
"The order has been archived.","La commande a été archivée."
"The order has been removed from the archive.","La commande a été retirée de l'archive."
"There are %s orders in archive. All of them will be moved to regular table after archive is disabled.","Il y a %s commandes dans l'archive. Toutes seront transférées dans la liste principale après désactivation de l'archive."
