"-- Please Select --","-- Veuillez sélectionner --"
"Action","Action"
"Add URL Redirect","Ajouter une redirection URL"
"An error occurred during deleting the redirect item.","Une erreur s'est produite lors de la suppression de la redirection."
"An error occurred while saving the URL redirect.","Une erreur s'est produite lors de l'enregistrement de la redirection URL."
"Back","Retour"
"Block Information","Bloquer l'information"
"Custom","Personnalisé"
"Description","Description"
"Edit","Éditer"
"ID","ID"
"Index URL rewrites","Réécritures URL de l'indice"
"No","Non"
"Only alphanumeric characters and ""_"" (underscore) symbol is allowed for the ""URL Suffix""","Seuls les caractères alphanumériques et le symbole « _ » (tiret bas) sont autorisés pour le « Suffixe URL »"
"Options","Options"
"Permanent (301)","Permanent (301)"
"Priority for Duplicated URL Keys","Priority for Duplicated URL Keys"
"Redirect","Redirect"
"Redirect Rules","Règles de redirection"
"Redirect Type","Type de redirection"
"Redirect URL Rewrite","Réécriture URL de redirection"
"Redirect item has been deleted.","La redirection a été supprimée."
"Redirect item has been saved.","La redirection a été enregistrée."
"Redirect item not found.","Redirection introuvable."
"Request Path","Chemin demandé"
"Requires full page cache refresh to take effect.","Requires full page cache refresh to take effect."
"Select URL Redirect Type","Sélectionner le type de redirection URL"
"Store","Store"
"Store View","Store View"
"Target Path","Chemin cible"
"Temporary (302)","Temporaire (302)"
"Type","Type"
"URL Redirect","Redirection URL"
"URL Redirect Information","Informations sur la redirection URL"
"URL Redirect Management","Gestion de la redirection URL"
"URL Redirect has been deleted.","URL Redirect has been deleted."
"URL Redirect with same Request Path already exists.","Une redirection URL avec la même demande de chemin existe déjà."
"URL Redirect with same Request Path and Store already exists.","URL Redirect with same Request Path and Store already exists."
"URL Redirects","Redirections URL"
