"""%s"" cannot be moved.","""%s"" ne peut pas être bougé"
"""%s"" is already present in %s.","""%s"" est déjà présent dans %s."
"""%s"" was successfully copied to %s.","""%s"" a été copié avec succès dans %s."
"""%s"" was successfully moved to %s.","""%s"" a été déplacé dans %s."
"%d items","%s objets"
"%d items are already present in %s: %s.","%d objets sont déjà présents dans %s: %s."
"%d items cannot be moved: %s.","%d les articles ne peuvent être déplacés: %s."
"%d items could not be copied.","%d articles n'ont pu être copiés."
"%d items could not be moved.","%d articles n'ont pu être déplacés."
"%d items were copied to %s: %s.","%d articles ont été copiés vers %s:%s."
"%d items were not found.","%d articles n'ont pas été trouvés."
"%d items were successfully moved to %s: %s.","%d articles ont été déplacés avec succès vers %s: %s."
"%s for ""%s"".","%s pour ""%s""."
"%s\'s Wishlist","Liste de favoris %s\'s"
"%s\'s Wishlist (%s)","Liste de favoris %s\'s  (%s)"
"* Required Fields","* Champs requis"
"1 item","1 article"
"Actions","Actions"
"Add to Cart","Ajouter au panier"
"Add to Wishlist","Ajouter à la liste de souhaits"
"Add to:","Ajouter à:"
"Added at","Ajouté à"
"All Forms","Tous les formulaires"
"All Wishlists","Toutes les listes de favoris"
"An error occurred during wishlist deletion.","Une erreur s'est produite durant l'effacement de la liste de favoris."
"Back","Retour"
"Cancel","Annuler"
"Change","Changer"
"Comment","Commentaire"
"Copy To Wishlist","Copier dans la liste de favoris"
"Copy To:","Copier vers:"
"Copy to Wishlist","Copier dans la liste de favoris"
"Copy to:","Copier vers:"
"Could not add item to shopping cart.","L'article n'a pas pu être ajouté au panier."
"Could not copy ""%s"".","""%s"" n'a pas pu être copié."
"Could not copy wishlist item.","Les articles de la liste de favoris n'ont pas pu être copiés"
"Could not move wishlist item.","Les articles de la liste de favoris n'ont pas pu être déplacés."
"Could not perform search","La recherche n'a pas pu être effectuée"
"Create New Wishlist","Créez une nouvelle liste de favoris"
"Customer Name","Nom du client"
"Customer's Wishlist Report","Signaler la liste de favoris d'un client"
"Customer's Wishlists","Liste de favoris des clients"
"Customer's wishlists","Listes de favoris du client"
"Customers","Clients"
"Default wishlist cannot be deleted","La liste de favoris par défaut ne peut pas être effacée"
"Delete Wishlist","Effacer liste de faovris"
"Difference between qtys","Différence entre les quantités"
"Display Wishlists Summary","Afficher le résumé de la liste de favoris"
"Edit","Éditer"
"Edit Wishlist","Modifier liste de favoris"
"Enable Multiple Wishlists","Autoriser les listes de favoris multiples"
"Enter at least two letters","Entrez au moins 2 lettres"
"Error happened during wishlist creation","Une erreur s'est produite durant la création de la liste de favoris"
"Error happened during wishlist creation. Try again later","Une erreur s'est produite durant la création de la liste de favoris. Réessayez ultérieurement"
"First Name","Prénom"
"Go","Démarrer"
"Item was not found.","L'article n'a pas été trouvé."
"Item with specified ID doesn't exist.","L'article avec l'ID spécifiée n'existe pas."
