"%s x %s","%s x %s"
"Additional Information","Aanvullende Informatie"
"Availability","Beschikbaarheid"
"Customize %s","Pas %s aan"
"Customize and Add to Cart","Pas aan en toevoegen aan winkelwagen"
"Details","Details"
"Email to a Friend","E-mail Vriend"
"Go back to product detail","Ga terug naar product detail"
"In stock","In voorraad"
"Out of stock","Uit voorraad"
"Quick Overview","Snel Overzicht"
"SKU#%s","SKU#%s"
"Summary","Overzicht"
"This product is also part of bundle(s)","Dit product is ook onderdeel van bundel(s)"
"Your Customization","Uw aanpassingen"
