"%s Item(s)","%s Artikel(en)"
"* Required Fields","* Vereiste velden"
"Add to Cart","Aan mandje toevoegen"
"Add to Compare","Voeg toe om te Vergelijken"
"Add to Wishlist","Aan verlanglijst toevoegen"
"Additional Information","Aanvullende Informatie"
"Alert Urls","Melding Url's"
"An error occured while reindexing the products.","An error occured while reindexing the products."
"Bottom Block Options Wrapper","Onderaan Blokkeer Opties Omslag"
"Cache refresh needed. (NOTE: A dot ""."" before suffix is added automatically)","Cache verversen vereist. (Let Op: een punt ""."" wordt automatisch voor de suffix geplaatst)"
"Catalog Category (Anchor)","Catalogus categorie (anker)"
"Catalog Category (Non-Anchor)","Catalogus categorie (niet anker)"
"Catalog Category/Product Index","Catalogus Categorie/Product Index"
"Catalog Product Compare List","Catalogus productvergelijkingslijst"
"Catalog Product Email to a Friend","Catalogus Product E-mail naar een Vriend"
"Catalog Product Image Gallery Popup","Catalogus productbeeldenreeks popup"
"Catalog Product View (Any)","Catalogus Product Bezichtiging (Elke)"
"Catalog Seo Sitemap (Category List)","Catalogus Seo Sitemap (Categorielijst)"
"Catalog Seo Sitemap (Category Tree)","Catalogus Seo Sitemap (Categorieboom)"
"Catalog Seo Sitemap (Common)","Catalogus Seo Sitemap (Algemeen)"
"Catalog Seo Sitemap (Product List)","Catalogus Seo Sitemap (Productlijst)"
"Catalog product price","Catalogus product prijs"
"Category","Categorie"
"Category Flat Data","Categorie Flat Data"
"Category Flat Index","Categorie Platte Index"
"Category URL Rewrite","Herschrijven Categorie URL"
"Category URL Rewrites","Herschrijven Categorie URL's"
"Category URL Suffix","Categorie URL Achtervoegsel"
"Check items to add to the cart or","Controleer items om aan het winkelwagentje toe te voegen of"
"Clear All","Verwijder Alles"
"Click on image to zoom","Klik op beeld om te zoomen"
"Close Window","Venster Sluiten"
"Compare Products","Vergelijk Producten"
"Create Custom Redirect for old URL","Maak aangepaste redirect voor oude URL"
"Details","Details"
"Double click on above image to view full picture","Dubbelklik op bovenstaande afbeelding om volledige foto te bekijken"
"Email to a Friend","E-mail Vriend"
"ID","ID"
"In stock","In voorraad"
"Index categories URL rewrites","Herschrijven Index categorieën URL's"
"Index product prices","Index product prijzen"
"Index products URL rewrites","Herschrijven Index product URL's"
"Indexed category/products association","Geïndexeerde categorie/producten verbinding"
"Info Column Options Wrapper","Info Kolom Opties Omslag"
"Invalid attribute %s","Ongeldig kenmerk %s"
"Items %s-%s of %s","Artikel %s-%s van %s"
"Learn More","Meer Informatie"
"More Views","Meer Views"
"Name","Naam"
"New Products","Nieuwe Producten"
"Out of stock","Uit voorraad"
"Please wait...","Even geduld..."
"Price and Stock Index","Prijs en Voorraad Index"
"Print This Page","Deze pagina afdrukken"
"Product","Product"
"Product Flat Data","Product Platte Gegevens"
"Product Flat Index","Platte Product Index"
"Product Tags List","Product Label Lijst"
"Product URL Rewrite","Herschrijven product URL"
"Product URL Rewrites","Herschrijven meerdere product URLs"
"Product URL Suffix","Product URL Achtervoegsel"
"Product View Extra Hint","Product bekijk extra hint"
"Quick Overview","Snel Overzicht"
"Related Products","Gerelateerde Producten"
"Remove Product","Verwijder Product"
"Reorganize EAV category structure to flat structure","Reorganiseer EAV categoriestructuur naar platte structuur"
"Reorganize EAV product structure to flat structure","Organiseer EAV product structuur naar een platte structuur"
"SKU","SKU"
"SKU# %s","SKU# %s"
"Select Category","Selecteer Categorie"
"Set Ascending Direction","Stel een Oplopende Directie in"
"Set Descending Direction","Stel een Aflopende Directie in"
"Shop By","Shoppen op"
"Shopping Options","Winkel Opties"
"Show","Toon"
"Skip Category Selection","Skip Category Selection"
"Skip choosing category","Sla keuze categorie over"
"Sort By","Sorteren op"
"Status","Status"
"Subscribe to RSS Feed","Aanmelden voor de RSS feed"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","De Flat Catalogus module heeft een limiet van %2\$d filterbare en/of sorteerbare attributen. Op dit moment zijn er %1\$d. Verminder het aantal filterbare/sorteerbare attributen om deze module te kunnen gebruiken"
"There are no products matching the selection.","Er zijn geen producten die overeenkomen met de selectie."
"URL Redirect","URL redirect"
"Unsupported product type ""%s"".","Niet ondersteund produkttype  ""%s""."
"View as","Bekijk als"
"You may also be interested in the following product(s)","U heeft wellicht ook interesse in de volgende product(en):"
"Zoom In","Inzoomen"
"Zoom Out","Zoom Uit"
"per page","per pagina"
"select all","alle selecteren"
"unselect all","Onselecteer alles"
