"(Allow)","(toestaan)"
"(Config)","(configureer)"
"(Deny)","(weiger)"
"-- Please Select --","-- Please Select --"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Waarschuwing!</strong> De standaardinstelling van deze functie beperkt alle categorieën."
"A permission with the same scope already exists.","Een toestemming op hetzelfde bereik bestaat reeds"
"Add to Cart","Voeg toe aan winkelwagen"
"All Customer Groups","All Customer Groups"
"All Websites","All Websites"
"Allow","Allow"
"Allow Adding to Cart","Toestaan om aan winkelwagen toe te voegen"
"Allow Browsing Category","Toestaan om categorie te bekijken"
"Browsing Category","Categorie doorbladeren"
"Catalog Permissions","Catalogus permissies"
"Category Permissions","Categorie toestemmingen"
"Category Permissions Section","Categorie toestemmingsectie"
"Customer Group","Customer Group"
"Customer Groups","Klantengroepen"
"Deny","Deny"
"Disallow Catalog Search By","Weiger doorzoeken van catalogus door"
"Display Product Prices","Geef productprijzen weer"
"Enable","Stel in werking"
"Landing Page","Landingspagina"
"New Permission","Nieuwe toestemming"
"No","Nee"
"No, Redirect to Landing Page","Nee, stuur door naar landingspagina"
"Permission with the same scope","Toestemming op hetzelfde bereik"
"Permissions do not depend on store views.","Permissions do not depend on store views."
"Remove Permission","Verwijder toestemming"
"The product ""%s"" cannot be added to cart.","Het product ""%s"" kan niet worden toegevoegd aan het winkelwagentje."
"Use parent","Use parent"
"Website","Website"
"Yes, for Everyone","Ja, voor iedereen"
"Yes, for Specified Customer Groups","Ja, voor gespecificeerde klantengroepen"
"You have no permissions to access this category","U heeft geen toegang tot deze categorie"
"You have no permissions to access this product","U heeft geen toegang tot dit product"
