"Additional Info","Aanvullende informatie"
"Advanced Search","Geavanceerde zoekopdracht"
"Advanced Search Form","Geavanceerd zoekformulier"
"Advanced Search Result","Geavanceerde zoekrerultaten"
"Catalog Advanced Search","Geavanceerde catalogus zoekopdracht"
"Catalog Search Index","Catalogus zoekopdracht index"
"Enter search keyword","Vul zoekterm in"
"Go","Ga"
"Popular Search Terms","Populaire zoektermen"
"Quick Search Form","Snel zoekformulier"
"Search","Zoekopdracht"
"Search Settings","Zoek in instellingen"
"Search results for '%s'","Zoekresultaten voor '%s'"
"Search site:","Doorzoek site:"
"Subscribe to Feed","Abonneer op Feed"
"Your search returns no results.","Uw zoekopdracht heeft geen resultaten opgeleverd."
