"%s Purchased Quantity %s %s while %s of these Conditions match:","%s Aangeschafte Hoeveelheid %s %s terwijl %s van deze Voorwaarden overeenkomen:"
"%s Sales Amount %s %s while %s of these Conditions match:","%s Verkoop Hoeveelheid %s %s terwijl %s van deze Voorwaarden overeenkomen:"
"* Could be applied both for visitors and registered customers","Is van toepassing op zowel bezoekers als geregistreerde klanten"
"Active","Actief"
"Add Segment","Voeg segment toe"
"Address Attributes","Adres eigenschappen"
"Address Type","Adrestype"
"All","Alles"
"Any","elk"
"Applies to All of the Specified Customer Segments","Is van toepassing op Alle Gespecificeerde Klant Segmenten"
"Apply To","Pas Toe Op"
"Apply to the Selected Customer Segments","Toepassen op de Geselecteerde Klant Segmenten"
"Assigned to Website","Website toewijziging"
"Average","Gemiddeld"
"Back","Terug"
"Billing","Facturatie"
"CSV","CSV"
"Conditions","Voorwaarden"
"Conditions Combination","Voorwaardencombinatie"
"Country","Land"
"Customer","Klant"
"Customer %s","Klant %s"
"Customer Address","Klantadres"
"Customer Address %s","Klantadres %s"
"Customer Address %s Default %s Address","Adres Klant %s Standaard %s Adres"
"Customer Segment","Klantsegment"
"Customer Segment Report","Klantsegment Rapport"
"Customer Segment Report \'%s\'","Klantsegment Rapport '%s'"
"Customer Segment data has been refreshed.","Klantsegment gegevens zijn geactualiseerd"
"Customer Segments","klanten segmenten"
"Customer Segments Report","Klantsegmenten Rapport"
"Customer Since","Klant Sinds"
"Customer Store Credit Amount %s %s:","Totaal Winkeltegoed Klant %s %s:"
"Customer is %s to newsletter.","Klant is %s voor nieuwsbrief"
"Customers","klanten"
"Date Range","Datum Reeks"
"Date Range %s within %s","Datum %s tussen %s"
"Date Ranges","Datum Reeksen"
"Default Address","Standaard Adres"
"Description","Omschrijving"
"Details","Details"
"Edit Segment","Bewerk Segment"
"Edit Segment '%s'","Bewerk Segment '%s'"
"Email","E-mail"
"Enable Customer Segment Functionality","Activeer Klantsegment Functionaliteit"
"Excel XML","Excel XML"
"General Properties","Algemene Kenmerken"
"Gift Card","Cadeaubon"
"Grand Total","Groot Totaal"
"Group","Groep"
"Has State/Province","Heeft Staat/Provincie"
"ID","identiteit"
"If Customer Address %s State/Province specified","Als Klantenadres %s Staat/Provincie gespecificeerd"
"If Customer Addresses match %s of these Conditions:","Als Klant Adressen met %s van deze Voorwaarden overeenkomen:"
"If Customer Segment %s %s","Als Klant Segment %s %s"
"If Order Addresses match %s of these Conditions:","Als Adressen Bestelling met %s van deze Voorwaarden overeenkomen:"
"If Product %s %s and matches %s of these Conditions:","Als Product %s %s en het overeenkomt met %s deze Voorwaarden:"
"If Product is %s in the %s with %s of these Conditions match:","Als Product is %s in de %s met %s overeenkomende Voorwaarden:"
"Inactive","Inactief"
"Intersection","Intersectie"
"Manage Segments","Beheer Segmenten"
"Matched %d Customers of Segment %s","%d Overeenkomende Klanten van het Segment %s"
"Matched Customers (%d)","Overeenkomende Klanten (%d)"
"Name","Naam"
"New Segment","Nieuw Segment"
"Newsletter Subscription","inschrijving op nieuwsbrief"
"Number of Cart Line Items","Hoeveelheid Producten in de Winkelwagen"
"Number of Customers","Aantal Klanten"
"Number of Orders","Aantal Bestellingen"
"Number of Orders %s %s while %s of these Conditions match:","Aantal bestellingen %s %s terwijl %s van deze Voorwaarden overeenkomen:"
"Number of Shopping Cart Line Items %s %s:","Aantal Items in het Winkelwagentje %s %s:"
"Order Address","Bestellingsadres"
"Order Address %s","Bestellingsadres %s"
"Order Address %s a %s Address","Besteladres %s a %s Adres"
"Order Address Attributes","Kenmerken van het Bestellingsadres"
"Order Status","Bestelling Status"
"Order Status %s %s:","Status Bestelling %s %s:"
"Period %s %s Days Up To Date","Periode %s %s Aantal Dagen Tot Aan Datum"
"Please save this information in order to specify the conditions for segmentation","Bewaar deze informatie om de voorwaarden voor segmentatie te kunnen geven"
"Product %s","Product %s"
"Product Attributes","Product Kenmerken"
"Product History","Product Geschiedenis"
"Product List","Product Lijst"
"Products","producten"
"Products Quantity","Producten Aantal"
"Purchased Quantity","Aangeschafte Hoeveelheid"
"Refresh Data","Ververs Gegevens"
"Refresh Segment Data","Verversen Segment Data"
"Registered Customers","Geregistreerde Klanten"
"Reports","Rapporten"
"Sales","Verkoop"
"Sales Amount","Verkocht Bedrag"
"Save and Continue Edit","opslaan en doorgaan met bewerken"
"Segment Customers matching error.","Segment Klanten overeenkomsten fout."
"Segment Information","Segment Informatie"
"Segment Name","Segment Naam"
"Segments","Segmenten"
"Set","Stel (noun) / Bevestigd / Vastgelegd"
"Shipping","Transport"
"Shopping Cart","winkelwagen"
"Shopping Cart %s Amount %s %s:","Winkelwagentje %s Hoeveelheid %s %s:"
"Shopping Cart Products Qty %s %s:","Hoeveelheid Producten in Winkelwagentje %s %s:"
"Shopping Cart Total","Winkelwagen Totaal"
"Specified","Gespecificeerd"
"State/Province","staat/provincie"
"Status","status"
"Store Credit","winkelcrediet"
"Subtotal","subtotaal"
"Tax","Belasting"
"Telephone","telefoon"
"The segment has been deleted.","Dit segment is verwijderd."
"The segment has been saved.","Dit segment is opgeslagen."
"Total","totaal"
"Unable to delete the segment.","Verwijderen segment niet mogelijk"
"Unable to save the segment.","Opslaan segment niet mogelijk."
"Union","Organisatie"
