"ASCII","ASCII"
"Action","Actie"
"Add Scheduled Export","Voeg geplande export toe"
"Add Scheduled Import","Voeg geplande import toe"
"Are you sure you want to delete the selected scheduled imports/exports?","Weet u zeker dat u de geselecteerde geplande invoer/uitvoer wilt verwijderen?"
"Are you sure you want to delete this scheduled export?","Weet u zeker datu de geplande export wilt verwijderen?"
"Are you sure you want to delete this scheduled import?","Weet u zeker dat u de geplande import wilt verwijderen?"
"Binary","Binair"
"Can not change status for all items","Kan status niet wijzigen van alle items"
"Can not delete all items","Kan niet alle items verwijderen"
"Change status","Verander status"
"Clean Now","Maak nu schoon"
"Connecting to server","Verbinding maken met server"
"Continue Processing","Doorgaan met het verwerken"
"Daily","Dagelijks"
"Delete","Verwijderen"
"Description","Beschrijving"
"Directory ""%s"" is not writable.","Directory ""%s"" is niet beschrijfbaar."
"Disabled","Uitgeschakeld"
"Edit","Bewerken"
"Edit Scheduled Export","Wijzig Geplande Export"
"Edit Scheduled Import","Wijzig Geplande Import"
"Enable Scheduled File History Cleaning","Schakel Geplande Bestands Geschiedenis Schoonmaak In"
"Enabled","Aan"
"Entity Attributes","Eenheidattributen"
"Entity Type","Eenheid Type"
"Entity type","Type entiteit"
"Error Email Recipient","Foutmelding Email Ontvanger"
"Error Email Sender","Foutmelding Email Verstuurder"
"Error Email Template","Foutmelding Email Template"
"Export","Export"
"Export Failed","Export Mislukt"
"Export Failed Emails","Export Mislukte Emails"
"Export File Information","Export Bestands Informatie"
"Export Settings","Export Instellingen"
"FTP Host[:Port]","FTP Host[:Port]"
"Failed","Mislukt"
"Failed Email Receiver","Mislukte e-mail ontvanger"
"Failed Email Sender","Mislukt Email afzender"
"Failed Email Template","Mislukt E-mail sjabloon"
"File Directory","Bestands Indexering"
"File Format","Bestandsformaat"
"File History Clean Failed","Bestands Geschiedenis Schoonmaak Mislukt"
"File Mode","Bestandsmodus"
"File Name","Bestandsnaam"
"File has been not created","Bestand is niet gemaakt"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","Voor type ""Local Server"" gebruik relatief pad naar Magento installatie, bijv. var/export, var/import, var/export/some/dir"
"Frequency","Frequentie"
"History files have been deleted","Geschiedenis-bestanden zijn verwijderd"
"Import","Import"
"Import Behavior","Import Gedrag"
"Import Failed","Importeren Mislukt"
"Import Failed Emails","Geschiedenis-bestanden zijn verwijderd"
"Import File Information","Importeer Bestandsgegevens"
"Import Settings","Import Instellingen"
"Invalid cron job task","Ongeldige cron werk taak"
"Invalid scheduled operation","Ongeldige geplande operatie"
"Invalid scheduled operation type","ongeldige geplande bewerkings soort"
"Invalid server communication class ""%s""","Invalid server communication class ""%s"""
"Invalid server comunication class ""%s""","Ongeldige server communicatie klasse ""%s"""
"Invalid server type","ongeldig type server"
"Last Outcome","Laatste Resultaat"
"Last Run Date","Laatste Run Datum"
"Local Server","Lokale Server"
"Monthly","Maandelijks"
"Name","Naam"
"New Scheduled Export","Nieuwe Geplande Export"
"New Scheduled Import","Nieuwe Geplande Import"
"No valid data sent","Geen geldige gegevens verzonden"
"On Error","Bij fout"
"Operation","Operatie"
"Operation finished with fail status","Bediening afgewerkt met mislukt-status"
"Operation has been successfully run","Operatie is succesvol uitgevoerd"
"Passive Mode","Passieve Modus"
"Password","Wachtwoord"
"Pending","In afwachting"
"Reading import file","Het lezen van importbestand"
"Remote FTP","Afgelegen FTP"
"Run","Run"
"Save Files, Days","Bestanden Opslaan, Dagen"
"Save file content","Bestandsgegevens Opslaan"
"Save history file content ""%s""","Sla de geschiedenis bestandsinhoud ""%s"" op"
"Scheduled Import/Export","Geplande Import/Export"
"Scheduled Import/Export File History Cleaning","Geplande Import/Export Bestands Geschiedenis Schoonmaak"
"Scheduled Imports/Exports","Geplande Import/Export"
"Send Failed Email Copy Method","Stuur Mislukte Email Kopieer Methode"
"Send Failed Email Copy To","Stuur Mislukte Email Copy Naar"
"Server Type","Server Type"
"Start Time","Begintijd"
"Status","Status"
"Stop Import","Stop Import"
"Successful","Succesvol"
"The scheduled export has been deleted.","De geplande export is verwijderd."
"The scheduled export has been saved.","De geplande export is opgeslagen."
"The scheduled import has been deleted.","De geplande import is verwijderd."
"The scheduled import has been saved.","De geplande import is opgeslagen."
"Total of %s record(s) have been deleted","Totaal van %s gegeven(s) zijn verwijderd"
"Total of %s record(s) have been updated","Total van %s gegeven(s) zijn bijgewerkt"
"Total size of the file must not exceed %s","Totale grootte van het bestand mag niet meer dan %s zijn"
"Unable to create directory ""%s"".","Kan map ""%s"" niet creëren."
"Unable to delete ""%s"". Directory is not writable.","Kan ""%s"" niet verwijderen. Directory is niet beschrijfbaar."
"Unable to delete history files","Kan de geschiedenis bestanden niet verwijderen"
"Unable to delete scheduled operation","Kan de geplande operatie niet verwijderen"
"Unable to read file source. File name is empty","Kan de bron van het bestand niet lezen. Bestandsnaam is leeg"
"Unable to read import file","Kan importbestand niet lezen"
"Unable to run operation","De bewerking kan niet worden uitgevoerd"
"Unable to save file history file","Kan bestand geschiedenis bestand niet opslaan"
"Unable to save scheduled operation","Kan de geplande bewerking niet opslaan"
"Unable to write file ""%s"" to ""%s"" with ""%s"" driver","Het is niet gelukt om bestand ""%s"" te schrijven naar  ""%s"" met ""%s"" driver"
"Unknown file format","Onbekend bestandsformaat"
"User Name","Gebruikersnaam"
"Weekly","Wekelijks"
