"Action","Actie"
"Change Index Mode","Change Index Modus"
"Description","Beschrijving"
"Enable Scheduled Cleanup","Geplande Opschoning Inschakelen"
"Frequency","Frequentie"
"Index","Index"
"Index Clean Schedule","Geplande Index Opschoning"
"Index Management","Index Management"
"Index Options","Index Opties"
"Index mode","Index modus"
"Mode","Modus"
"Never","Nooit"
"Processing","Verwerken"
"Ready","Gereed"
"Reindex Data","Data herindexeren"
"Reindex Required","Herindexering noodzakelijk"
"Scheduled","Gepland"
"Start Time","Begintijd"
"Status","Status"
"Unable to save the cron expression.","Niet in staat om de cron expressie op te slaan."
"Update Required","Update is Nodig"
"Update on Save","Update bij opslaan."
"Update when scheduled","Updaten wanneer gepland"
"Updated At","Geüpdate op"
