"""Order"" authorizations are not implemented. Please use ""simple"" authorization.","""Order"" machtigingen zijn niet geïmplementeerd. Gebruik ""eenvoudige"" machtiging."
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure Check will be unavailable if CIM enabled.","3D Secure Controle zal niet beschikbaar zijn als CIM is ingeschakeld."
"3D secure authentication passed.","3D secure authentication passed."
"Accepted Currency","Geaccepteerde munteenheid"
"Account holder","Account holder"
"Account number","Account number"
"Austria","Austria"
"Authorization","Autorisatie"
"Authorization transaction is required to void.","Vergunning transactie is nodig om te laten vervallen."
"Authorize Only","Alleen authoriseren"
"Authorize and Capture","Authoriseren en opnemen"
"Bank code","Bank code"
"Braintree","Rondweg"
"Business","Business"
"Continue","Continue"
"Corporate","Corporate"
"Credit Cards","Kredietkaarten"
"Cybersource (SOAP Toolkit)","Cybersource (SOAP Toolkit)"
"DIBS Payment Services","DIBS Betalingsservices"
"Data Transfer Key","Data Transfer Sleutel"
"Debug","Fouten opsporen in programma"
"Direct Sale","Rechtstreekse Verkoop"
"Empty response received from Payment Bridge.","Lege reactie ontvangen van Payment Bridge."
"Enable 3D Secure Card Validation in Admin","Enable 3D Secure Card Validation in Admin"
"Enable 3D Secure Card Validation on Frontend","Enable 3D Secure Card Validation on Frontend"
"Enable CIM","CIM inschakelen"
"Enable Vault","Kluis inschakelen"
"Enabled","Ingeschakeld"
"First Data Global Gateway Web Service API","First Data Globale Gateway Webservice API"
"Gateway Basic URL","Gateway Basis URL"
"Germany","Germany"
"Gives effect only when payment bridge is active.","Geeft alleen effect wanneer de betalings brug actief is."
"IPN postback HTTP error: %s","IPN postback HTTP Fout: %s"
"IPN postback Validation error: %s","IPN postback Validatie Fout: %s"
"IPN verification ""%s"".","IPN verification ""%s""."
"If enabled, the Payone payment method will not be available for placing the orders from the backend.","If enabled, the Payone payment method will not be available for placing the orders from the backend."
"If enabled, the WorldPay payment method will not be available for placing the orders  from the backend.","If enabled, the WorldPay payment method will not be available for placing the orders  from the backend."
"Impossible to issue a refund transaction, because capture transaction does not exist.","Onmogelijk om een restitutie transactie toe te wijzen, omdat ontvangende transactie niet bestaan."
"Magento Unique Identifier","Magento Identificatiemiddel"
"Maximum data transfer key length is 32. Please correct your settings.","Maximale dataoverdracht sleutellengte is 32. Corrigeer uw instellingen alstublieft."
"Merchant Code","Handelaars Code"
"Merchant Key","Handelaars Sleutel"
"Merchant review is required for further processing.","Beoordeling is nodig voor verdere verwerking."
"My Credit Card profiles","Mijn Kredietkaartprofielen"
"My Credit Cards","Mijn Kredietkaarten"
"Netherlands","Netherlands"
"Note: %s","Note: %s"
"Notified customer about invoice #%s.","Notified customer about invoice #%s."
"Ogone Credit Card","Ogone Credit Card"
"Ogone Direct Debit","Ogone Direct Debit"
"Ogone Direct Link","Ogone Directe Link"
"Optional. Used in case of multiple Magento instances use the same Payment Bridge merchant account (Merchant Code).","Optioneel. Gebruikt in het geval als meerdere Magento instanties gebruik maken van dezelfde Payment Bridge zakelijke account (Merchant Code)."
"Order has been canceled.","Order has been canceled."
"Original gateway transaction id: #%s.","Originele poort transactie id: #%s."
"PSi Gate","PSi Poort"
"Pay Now","Betaal Nu"
"Paybox Direct","Paybox Direct"
"Payflow PNREF: #%s.","Payflow PNREF: #%s."
"Payment Action","Betaling"
"Payment Bridge","Betalings Brug"
"Payment Bridge Selected","Betalings Brug Geselecteerd"
"Payment Bridge authentication data is not present","Betalings Brug authenticatie van gegevens is niet aanwezig"
"Payment Method Code is not passed.","Betaalmethode code wordt niet doorgegeven."
"Payment from Applicable Countries","Betaling van Geëigende Landen"
"Payment from Specific Countries","Betaling van Specifieke Landen"
"Payment gateway internal error.","Betaling gateway interne fout"
"Payone Direct Debit","Payone Direct Debit"
"Payone.de","Payone.de"
"Please agree to all the terms and conditions before placing the order.","Ga alstublieft akkoord met alle voorwaarden voor het plaatsen van de bestelling."
"Please do not refresh the page until you complete payment.","Ververs alstublieft niet de pagina totdat de betaling is voltooid."
"Preauthorization","Preauthorization"
"Reload Form","Reload Form"
"Sage Pay Direct","Sage Pay Direct"
"Sale","Verkoop"
"Sort Order","Sorteer Bestelling"
"Test Mode","Test modus"
"This payment method will work only if the Payment Bridge is enabled and configured correctly.","Deze betaalmethode werkt alleen als de Payment Bridge is ingeschakeld en correct is geconfigureerd."
"Title","Titel"
"Unable to cancel order.","Unable to cancel order."
"Unable to communicate with Payment Bridge service.","Niet in staat om te communiceren met Payment Bridge service."
"Use via Payment Bridge","Gebruiken via Payment Bridge"
"Worldpay","Wereldbetaling"
"Wrong Order ID (%s) specified.","Wrong Order ID (%s) specified."
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #1E75B4"" href=""#"" onclick=""parent.reloadIframe(paymentObj.currentMethod); return false;"">here</a> .","Uw betaling is ingediend aan de server. Als u iets wilt veranderen, klik op <a style=""color: #1E75B4"" href=""#""> hier</a>"
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #F15A24"" href=""#"" onclick=""parent.reloadIframe(parent.order.paymentMethod); return false;"">here</a> .","Uw betaling is ingediend aan de server. Als u iets wilt veranderen, klik op <a style=""color: #F15A24"" href=""#"">hier</a>."
"eWAY Direct","eWAY Direct"
