"Active","Actief"
"Add Rule","Regel toevoegen"
"Add to Cart","Voeg toe aan winkelwagen"
"Add to Compare","Toevoegen om te vergelijken"
"Add to Wishlist","Aan wenslijst toevoegen"
"An error occurred while saving Product Rule.","Er heeft zich een fout voorgedaan tijdens het opslaan van de productregel"
"Applies To","geldt voor"
"Apply To","Toepassen op"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribuutcode is ongeldig. Gebruik alleen letter (a-z) of underscore(_) in dit veld, eerste teken moet een letter zijn."
"Based on your selection, you may be interested in the following items:","Gebaseerd op uw keuze, bent u misschien geïnteresseerd in de volgende items:"
"Both Selected and Rule-Based","Geselecteerd en op regels gebaseerd"
"Catalog","Catalogus"
"Check items to add to the cart or","Selecteer items om ze aan het mandje toe te voegen of"
"Close","Sluiten"
"Conditions Combination","Voorwaardencombinatie"
"Constant Value","Constante waarde"
"Cross-sells","Kruis-verkopen"
"Date Expire","Datum Verlopen"
"Date Start","Datum Gestart"
"Do not rotate","Niet draaien"
"Edit Rule '%s'","Bewerk regel '%s'"
"From Date","Startdatum"
"General Rule Information","Algemene regelinformatie"
"ID","identiteit"
"Inactive","Inactief"
"Invalid date.","Ongeldige datum."
"Invalid product list type","Ongeldig type productlijst"
"Invalid rotation mode type","Ongeldige rotatiemodus soort"
"Manage Product Rules","Productregels beheren"
"Matched Product %s","Overeenkomstig product %s"
"Maximum Number of Products in Cross-Sell Product List","Maximaal aantal producten in kruisverkoop productlijst"
"Maximum Number of Products in Related Products List","Maximaal aantal producten in gerelateerde productenlijst"
"Maximum Number of Products in Upsell Product List","Maximaal aantal producten in meer te verkopen producten lijst"
"Maximum number of products that can be matched by this Rule. Capped to 20.","Maximaal aantal producten dat door deze regel gevonden kan worden. Het maximum is 20."
"New Rule","Nieuwe regel"
"Please choose a condition to add...","Kies een toestand om toe te voegen..."
"Please define product data object","Definieer het product data-object"
"Position Behavior","Positie gedrag"
"Price (percentage)","Prijs (percentage)"
"Priority","Prioriteit"
"Product","Product"
"Product Attributes","Product Kenmerken"
"Product Match Conditions (leave blank for matching all products)","Product vergelijkingsvoorwaarden (laat dit veld leeg om alle producten te vinden)"
"Product Price is %s %s%% of Matched Product(s) Price","Product Prijs is %s %s%% van de Prijs van Overeengekomen Product(en)"
"Product Result Conditions (leave blank for matching all products)","Product resultaat voorwaarden (laat dit veld leeg om alle producten te vinden)"
"Product Rule Information","Productregel informatie"
"Product Special","Speciaal product"
"Product list type identifier does not defined","Productlijst type herkenningspunt niet gedefinieerd"
"Products to Display","Producten om weer te geven"
"Products to Match","Overeenkomstige producten"
"Related Products","Gerelateerde producten"
"Result Limit","Grens van het resultaat"
"Rotation Mode for Products in Cross-Sell Product List","Rotationmodus voor Producten in Cross-Sell catalogus"
"Rotation Mode for Products in Related Product List","Rotatiemodus voor Producten in gerelateerde Catalogus"
"Rotation Mode for Products in Upsell Product List","Rotatiemodus voor Producten in Upsell Catalogus"
"Rule Information","Regel Informatie"
"Rule Name","Regel Naam"
"Rule-Based Only","alleen rule gebaseerd"
"Rule-Based Product Relations","rule gebaseerde product relaties"
"Rule-based Positions","rule gebaseerde posities"
"Rule-based Product Relations","Regel-gebaseerde productrelaties"
"Rule-based Settings","rule gebaseerde instellingen"
"Save and Continue Edit","opslaan en doorgaan met bewerken"
"Selected Only","alleen geselecteerd"
"Show Cross-Sell Products","laat tegenovergestelde producten zien"
"Show Related Products","Laat gerelateerde producten zien"
"Show Upsell Products","laat betere/duurdere producten zien"
"Shuffle","Schud"
"Status","status"
"Target Product ","Doel product"
"Target Rules","Target Regels"
"The rule has been deleted.","de rule is gedelete"
"The rule has been saved.","de rule is bewaard"
"This rule no longer exists","deze rule bestaat niet meer"
"To Date","naar datum"
"Unable to find a page to delete","Niet in staat een pagina te vinden om te deleten"
"Undefined Catalog Product List Type","Ongedefinieerd catalogus product type"
"Up-sells","verkoop van duurdere producten"
"Use Config Settings","Gebruik configuratiewaarden"
"Wrong rule specified.","verkeerde rule geespecificeerd"
"You may also be interested in the following product(s)","U bent mogelijk ook geïnteresseerd in het volgende product/de volgende producten"
"equal to","gelijk aan"
"equals or greater than","gelijk aan of groter dan"
"equals or less than","gelijk aan of minder dan"
"less","minder"
"more","meer"
"select all","alles selecteren"
"the Child of the Matched Product Categories","een kind van gelijkwaardige product categoriën"
"the Same as Matched Product Categories","hetzelfde als gelijkwaardige product categoriën"
"unselect all","alles deselecteren"
