"%s x %s","%s x %s"
"Additional Information","Informações Adicionais"
"Availability","Disponibilidade"
"Customize %s","Personalize %s"
"Customize and Add to Cart","Personalize e Adicione ao Carrinho"
"Details","Detalhes"
"Email to a Friend","Enviar por e-mail a um amigo"
"Go back to product detail","Voltar para os detalhes do produto"
"In stock","Em estoque"
"Out of stock","Fora de estoque"
"Quick Overview","Panorama Rápido"
"SKU#%s","SKU#%s"
"Summary","Sumário"
"This product is also part of bundle(s)","Esse produto também faz parte do(s) pacote(s)"
"Your Customization","Sua Personalização"
