"%s Item(s)","%s Item(s)"
"* Required Fields","* Campos obrigatórios"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar para Comparar"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Additional Information","Informações Adicionais"
"Alert Urls","Urls de Alerta"
"An error occured while reindexing the products.","An error occured while reindexing the products."
"Bottom Block Options Wrapper","Envoltório de Opções do Bloco de Fundo"
"Cache refresh needed. (NOTE: A dot ""."" before suffix is added automatically)","Atualização de cache necessária. (OBS.: um ponto ""."" antes do sufixo é adicionado automaticamente)"
"Catalog Category (Anchor)","Categoria de Catálogo (Âncora)"
"Catalog Category (Non-Anchor)","Categoria de Catálogo (Não-Âncora)"
"Catalog Category/Product Index","Índice de Categoria/Produto do Catálogo"
"Catalog Product Compare List","Produto de Catálogo: Comparar Lista"
"Catalog Product Email to a Friend","Produto de Catálogo: Mandar E-Mail para Amigo"
"Catalog Product Image Gallery Popup","Produto de Catálogo: Pop-up da Galeria de Imagens"
"Catalog Product View (Any)","Visualizar Produto de Catálogo (Qualquer Um)"
"Catalog Seo Sitemap (Category List)","Sitemap Otimizado para Catálogo (Lista de Categorias)"
"Catalog Seo Sitemap (Category Tree)","Sitemap Otimizado para Catálogo (Árvore de Categorias)"
"Catalog Seo Sitemap (Common)","Sitemap Otimizado para Catálogo (Comum)"
"Catalog Seo Sitemap (Product List)","Sitemap Otimizado para Catálogo (Lista de Produtos)"
"Catalog product price","Preço de produto do catálogo"
"Category","Categoria"
"Category Flat Data","Dados da Categoria Base"
"Category Flat Index","Índice Simples de Categoria"
"Category URL Rewrite","Reescrita de URL de Categoria"
"Category URL Rewrites","Reescritas de URL de Categoria"
"Category URL Suffix","Sufixo URL de Categoria"
"Check items to add to the cart or","Verificar itens a ser adicionados ao carrinho ou"
"Clear All","Limpar Todos"
"Click on image to zoom","Clique na imagem para ampliar"
"Close Window","Fechar Janela"
"Compare Products","Comparar Produtos"
"Create Custom Redirect for old URL","Criar Redirecionamento Personalizado para URL antigo"
"Details","Detalhes"
"Double click on above image to view full picture","Dê um duplo clique na imagem acima para ver imagem completa"
"Email to a Friend","Enviar por e-mail a um amigo"
"ID","Identidade"
"In stock","Em estoque"
"Index categories URL rewrites","Indexar reescritas de URL de categorias"
"Index product prices","Preços de produtos de índice"
"Index products URL rewrites","Indexar reescritas de URL de produtos"
"Indexed category/products association","Associação de categoria/produtos indexados"
"Info Column Options Wrapper","Envoltório das Opções da Coluna de Informações"
"Invalid attribute %s","Atributo %s inválido"
"Items %s-%s of %s","Itens %s-%s de %s"
"Learn More","Saiba Mais"
"More Views","Mais Visualizações"
"Name","Nome"
"New Products","Novos Produtos"
"Out of stock","Fora de estoque"
"Please wait...","Por favor aguarde..."
"Price and Stock Index","Preço e Índice de Estoque"
"Print This Page","Imprimir Esta Página"
"Product","Produto"
"Product Flat Data","Dados Base de Produto"
"Product Flat Index","Índice Simples do Produto"
"Product Tags List","Lista de Etiquetas do Produto"
"Product URL Rewrite","Reescrita de URL do Produto"
"Product URL Rewrites","Reescritas de URL do Produto"
"Product URL Suffix","Sufixo da URL de Produto"
"Product View Extra Hint","Visualização de Produto: Pista Adicional"
"Quick Overview","Panorama Rápido"
"Related Products","Produtos Relacionados"
"Remove Product","Remover Produto"
"Reorganize EAV category structure to flat structure","Reorganizar estrutura de categorias EAV como estrutura simplificada"
"Reorganize EAV product structure to flat structure","Reorganizar estrutura EAV de produto como estrutura simplificada"
"SKU","Unidade de Manutenção de Estoque"
"SKU# %s","Nº de SKU %s"
"Select Category","Selecionar categoria"
"Set Ascending Direction","Ajustar Direção como Crescente"
"Set Descending Direction","Ajustar Direção como Decrescente"
"Shop By","Comprar Por"
"Shopping Options","Opções de Compra"
"Show","Mostrar"
"Skip Category Selection","Skip Category Selection"
"Skip choosing category","Ignorar escolha de categoria"
"Sort By","Classificar Por"
"Status","Status"
"Subscribe to RSS Feed","Subscrever RSS Feed"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","O módulo de Catálogo Simples tem um limite de %2\$d atributos filtráveis ​​e/ou classificáveis. Atualmente existem %1\$d deles. Por favor reduza o número de atributos filtráveis​​/classificáveis​​ a fim de usar este módulo"
"There are no products matching the selection.","Não há produtos que correspondam à seleção."
"URL Redirect","Redirecionamento de URL"
"Unsupported product type ""%s"".","Não há suporte para tipo de produto ""%s""."
"View as","Ver como"
"You may also be interested in the following product(s)","Você também pode se interessar no(s) seguinte(s) produto(s)"
"Zoom In","Aumentar"
"Zoom Out","Diminuir o Zoom"
"per page","por página"
"select all","marcar todos"
"unselect all","desmarcar todos"
