"Additional Info","Informação Adicional"
"Advanced Search","Pesquisa Avançada"
"Advanced Search Form","Formulário de Pesquisa Avançada"
"Advanced Search Result","Resultado de Pesquisa Avançada"
"Catalog Advanced Search","Pesquisa Avançada do Catálogo"
"Catalog Search Index","Índice de Pesquisa do Catálogo"
"Enter search keyword","Digite a palavra-chave de busca"
"Go","Ir"
"Popular Search Terms","Termos populares de pesquisa"
"Quick Search Form","Formulário de pesquisa rápida"
"Search","Pesquisa"
"Search Settings","Opções de pesquisa"
"Search results for '%s'","Pesquisar resultados para ""%s"""
"Search site:","Pesquisar no site:"
"Subscribe to Feed","Endossar Feed"
"Your search returns no results.","Sua busca não retornou resultados."
