"%s product requires your attention.","Produto %s requer a sua atenção."
"%s product was added to your shopping cart.","Produto %s foi adicionado ao seu carrinho de compras."
"%s products require your attention.","Produtos %s requerem a sua atenção."
"%s products were added to your shopping cart.","Produtos %s foram adicionados ao seu carrinho de compras"
"%s was added to your shopping cart.","%s foi adicionado ao seu carrinho de compras."
"* Required Fields","* Campos obrigatórios"
"<span id=""sku-attention-num"">%s</span> product(s) require attention","<span id=""sku-attention-num"">%s</span> produtos requerem atenção"
"Access denied.","Acesso negado."
"Action","Ação"
"Add New Address","Adicionar Novo Endereço"
"Add Products","Adicionar produtos"
"Add Products By SKU","Adicione Produtos Por SKU"
"Add Products to Order","Adicione Produtos ao Pedido"
"Add Row","Adicionar Linha"
"Add Selected Product(s) to Shopping Cart","Adicionar produto(s) selecionado(s) ao carrinho de compras"
"Add To Cart","Adicione ao Carrinho"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar para Comparar"
"Add to Order","Adicione ao Pedido"
"Add to Order by SKU","Adicione ao Pedido by SKU"
"Add to Shopping Cart","Adicione ao Carrinho de Compras"
"Add to Shopping Cart by SKU","Adicione ao Carrinho de Compras por SKU"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Additional Product Info","Informação Adicional do Produto"
"Address","Endereço"
"Address %s of %s","Endereço %s de %s"
"Allowed file type: csv.<br/>File must contain two columns, with ""sku"" and ""qty"" in the header row.","Permitido tipo de arquivo: csv.<br/>Arquivo deve conter duas colunas, com ""sku"" e ""qtd"" no título da  linha."
"Already registered?","Já está registado?"
"An error has occurred. See error log for details.","Ocorreu um erro. Para maiores detalhes veja o relatório de erros."
"Apply","Solicitar"
"Apply Coupon","Aplicar Cupom"
"Apply Coupon Code","Solicitar código do cupom"
"Are you sure you want to delete all items from shopping cart?","Você tem certeza que quer excluir todos os itens do carrinho de compras?"
"Are you sure you would like to remove this item from the shopping cart?","Tem certeza de que deseja remover este item do carrinho de compras?"
"Availability: Out of stock.","Disponibilidade: Esgotado"
"Back","Voltar"
"Back to Billing Information","Voltar para Informações de Faturamento"
"Back to Select Addresses","Voltar para Selecionar Endereços"
"Back to Shipping Information","Voltar para Informações de Envio/Frete"
"Back to Shopping Cart","Voltar para Carrinho de Compras"
"Based on your selection, you may be interested in the following items:","Com base em sua seleção, você pode se interessar pelos seguintes itens:"
"Billing Address","Endereço de faturamento"
"Billing Information","Dados de Faturamento"
"Cancel","Cancelar"
"Cancel Coupon","Cancelar Cupom"
"Cannot add product","Produto não pode ser adicionado"
"Cannot configure product","Não é possível configurar o produto"
"Card Verification Number Visual Reference","Referência Visual de Número de Verificação do Cartão"
"Cart Subtotal:","Subtotal do Carrinho:"
"Change","Mudar"
"Change Billing Address","Alterar o endereço de faturamento"
"Checkout","Encerrar Compra"
"Checkout as Guest","Checkout como Visitante"
"Checkout as a Guest","Checkout como um Visitante"
"Checkout as a Guest or Register","Checkout como um Visitante ou se Registe"
"Choose some products to add to shopping cart.","Escolher alguns produtos para adicionar ao carrinho de compras."
"City","Cidade"
"Clear Shopping Cart","Limpar Carrinho de Compras"
"Close","Fechar"
"Company","Companhia"
"Configure","Configurar"
"Configure Cart Item","Configurar Item de Carrinho"
"Confirm Password","Confirmar a senha"
"Continue","Continue"
"Continue Shopping","Continuar Comprando"
"Continue to Billing Information","Continuar para Dados de Faturamento"
"Continue to Review Your Order","Continuar para Rever Seu Pedido"
"Continue to Shipping Information","Continuar para Informações de Envio/Frete"
"Country","País"
"Coupon code ""%s"" is not valid","O código do cupom ""%s"" não é válido"
"Customer Groups","Grupos do cliente"
"Customer not found","Cliente não encontrado"
"Customers","Clientes"
"Default Billing","Faturamento-Padrão"
"Default Shipping","Frete-Padrão"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Define se um link para a página Minha Conta &gt; Solicitar por SKU será exibido no widget"
"Disabled products cannot be added.","Produtos desativados não podem ser adicionados."
"Discount","Desconto"
"Discount Codes","Códigos de Desconto"
"Display a Link to Loading a Spreadsheet","Exibir um Link para Carregar uma Planilha"
"Easy access to your order history and status","Fácil acesso ao seu histórico de pedidos e estado"
"Edit","Editar"
"Edit Address","Editar endereço"
"Edit Items","Editar Itens"
"Edit item","Editar Item"
"Email Address","Endereço de e-mail"
"Empty Shopping Cart Content Before","Esvaziar Conteúdo do Carrinho de Compras Antes de"
"Enable Order by SKU on My Account in Frontend","Permitir Pedido por SKU na Minha Conta em Frontend"
"Enter a New Address","Informar Endereço Novo"
"Enter your coupon code if you have one.","Informe seu código de cupom, caso o tenha."
"Enter your destination to get a shipping estimate.","Informe seu destino, para cálculo estimado do frete."
"Estimate Shipping and Tax","Cálculo Estimado de Frete e Imposto"
"Excl. Tax","Excluir taxas"
"Failed to add a product of order item","Falha ao adicionar o produto do item solicitado"
"Failed to reorder item","Falha ao solicitar novamente o item"
"Fast and easy check out","Checkout rápido e fácil"
"Fax","Fax"
"File","Arquivo"
"File cannot be uploaded.","Arquivo não pode ser carregado."
"File extensions allowed: .csv","Extensões de arquivo permitidas: .csv"
"File is corrupt.","Arquivo está corrompido"
"File is empty.","Arquivo está vazio."
"File must contain two columns, with ""sku"" and ""qty"" in the header row.","O arquivo deve conter duas colunas, com ""sku"" e ""qtd"" na linha de cabeçalho."
"Forgot your password?","Esqueceu sua senha?"
"Get a Quote","Receber Orçamento"
"Get notified when back in stock","Seja notificado quando o produto estiver novamente em estoque"
"Go to Shopping Cart","Ir para Carrinho de Compras"
"Grand Total:","Total geral:"
"ID","Identidade"
"Incl. Tax","Incluir taxas"
"Invalid block: %s.","Bloqueio inválido: %s."
"Item was successfully removed.","Item foi removido com sucesso."
"Items","Itens"
"Items After","Itens Após"
"Items Before","Itens Antes"
"Items were successfully removed.","Itens foram removidos com sucesso."
"Last ordered items (%s)","Últimos itens solicitados (%s)"
"Link Text","Link Texto"
"Load a list of SKUs","Carregue uma lista de SKUs"
"Loading next step...","Carregando próximo passo..."
"Login","Conectar-se"
"Login/Registration Before","Login/Registro Antes"
"Manage Customers","Gerenciar clientes"
"Manage Shopping Cart","Gerenciar carrinho de compras"
"Move to Wishlist","Ir para lista de presentes"
"Multishipping Checkout","Encerramento de Compra com Várias Entregas"
"Multishipping Checkout Address (Any) Form","Encerrar Compra c/ Várias Entregas: Endereço (Qualquer um)"
"Multishipping Checkout Billing Address Creation","Encerrar Compra c/ Várias Entregas: Endereço de Faturamento"
"Multishipping Checkout Billing Address Edit Form","Encerrar Compra c/ Várias Entregas: Editar Endereço de Faturamento"
"Multishipping Checkout Billing Address Selection","Seleção de Endereço Multienvio de Faturamento de Saída"
"Multishipping Checkout Billing Information Step","Passo de Informação de Faturamento de Multienvio de Saída"
"Multishipping Checkout Customer Address Edit Form","Formulário de Edição do Endereço do Cliente de Multienvio de Saída"
"Multishipping Checkout Overview","Resumo de Caixa de Multienvio"
"Multishipping Checkout Shipping Address Creation","Criação do Endereço de Envio de Multienvio de Saída"
"Multishipping Checkout Shipping Address Edit Form","Formulário de Edição do Endereço de Envio de Multienvio de Saída"
"Multishipping Checkout Shipping Address Selection","Seleção do Endereço de Envio de Multienvio de Saída"
"Multishipping Checkout Shipping Information Step","Passo de Informação de Envio de Multienvio de Saída"
"Multishipping Checkout Success","Sucesso na Multisaída de Saída"
"My Cart (%s)","Meu Carrinho (%s)"
"No","Não"
"No ordered items","Nenhum item solicitado"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","O TOTAL DO PEDIDO SERÁ EXIBIDO ANTES DE VOCÊ ENVIAR O PEDIDO"
"One Page Checkout","Saída de Uma Página"
"One Page Checkout Failure","Falha na Saída de Uma Página"
"One Page Checkout Overview","Resumo da Saída de Uma Página"
"One Page Checkout Success","Sucesso na Saída de Uma Página"
"Only %s%g%s left in stock","Resta somente %s%g%s no estoque"
"Only .csv file format is supported.","Somente formato arquivo .csv é suportado."
"Only <span id=""%s_max_allowed"">%s</span> in stock","Somente <span id=""%s_max_allowed"">%s</span> em estoque"
"Options Details","Detalhes de opções"
"Order by SKU","Pedido por SKU"
"Order by SKU Description","Pedido por Descrição SKU"
"Order by SKU Settings","Pedido por Configurações SKU"
"Order by SKU Template","Pedido por Modelo SKU"
"Ordered item id is not received.","A identidade do item solicitado não foi recebida."
"Ordered item is not loaded.","O item solicitado não está carregado."
"Other items in your order","Outros itens em seu pedido"
"Overview Items After","Resumo Geral de Itens Depois"
"Password","Senha"
"Payment Method","Método de Pagamento"
"Payment Methods After","Métodos de Pagamento Após"
"Payment Methods After Checkout Button","Método de Pagamento Após Botão de Checkout"
"Payment Methods Before","Métodos de Pagamentos Anteriormente"
"Payment Methods Before Checkout Button","Método de Pagamento Antes de Botão de Checkout"
"Place Order","Colocar Ordem"
"Please agree to all Terms and Conditions before placing the orders.","Por favor concorde com todos os Termos e Condições antes de colocar as ordens."
"Please enter a valid number in the ""Qty"" field.","Por favor insira um número válido no campo ""Quant""."
"Please log in below:","Por favor, faça o login abaixo:"
"Please select region, state or province","Selecione a região, estado ou província"
"Please select shipping address for applicable items","Por favor selecione endereço de entrega para os itens aplicáveis"
"Please specify the product\'s options.","Por favor especifique as opções de produto"
"Price","Preço"
"Product","Produto"
"Product Name","Nome do produto"
"Product name","Nome do produto"
"Products","Produtos"
"Products Requiring Attention","Produtos que Exigem Atenção"
"Products in the Comparison List (%s)","Produtos na Lista de comparação (%s)"
"Qty","Quant."
"Qty To Add","Quant. a adicionar"
"Quote item id is not received.","A identidade do item cotado não foi recebida."
"Quote item is not loaded.","O item cotado não foi carregado."
"Recently Compared Products (%s)","Produtos comparados recentemente (%s)"
"Recently Viewed Products (%s)","Produtos visualizados recentemente (%s)"
"Recently added item(s)","Item(ns) adicionado(s) recentemente"
"Register","Registrar"
"Register and save time!","Cadastre-se e poupe tempo!"
"Register to Create an Account","Cadastre-se para Criar uma Conta"
"Register with us for future convenience:","Faça um cadastro conosco para ter comodidade no futuro:"
"Remove","Remover"
"Remove All","Remova Todos"
"Remove Coupon Code","Remover código do cupom"
"Remove Item","Remover Item"
"Remove Row","Remover Linha"
"Remove item","Remover item"
"Requested quantity is not available.","A quantidade solicitada não está disponível."
"Reset","Redefinir"
"Review Order","Analisar o pedido"
"Row Subtotal","Coluna de subtotal"
"SKU","Unidade de Manutenção de Estoque"
"SKU not found in catalog.","SKU não encontrado no catálogo."
"SKU: ","SKU:"
"Save in address book","Salvar no catálogo de endereços"
"See price before order confirmation.","Ver preço antes de confirmar pedido."
"Select Address","Selecionar Endereço"
"Select Shipping Method","Selecionar Tipo de Frete"
"Select State/Province...","Selecione Estado/Província..."
"Select a billing address from your address book or enter a new address.","Selecione um endereço de cobrança de seu catálogo de endereços ou insira um novo endereço"
"Select a shipping address from your address book or enter a new address.","Selecione um endereço para envio do seu livro de endereços ou insira um novo endereço."
"Send To","Enviar Para"
"Ship to Multiple Addresses","Entregar em Vários Endereços"
"Ship to different address","Enviar para endereço diferente"
"Ship to this address","Enviar para este endereço"
"Shipping Information","Dados de Frete"
"Shipping Method","Tipo de Frete"
"Shipping To","Enviar Para"
"Shipping selection is not applicable","A seleção de remessa não se aplica"
"Shopping Cart","Carrinho de compras"
"Shopping Cart Items","Itens do carrinho de compras"
"Shopping Cart Items After","Itens do Carrinho de Compras Após"
"Shopping Cart Items Before","Itens do Carrinho de Compras Antes de"
"Shopping Cart Management","Gerenciamento do carrinho de compras"
"Shopping Cart for %s in %s","Carrinho de compras para %s em %s"
"Shopping cart management disabled for this customer.","O gerenciamento do carrinho de compras não está ativado para este cliente."
"Sorry, no quotes are available for this order at this time.","Desculpe, não há citações disponíveis neste momento para esta ordem."
"Specify the product\'s options","Especifique as opções do produto"
"State/Province","Estado/Província"
"Store not found.","Loja não encontrada."
"Street Address","Endereço da Rua"
"Street Address %s","Endereço da Rua %s"
"Submitting order information...","Enviando informações da ordem..."
"Subtotal","Subtotal"
"Subtotal:","Subtotal:"
"Telephone","Telefone"
"The product cannot be added to cart in requested quantity.","O Produto não pode ser adicionado ao carrinho na quantidade solicitada."
"The product cannot be added to cart.","O produto não pode ser adicionado ao carrinho."
"The product is assigned to another website.","O produto está atribuído a outro site."
"The text of the link to the My Account &gt; Order by SKU page","O texto do link para a página Minha Conta &gt; Solicitar por SKU"
"Total","Total"
"Total %d product(s)","Total %d produto(s)"
"Total incl. tax","Total incluindo taxas"
"Unit Price","Preço Unitário"
