"ASCII","ASCII"
"Action","Ação"
"Add Scheduled Export","Adicionar exportação agendada"
"Add Scheduled Import","Adicionar importação agendada"
"Are you sure you want to delete the selected scheduled imports/exports?","Tem certeza que deseja excluir as importações/exportações agendadas selecionadas?"
"Are you sure you want to delete this scheduled export?","Tem certeza que deseja excluir essa exportação agendada?"
"Are you sure you want to delete this scheduled import?","Tem certeza que deseja excluir essa importação agendada?"
"Binary","Binário"
"Can not change status for all items","Não é possível alterar o status de todos os itens"
"Can not delete all items","Não é possível excluir todos os itens"
"Change status","Alterar status"
"Clean Now","Limpar agora"
"Connecting to server","Conectando ao servidor"
"Continue Processing","Continuar processando"
"Daily","Diário"
"Delete","Excluir"
"Description","Descrição"
"Directory ""%s"" is not writable.","O diretório ""%s"" não é gravável."
"Disabled","Desativado"
"Edit","Editar"
"Edit Scheduled Export","Editar exportação agendada"
"Edit Scheduled Import","Editar importação agendada"
"Enable Scheduled File History Cleaning","Ativar limpeza agendada do histórico de arquivos"
"Enabled","Ativado"
"Entity Attributes","Atributos da entidade"
"Entity Type","Tipo de entidade"
"Entity type","Tipo de entidade"
"Error Email Recipient","Erro de Destinatário de Email"
"Error Email Sender","Erro de Remetente de Email"
"Error Email Template","Erro de Template de Email"
"Export","Exportar"
"Export Failed","Falha na exportação"
"Export Failed Emails","Exportar e-mails com falha"
"Export File Information","Exportar informações do arquivo"
"Export Settings","Exportar configurações"
"FTP Host[:Port]","FTP Anfitrião[:Porta] (FTP Host[:Port])"
"Failed","Falha"
"Failed Email Receiver","Destinatário do e-mail com falha"
"Failed Email Sender","Remetente do e-mail com falha"
"Failed Email Template","Modelo de e-mail com falha"
"File Directory","Diretório de arquivos"
"File Format","Formato do arquivo"
"File History Clean Failed","Falha na limpeza do histórico de arquivos"
"File Mode","Modo de arquivo"
"File Name","Nome do arquivo"
"File has been not created","O arquivo não foi criado"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","Para o tipo ""Servidor local"", use o caminho relativo para a instalação do Magent, por exemplo, var/export, var/import, var/export/some/dir"
"Frequency","Freqüência"
"History files have been deleted","Os arquivos do histórico foram excluídos"
"Import","Importar"
"Import Behavior","Comportamento da importação"
"Import Failed","Falha na importação"
"Import Failed Emails","Importar e-mails com falha"
"Import File Information","Importar informações do arquivo"
"Import Settings","Importar configurações"
"Invalid cron job task","Tarefa cronológica inválida"
"Invalid scheduled operation","Operação agendada inválida"
"Invalid scheduled operation type","Tipo de operação agendada inválida"
"Invalid server communication class ""%s""","Invalid server communication class ""%s"""
"Invalid server comunication class ""%s""","Classe ""%s"" de comunicação com o servidor inválida"
"Invalid server type","Tipo de servidor inválido"
"Last Outcome","Último resultado"
"Last Run Date","Última data de execução"
"Local Server","Servidor Local"
"Monthly","Mensal"
"Name","Nome"
"New Scheduled Export","Nova exportação agendada"
"New Scheduled Import","Nova importação agendada"
"No valid data sent","Não há dados válidos de envio"
"On Error","Em erro"
"Operation","Operação"
"Operation finished with fail status","Operação concluída com status de falha"
"Operation has been successfully run","Operação com execução bem-sucedida"
"Passive Mode","Modo passivo"
"Password","Senha"
"Pending","Pendente"
"Reading import file","Lendo arquivo de importação"
"Remote FTP","FTP Remoto"
"Run","Executar"
"Save Files, Days","Salvar arquivos, dias"
"Save file content","Salvar conteúdo do arquivo"
"Save history file content ""%s""","Salvar conteúdo ""%s"" do arquivo de histórico"
"Scheduled Import/Export","Importação/exportação agendada"
"Scheduled Import/Export File History Cleaning","Limpeza do histórico de arquivos de importação/exportação agendada"
"Scheduled Imports/Exports","Importações/exportações agendadas"
"Send Failed Email Copy Method","Enviar método de cópia de e-mail com falha"
"Send Failed Email Copy To","Enviar cópia de e-mail com falha para"
"Server Type","Tipo de servidor"
"Start Time","Tempo de Início"
"Status","Status"
"Stop Import","Parar importação"
"Successful","Bem sucedido"
"The scheduled export has been deleted.","A exportação agendada foi excluída."
"The scheduled export has been saved.","A exportação agendada foi salva."
"The scheduled import has been deleted.","A importação agendada foi excluída."
"The scheduled import has been saved.","A importação agendada foi salva."
"Total of %s record(s) have been deleted","Total de %s registro(s) excluído(s)"
"Total of %s record(s) have been updated","Total de %s registro(s) atualizado(s)"
"Total size of the file must not exceed %s","O tamanho total do arquivo não deve exceder %s"
"Unable to create directory ""%s"".","Não foi possível criar o diretório ""%s""."
"Unable to delete ""%s"". Directory is not writable.","Não foi possível excluir ""%s"". O diretório não é gravável."
"Unable to delete history files","Não foi possível excluir os arquivos de histórico"
"Unable to delete scheduled operation","Não foi possível excluir a operação agendada"
"Unable to read file source. File name is empty","Não foi possível ler a fonte do arquivo. O nome do arquivo está vazio."
"Unable to read import file","Não foi possível ler o arquivo de importação"
"Unable to run operation","Não foi possível executar a operação"
"Unable to save file history file","Não foi possível salvar o arquivo de histórico"
"Unable to save scheduled operation","Não foi possível salvar a operação agendada"
"Unable to write file ""%s"" to ""%s"" with ""%s"" driver","Não foi possível gravar o arquivo ""%s"" em ""%s"" com o driver ""%s"""
"Unknown file format","Formato de arquivo desconhecido"
"User Name","Nome do Usuário"
"Weekly","Semanalmente"
