"""Order"" authorizations are not implemented. Please use ""simple"" authorization.","As autorizações de ""Pedido"" não estão implementadas. Use a autorização ""simples""."
"3D Secure Card Validation","Validação de Cartão 3D Secure"
"3D Secure Check will be unavailable if CIM enabled.","A Verificação Segura 3D não estará disponível se o CIM estiver habilitado."
"3D secure authentication passed.","3D secure authentication passed."
"Accepted Currency","Moeda Aceita"
"Account holder","Account holder"
"Account number","Account number"
"Austria","Austria"
"Authorization","Autorização"
"Authorization transaction is required to void.","Autorização da transação é necessária para anular."
"Authorize Only","Somente Autorizar"
"Authorize and Capture","Autorizar e Controlar"
"Bank code","Bank code"
"Braintree","Braintree"
"Business","Business"
"Continue","Continue"
"Corporate","Corporate"
"Credit Cards","Cartões de Crédito"
"Cybersource (SOAP Toolkit)","Cybersource (kit de ferramentas SOAP)"
"DIBS Payment Services","Serviços de Pagamento DIBS"
"Data Transfer Key","Chave de Transferência de Dados"
"Debug","Debug"
"Direct Sale","Venda Direta"
"Empty response received from Payment Bridge.","Resposta vazia recebida de Payment Bridge"
"Enable 3D Secure Card Validation in Admin","Enable 3D Secure Card Validation in Admin"
"Enable 3D Secure Card Validation on Frontend","Enable 3D Secure Card Validation on Frontend"
"Enable CIM","Habilitar CIM"
"Enable Vault","Habilitar Cofre"
"Enabled","Ativado"
"First Data Global Gateway Web Service API","API de Serviço da Web do First Data Global Gateway"
"Gateway Basic URL","URL de Porta de Entrada Básica"
"Germany","Germany"
"Gives effect only when payment bridge is active.","Dá efeito somente quando a ponte de pagamento está ativa."
"IPN postback HTTP error: %s","Erro IPN HTTP de postagem: %s"
"IPN postback Validation error: %s","Erro IPN de Validação de postagem: %s"
"IPN verification ""%s"".","IPN verification ""%s""."
"If enabled, the Payone payment method will not be available for placing the orders from the backend.","If enabled, the Payone payment method will not be available for placing the orders from the backend."
"If enabled, the WorldPay payment method will not be available for placing the orders  from the backend.","If enabled, the WorldPay payment method will not be available for placing the orders  from the backend."
"Impossible to issue a refund transaction, because capture transaction does not exist.","Impossível emitir uma operação de reembolso, porque a transação de captura não existe."
"Magento Unique Identifier","Identificador Exclusivo Magento"
"Maximum data transfer key length is 32. Please correct your settings.","Máximo comprimento da chave de transferência de dados é 32. Por favor Corrija suas configurações."
"Merchant Code","Código do Comerciante"
"Merchant Key","Chave do Comerciante"
"Merchant review is required for further processing.","A revisão do negociante é necessária para seguir com o processamento."
"My Credit Card profiles","Meus perfis de Cartão de Crédito"
"My Credit Cards","Meus Cartões de Crédito"
"Netherlands","Netherlands"
"Note: %s","Note: %s"
"Notified customer about invoice #%s.","Notified customer about invoice #%s."
"Ogone Credit Card","Ogone Credit Card"
"Ogone Direct Debit","Ogone Direct Debit"
"Ogone Direct Link","Libk direto Ogone"
"Optional. Used in case of multiple Magento instances use the same Payment Bridge merchant account (Merchant Code).","Opcional. Usado em caso de várias instâncias da Magento utilizarem a mesma conta de comerciante (Código de Comerciante) do Payment Bridge."
"Order has been canceled.","Order has been canceled."
"Original gateway transaction id: #%s.","Identidade da transação da entrada original: #%s."
"PSi Gate","PSi Gate"
"Pay Now","Pagar Agora"
"Paybox Direct","Direto Paybox"
"Payflow PNREF: #%s.","Playfow PNREF: #%s."
"Payment Action","Ação de Pagamento"
"Payment Bridge","Ponte de Pagamento"
"Payment Bridge Selected","Ponte de Pagamento Selecionada"
"Payment Bridge authentication data is not present","Dados de autenticação de Ponte de Pagamento não estão presentes"
"Payment Method Code is not passed.","Código de Método de Pagamento não transmitido."
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento de Países Específicos"
"Payment gateway internal error.","Erro interno de entrada de pagamento."
"Payone Direct Debit","Payone Direct Debit"
"Payone.de","Payone.de"
"Please agree to all the terms and conditions before placing the order.","Por favor concorde com todos os Termos e Condições antes de colocar a ordem."
"Please do not refresh the page until you complete payment.","Por favor não atualize a página até concluir o pagamento."
"Preauthorization","Preauthorization"
"Reload Form","Reload Form"
"Sage Pay Direct","Sage Pay Direct"
"Sale","Venda"
"Sort Order","Classificar pedido"
"Test Mode","Modo de Teste"
"This payment method will work only if the Payment Bridge is enabled and configured correctly.","Esse método de pagamento funcionará somente se o Payment Bridge estiver habilitado e configurado corretamente."
"Title","Título"
"Unable to cancel order.","Unable to cancel order."
"Unable to communicate with Payment Bridge service.","Incapaz de se comunicar com o serviço de Ponte de Pagamento."
"Use via Payment Bridge","Use via Ponte de Pagamento"
"Worldpay","Worldpay"
"Wrong Order ID (%s) specified.","Wrong Order ID (%s) specified."
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #1E75B4"" href=""#"" onclick=""parent.reloadIframe(paymentObj.currentMethod); return false;"">here</a> .","A informação do seu pagamento foi submetida ao servidor. Se precisar fazer alterações, por favor clique <a style=""color: #1E75B4"" href=""#"" onclick=""parent.reloadIframe(paymentObj.currentMethod); return false;"">aqui</a> ."
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #F15A24"" href=""#"" onclick=""parent.reloadIframe(parent.order.paymentMethod); return false;"">here</a> .","A informação do seu pagamento foi submetida ao servidor. Se precisar fazer alterações, por favor clique <a style=""color: #F15A24"" href=""#"" onclick=""parent.reloadIframe(parent.order.paymentMethod); return false;"">aqui</a> ."
"eWAY Direct","eWAY Direct"
