"-- Not Selected --","-- Não selecionado --"
"<b>Important</b>: If this shopping cart price rule has been used in an automated email reminder rule it will be automatically unassigned after shopping cart price rule is saved.","<b>Importante</b>: Se essa regra de preço de carrinho de compras foi usada em uma regra de lembrete de e-mail automático, ela será automaticamente desativada depois que a regra de preço de carrinho de compras for salva."
"Active","Ativo"
"Add New Rule","Adicionar nova regra"
"Are you sure you want to match this rule now?","Tem certeza que deseja"
"Assigned to Website","Designado ao site"
"Automated Email Marketing Reminder Rules","Regras de lembrete automático de e-mail de marketing"
"Automated Email Reminder Rules","Regras de lembrete de e-mail automático"
"Cart Line Items","Lista de itens carrinho de compras"
"Conditions","Condições"
"Coupon","Cupom"
"Coupon Code","Código do cupom"
"Coupon Usage Limit","Limite de utilização do cupom"
"Coupon Usage per Customer","Utilização do cupom por cliente"
"Coupons can be auto-generated by reminder promotion rules.","Os cupons podem ser gerados automaticamente pelas regras de lembrete de promoção."
"Date Expire","Vencimento"
"Date Start","Data Inicial"
"Default Titles and Description","Títulos e descrição padrão"
"Description","Descrição"
"Edit Rule","Editar regra"
"Edit Rule '%s'","Editar regra ""s%"""
"Email","E-mail"
"Email Reminder Rule","Regra de lembrete de e-mail"
"Email Send Failure Threshold","Entrada de erro de envio de e-mail"
"Email Templates","Modelos de e-mail"
"Emails Failed","Erros de e-mail"
"Emails Sent","Emails Enviados"
"Emails and Labels","Emails e Etiquetas"
"Emails will be sent only for specified store views. Email store view matches the store view customer was registered on.","Emails serão enviados somente para vistas de loja especificadas. Email de vista de loja corresponde à vista de loja do cliente em que foi registrado."
"Empty value disables this limitation. If not limited, the reminder emails may stuck sending over and over.","Valor vazio desativa esta limitação. Se não limitado, os emails lembrete podem ficar presos enviando mais e mais."
"Enable Reminder Emails","Ativar Emails Lembrete"
"Failed to delete reminder rule.","Falha ao excluir regra lembrete."
"Failed to save reminder rule.","Falha ao salvar regra lembrete."
"Frequency","Freqüência"
"From Date","A Partir da Data"
"General Information","Informações gerais"
"ID","Identidade"
"If an item is %s in the shopping cart with %s of these conditions match:","Se um item está %s no carrinho de compras com %s dessas condições combinadas:"
"If an item is %s in the wishlist with %s of these conditions match:","Se um item está %s na lista de desejos com %s dessas condições se aplicando:"
"In what number of days to repeat reminder email, if the rule condition still matches. Enter days, comma-separated.","Em que número de dias se deve repetir email lembrete, se a condição de regra ainda corresponde. Insira dias, separados por vírgulas."
"Inactive","Inativo"
"Interval","Intervalo"
"Item %s %s %s:","Item %s %s %s:"
"Item SKU %s %s ","Item SKU %s %s"
"Item was added to shopping cart %s store view %s","O item foi adicionado ao carrinho de compras %s visualização de loja %s"
"Item was added to wishlist %s store view %s","Item foi adicionado à lista de desejos %s visualização de loja %s"
"Items Quantity","Quantidade de Itens"
"Items Subselection","Subseleção de Itens"
"Last Sent At","Enviado Pela Última Vez Em"
"Matched At","Correspondido Em"
"Matched Customers","Clientes Correspondidos"
"Maximum Emails per One Run","Emails Máximos por Uma Execução"
"Minute of the Hour","Minutos da Hora"
"N/A","Indisponível"
"New Rule","Nova Regra"
"No","Não"
"Number of Items","Número de Itens"
"Number of shopping cart line items %s %s:","Número de itens de linha do carrinho de compras %s %s:"
"Number of wishlist items %s %s ","Número de itens na lista de desejos %s %s"
"Numeric Attribute","Atributo Numérico"
"Overrides default titles and descriptions. Note that if email an template is not specified for this store view, the respective variable values will be deleted.","Substitui títulos e descrições padrão. Note que se um modelo de e-mail não é especificado para esta vista da loja, os respectivos valores variáveis ​​serão apagados."
"Please, specify correct minutes of hour.","Por favor, especifique minutos corretos da hora."
"Product %s","Produto %s"
"Product Attributes","Atributos do produto"
"Promo Section","Seção Promo"
"Promotion rule this reminder will advertise.","Regra de promoção que este lembrete irá anunciar."
"Promotions","Promoções"
"Reminder Email Sender","Lembrete do Email do Remetente"
"Reminder Rules","Lembrete das Regras"
"Reminder emails may promote a shopping cart price rule with or without coupon. If a shopping cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer.","E-mails lembrete podem promover uma regra de preço de carrinho de compras com ou sem cupom. Se uma regra de preço de carrinho de compras define um cupom gerado automaticamente, esta regra lembrete irá gerar um código aleatório de cupom para cada cliente."
"Reminder rule matching error.","Lembrete de regra de erro na correspondência."
"Repeat Schedule","Repetir Horário"
"Root shopping cart condition should have days value at least 0.","Condição raíz de carrinho de compras deve ter dias valor de pelo menos 0."
"Root wishlist condition should have days value at least 1.","Condição raíz na lista de desejos deve ter dias valor de pelo menos 1."
"Rule Description for All Store Views","Descrição da Regra para Todas as Visualizações da Loja"
"Rule Information","Informação da Regra"
"Rule Name","Nome da Regra"
"Rule Reminder","Lembrete da Regra"
"Rule Title for All Store Views","Título da Regra para Todas as Visualizações da Loja"
"Rule label and descriptions are accessible in email templates as variables, may be defined per store view.","Rótulo de regras e descrições são acessíveis em modelos de email como variáveis, podem ser definidas por visualização da loja."
"Rule will work only if at least one condition is specified.","Regra só funcionará se pelo menos uma condição for especificada."
"Run Now","Executar Agora"
"SKU","Unidade de Manutenção de Estoque"
"Save and Continue Edit","Salvar e continuar a editar"
"Set this value not less than your cron.php launch period.","Defina este valor como não inferior ao seu período de lançamento cron.php."
"Sharing","Compartilhando"
"Shopping Cart","Carrinho de compras"
"Shopping Cart Price Rule","Regra de Preço de Carrinho de Compras"
"Shopping cart %s a coupon applied","Carrinho de compras %s um cupom aplicado"
"Shopping cart %s amount %s %s:","Carrinho de compras %s quantidade %s %s:"
"Shopping cart %s only virtual items","Carrinho de compras %s somente itens virtuais"
"Shopping cart is not empty and abandoned %s %s days and %s of these conditions match:","O carrinho de compras não está vazio e abandonado %s %s dias e %s dessas condições se aplicam:"
"Start Time","Tempo de Início"
"Status","Status"
"Store View","Visualização da loja"
"The reminder rule has been deleted.","A regra lembrete foi eliminada."
"The reminder rule has been matched.","A regra lembrete foi correspondida."
"The reminder rule has been saved.","A regra lembrete foi salva."
"This rule is assigned to %s automated reminder rule(s). Deleting this rule will automatically unassign it.","Esta regra é atribuída a %s regra(s) lembrete automatizada(s). Apagando esta regra ela será automaticamente desatribuída."
"Thread Active","Segmento Ativo"
"Titles and Descriptions Per Store View","Títulos e Descrições Por Visão de Loja"
"To Date","Até a Data Atual"
"Total Amount","Valor Total"
"Total shopping cart items quantity %s %s:","Quantidade total de itens do carrinho de compras %s %s:"
"Unknown attribute specified","Atributo desconhecido especificado"
"Unknown operator specified.","O operador especificado não é conhecido."
"Unknown quote total specified","Total de citações desconhecidas especificado"
"Up to %s customers may receive reminder email after this action.","Até %s clientes podem receber emails de lembrete após esta ação."
"Valid range: 0-59 (default 0).","Intervalo válido: 0-59 (por defeito 0)."
"Virtual Only","Apenas Virtual"
"Website","Website"
"Wishlist","Lista de presentes"
"Wishlist %s shared","Lista de desejos %s compartilhada"
"Wishlist is not empty and abandoned %s %s days and %s of these conditions match:","A lista de desejos não está vazia e abandonada %s %s dias e %s dessas condições se aplicam:"
"Wrong reminder rule requested.","Regra lembrete solicitada errada."
"Yes","Sim"
"base cost","custo base"
"base price","preço base"
"does not have","não tem"
"found","encontrado"
"grand total","total geral"
"has","tem"
