"Action","Ação"
"Add New Search Term","Adicionar Novo Termo de Busca"
"Display in Suggested Terms","Exibir em Termos Sugeridos"
"Edit","Editar"
"Enable Search Recommendations","Habilitar Recomendações de Busca"
"Enable Search Suggestions","Habilitar Sugestões de Busca"
"Enable Solr Engine for Catalog Navigation","Habilitar Mecanismo Solr para Navegar em Catálogos"
"Engine autocommit","Autoempenho do motor"
"Final commit","Empenho final"
"ID","Identidade"
"Indexation Mode","Modo de indexação"
"MySql Fulltext","Full-text MySQL"
"No","Não"
"Note: Enabling this option affects the performance.","Atenção: habilitar esta opção afeta o desempenho."
"Note: Partial commit mode affects time of indexation, but allows indexed products to be visible on the frontend before indexation is completed.","Atenção: Modo de empenho parcial afeta o tempo de indexação, mas permite que os produtos indexados sejam visíveis no frontend antes da conclusão da indexação."
"Number of Uses","Número de Usuários"
"Partial commit","Empenho parcial"
"Redirect","Redirecionar"
"Related Search Terms","Termos de Busca Relacionados"
"Results","Resultados"
"Search Engine","Mecanismo de Busca"
"Search Query","Palavras-Chave da Busca"
"Search Recommendations Count","Contagem das Recomendações de Busca"
"Search Suggestions Count","Contagem das Sugestões de Busca"
"Show Results Count for Each Recommendation","Mostrar Contagem de Resultados para Cada Recomendação"
"Show Results Count for Each Suggestion","Mostrar Contagem de Resultados para Cada Sugestão"
"Solr","Solr"
"Solr Server Hostname","Nome do Servidor Solr"
"Solr Server Password","Senha do Servidor Solr"
"Solr Server Path","Caminho do Servidor Solr"
"Solr Server Port","Porta do Servidor Solr"
"Solr Server Timeout","Tempo-Limite do Servidor Solr"
"Solr Server Username","Nome de Utilizador do Servidor Solr"
"Store","Loja"
"Synonym For","Sinónimo Para"
"Test Connection","Conexão Teste"
"Unable to perform search because of search engine missed configuration.","Incapaz de executar a pesquisa por causa de configuração perdida do motor de busca."
"Without starting and trailing slashes.","Sem iniciar e arrastando barras."
"Yes","Sim"
