"-- Please Select --","- Por Favor Selecione -"
"Action","Ação"
"Add URL Redirect","Redirecionamento Adicionar URL"
"An error occurred during deleting the redirect item.","Ocorreu um item ao apagar o item redirecionado."
"An error occurred while saving the URL redirect.","Ocorreu um erro ao salvar o redirecionamento da URL."
"Back","Voltar"
"Block Information","Informações de bloco"
"Custom","Personalizado"
"Description","Descrição"
"Edit","Editar"
"ID","Identidade"
"Index URL rewrites","URL do índice reescreve"
"No","Não"
"Only alphanumeric characters and ""_"" (underscore) symbol is allowed for the ""URL Suffix""","Apenas caracteres alfanuméricos símbolo ""_"" (sublinhado) é permitido para o ""Sufixo URL"""
"Options","Opções"
"Permanent (301)","Permanente (301)"
"Priority for Duplicated URL Keys","Priority for Duplicated URL Keys"
"Redirect","Redirect"
"Redirect Rules","Regras de redirecionamento"
"Redirect Type","Tipo de redirecionamento"
"Redirect URL Rewrite","Redirecionar Reescrita da URL"
"Redirect item has been deleted.","Item redirecionado foi apagado"
"Redirect item has been saved.","Item redirecionado foi salvo."
"Redirect item not found.","Item de redirecionamento não encontrado"
"Request Path","Solicitar Caminho"
"Requires full page cache refresh to take effect.","Requires full page cache refresh to take effect."
"Select URL Redirect Type","Selecionar tipo de redirecionamento de URL"
"Store","Store"
"Store View","Store View"
"Target Path","Caminho Alvo"
"Temporary (302)","Temporário (302)"
"Type","Tipo"
"URL Redirect","Redirecionamento de URL"
"URL Redirect Information","Informações de redirecionamento de URL"
"URL Redirect Management","Gerenciamento de redirecionamento de URL"
"URL Redirect has been deleted.","URL Redirect has been deleted."
"URL Redirect with same Request Path already exists.","Redirecionamento de URL com mesmo pedio Caminho já existe."
"URL Redirect with same Request Path and Store already exists.","URL Redirect with same Request Path and Store already exists."
"URL Redirects","URL redireciona"
