"%s product requires your attention.","%s 产品需要你的注意。"
"%s product was added to your shopping cart.","%s 产品已经添加到你的购物车。"
"%s products require your attention.","%s 产品需要你的注意。"
"%s products were added to your shopping cart.","%s 产品已添加到你的购物车。"
"%s was added to your shopping cart.","%s 已添加到您的购物车。"
"* Required Fields","*必要字段"
"<span id=""sku-attention-num"">%s</span> product(s) require attention","<span id=""sku-attention-num"">%s</span> 产品需要注意"
"Access denied.","访问被拒绝"
"Action","操作"
"Add New Address","添加新地址"
"Add Products","添加产品"
"Add Products By SKU","按照 SKU 添加产品"
"Add Products to Order","添加要订购的产品"
"Add Row","添加行"
"Add Selected Product(s) to Shopping Cart","添加所选产品到购物车"
"Add To Cart","加入购物车"
"Add to Cart","添加到购物车"
"Add to Compare","添加并比较"
"Add to Order","加入订单"
"Add to Order by SKU","按照 SKU 加入订单"
"Add to Shopping Cart","加入购物车"
"Add to Shopping Cart by SKU","按照 SKU 加入购物车"
"Add to Wishlist","添加到收藏"
"Additional Product Info","额外产品信息"
"Address","地址"
"Address %s of %s","地址 %s，共 %s 个地址"
"Allowed file type: csv.<br/>File must contain two columns, with ""sku"" and ""qty"" in the header row.","允许的文件类型： csv.<br/>文件必须包含两列，每一列头部包含文字“sku”与“qty”。"
"Already registered?","已注册？"
"An error has occurred. See error log for details.","发生了错误。详情请参考错误日志。"
"Apply","应用"
"Apply Coupon","应用优惠券"
"Apply Coupon Code","应用折价券"
"Are you sure you want to delete all items from shopping cart?","你是否确定要删除购物车中的所有内容？"
"Are you sure you would like to remove this item from the shopping cart?","您确认要从购物车中删除该项目吗？"
"Availability: Out of stock.","库存情况：缺货。"
"Back","返回"
"Back to Billing Information","返回到账单信息"
"Back to Select Addresses","返回到选择地址"
"Back to Shipping Information","返回到运送信息"
"Back to Shopping Cart","返回到购物车"
"Based on your selection, you may be interested in the following items:","根据您的选择，您可能对下列内容感兴趣："
"Billing Address","账单地址"
"Billing Information","账单信息"
"Cancel","取消"
"Cancel Coupon","取消优惠券"
"Cannot add product","无法添加产品"
"Cannot configure product","无法配置产品"
"Card Verification Number Visual Reference","信用卡验证号码 视觉参考"
"Cart Subtotal:","购物车小计："
"Change","更改"
"Change Billing Address","更改账单地址"
"Checkout","结账"
"Checkout as Guest","作为来宾结账"
"Checkout as a Guest","以来宾身份结账"
"Checkout as a Guest or Register","以来宾身份结账或注册"
"Choose some products to add to shopping cart.","选择要加入购物车的商品。"
"City","城市"
"Clear Shopping Cart","清空购物车"
