"ASCII","ASCII"
"Action","操作"
"Add Scheduled Export","添加计划导出"
"Add Scheduled Import","添加计划导入"
"Are you sure you want to delete the selected scheduled imports/exports?","您确认要删除已选定的计划导入/导出吗？"
"Are you sure you want to delete this scheduled export?","您确认要删除此计划导出吗？"
"Are you sure you want to delete this scheduled import?","您确认要删除此计划导入吗？"
"Binary","二进制"
"Can not change status for all items","无法更改所有项目的状态"
"Can not delete all items","无法删除所有项目"
"Change status","更改状态"
"Clean Now","立即清理"
"Connecting to server","正在连接到服务器"
"Continue Processing","继续处理"
"Daily","每天"
"Delete","删除"
"Description","描述"
"Directory ""%s"" is not writable.","目录“%s”不可写。"
"Disabled","已禁用"
"Edit","编辑"
"Edit Scheduled Export","编辑计划导出"
"Edit Scheduled Import","编辑计划导入"
"Enable Scheduled File History Cleaning","启用计划文件历史清理"
"Enabled","已启用"
"Entity Attributes","编辑属性"
"Entity Type","实体类型"
"Entity type","实体类型"
"Error Email Recipient","邮件接收有误"
"Error Email Sender","邮件发送有误"
"Error Email Template","邮件模板有误"
"Export","导出"
"Export Failed","导出失败"
"Export Failed Emails","导出失败的电子邮件"
"Export File Information","导出文件信息"
"Export Settings","导出设置"
"FTP Host[:Port]","FTP主机[:端口]"
"Failed","已失败"
"Failed Email Receiver","失败的电子邮件接收者"
"Failed Email Sender","失败的电子邮件发送者"
"Failed Email Template","失败电子邮件模板"
"File Directory","文件目录"
"File Format","文件格式"
"File History Clean Failed","文件历史清理失败"
"File Mode","文件模式"
"File Name","文件名"
"File has been not created","文件未被创建"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","对于“本地服务器”类型，请使用相关路径进行 Magento 安装，例如 var/export、var/import、var/export/some/dir"
"Frequency","频率"
"History files have been deleted","历史文件已被删除"
"Import","导入"
"Import Behavior","导入行为"
"Import Failed","导入失败"
"Import Failed Emails","导入失败电子邮件"
"Import File Information","导入文件信息"
"Import Settings","导入设置"
"Invalid cron job task","无效的 cron 作业任务"
"Invalid scheduled operation","无效的计划操作"
"Invalid scheduled operation type","无效的计划操作类型"
"Invalid server communication class ""%s""","Invalid server communication class ""%s"""
"Invalid server comunication class ""%s""","无效的服务器通信类“%s”"
"Invalid server type","无效的服务器类型"
"Last Outcome","最近的结果"
"Last Run Date","最近的运行日期"
"Local Server","本地服务器"
"Monthly","每月"
"Name","姓名"
"New Scheduled Export","新建计划导出"
"New Scheduled Import","新建计划导入"
"No valid data sent","没有发送有效的数据"
"On Error","错误"
"Operation","操作"
"Operation finished with fail status","操作以失败状态结束"
"Operation has been successfully run","操作已成功运行"
"Passive Mode","被动模式"
"Password","密码"
"Pending","挂起"
"Reading import file","正在读取导入的文件"
"Remote FTP","远程FTP"
"Run","运行"
"Save Files, Days","保存文件，天"
"Save file content","保存文件内容"
"Save history file content ""%s""","保存历史文件内容“%s”"
"Scheduled Import/Export","计划导入/导出"
"Scheduled Import/Export File History Cleaning","计划导入/导出文件历史清理"
"Scheduled Imports/Exports","计划导入/导出"
"Send Failed Email Copy Method","发送失败电子邮件复制方法"
"Send Failed Email Copy To","发送失败电子邮件副本至"
"Server Type","服务器类型"
"Start Time","开始时间"
"Status","状态"
"Stop Import","停止导入"
"Successful","成功"
"The scheduled export has been deleted.","计划导入已被删除。"
"The scheduled export has been saved.","计划导出已保存。"
"The scheduled import has been deleted.","计划导入已被删除。"
"The scheduled import has been saved.","计划导入已保存。"
"Total of %s record(s) have been deleted","总计 %s 个记录已被删除"
"Total of %s record(s) have been updated","总计 %s 条记录已更新"
"Total size of the file must not exceed %s","总文件大小不可超过 %s"
"Unable to create directory ""%s"".","无法创建目录 “%s”。"
"Unable to delete ""%s"". Directory is not writable.","无法删除“%s”。目录不可写。"
"Unable to delete history files","无法删除历史文件"
"Unable to delete scheduled operation","无法删除计划操作"
"Unable to read file source. File name is empty","无法读取文件源。文件名为空"
"Unable to read import file","无法读取导入的文件"
"Unable to run operation","无法运行操作"
"Unable to save file history file","无法保存文件历史文件"
"Unable to save scheduled operation","无法保存计划操作"
"Unable to write file ""%s"" to ""%s"" with ""%s"" driver","无法使用“%s”驱动写入文件“%s”到“%s”"
"Unknown file format","未知文件格式"
"User Name","用户名"
"Weekly","每周"
