"Action","操作"
"Change Index Mode","更改索引模式"
"Description","描述"
"Enable Scheduled Cleanup","启用计划清理"
"Frequency","频率"
"Index","索引"
"Index Clean Schedule","索引清理计划"
"Index Management","索引管理"
"Index Options","索引选项"
"Index mode","索引模式"
"Mode","模式"
"Never","永不"
"Processing","正在处理"
"Ready","就绪"
"Reindex Data","重新索引数据"
"Reindex Required","需要重新索引"
"Scheduled","已计划"
"Start Time","开始时间"
"Status","状态"
"Unable to save the cron expression.","无法保存Cron表达式。"
"Update Required","需要更新"
"Update on Save","保存时更新"
"Update when scheduled","当计划时更新"
"Updated At","更新于"
